,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
471,0,6000.0,Fell,1977,35.27333,44.21556,LL,Chondrite,Stony,1
475,0,6400.0,Fell,1895,27.66667,78.25,H,Chondrite,Stony,1
483,0,17900.0,Fell,1939,20.88333,76.86667,H,Chondrite,Stony,1
486,0,1500.0,Fell,1869,-22.96667,-44.31667,Angrite,Achondrite,Stony,2
487,0,6500.0,Fell,1942,9.53333,39.71667,H,Chondrite,Stony,2
488,0,2500.0,Fell,1971,25.15,105.18333,H,Chondrite,Stony,2
493,0,20000.0,Found,1919,37.08333,-98.05,H,Chondrite,Stony,2
494,0,41800.0,Found,1965,33.7825,-102.18111,H,Chondrite,Stony,2
499,0,15000.0,Fell,1914,53.58333,-2.71667,LL,Chondrite,Stony,1
500,0,15000.0,Fell,1914,53.58333,-2.71667,LL,Chondrite,Stony,1
501,0,15000.0,Fell,1914,53.58333,-2.71667,LL,Chondrite,Stony,1
505,0,132000.0,Found,1973,55.14167,48.2,LL,Chondrite,Stony,1
506,0,810.0,Fell,1954,-33.0,-66.0,H,Chondrite,Stony,15
507,0,19400.0,Found,1937,41.41667,-99.1,LL,Chondrite,Stony,1
508,0,985.8,Found,1972,34.15,-103.22,CV,Chondrite,Stony,1
510,0,5070.0,Fell,1932,38.5,-94.3,H,Chondrite,Stony,1
524,0,9200.0,Found,1967,39.76667,-102.13333,L,Chondrite,Stony,2
525,0,5300.0,Found,1960,-26.5,141.08333,H,Chondrite,Stony,14
527,0,31100.0,Found,1936,39.3,-103.25,L,Chondrite,Stony,2
528,0,7450.0,Fell,1950,-31.41667,-60.66667,H,Chondrite,Stony,2
529,0,20810.0,Found,1914,-29.06667,139.91667,L,Chondrite,Stony,2
532,0,1300.0,Fell,1923,52.05,0.3,L,Chondrite,Stony,2
533,0,1300.0,Fell,1923,52.05,0.3,L,Chondrite,Stony,2
536,0,55400.0,Found,1969,32.9,-102.28333,H,Chondrite,Stony,2
540,0,2000.0,Fell,1886,43.03333,12.55,H,Chondrite,Stony,2
545,0,265.0,Fell,1933,34.75,-87.0,LL,Chondrite,Stony,1
546,0,5500.0,Found,1938,31.8,-92.75,EL,Chondrite,Stony,12
549,0,2100.0,Found,1963,40.51667,-103.26667,L,Chondrite,Stony,2
550,0,77.0,Found,1964,40.51667,-103.26667,Chondrite,Chondrite,Stony,2
555,0,50000.0,Fell,1865,36.16667,3.66667,L,Chondrite,Stony,2
557,0,1000.0,Found,1938,36.33333,-105.05,H,Chondrite,Stony,13
558,0,30.2,Found,1979,-26.66667,16.25,L,Chondrite,Stony,13
560,0,9330.0,Fell,1952,-21.46028,-49.95083,H,Chondrite,Stony,1
562,0,146.0,Fell,1855,25.0,-103.5,H,Chondrite,Stony,13
565,0,6200.0,Found,1943,31.66,-96.97167,CV,Chondrite,Stony,2
568,0,256.3,Found,1967,-31.61667,118.03333,H,Chondrite,Stony,2
577,0,4120.0,Found,1978,38.6,58.0,L,Chondrite,Stony,2
582,0,1000.0,Fell,1907,5.38333,16.38333,CV,Chondrite,Stony,16
588,0,11500.0,Fell,1871,-6.91667,107.6,LL,Chondrite,Stony,1
591,0,629.0,Fell,1933,-6.33333,106.0,CM,Chondrite,Stony,1
595,0,6400.0,Fell,1790,43.95,-0.05,H,Chondrite,Stony,12
599,0,23.2,Fell,1904,52.73333,84.08333,H,Chondrite,Stony,9
600,0,17.0,Fell,1886,52.0,9.1,LL,Chondrite,Stony,2
610,0,200000.0,Found,1845,-35.3,144.56667,L,Chondrite,Stony,2
615,0,10400.0,Found,1950,34.0,-101.5,H,Chondrite,Stony,13
617,0,2500.0,Found,1961,43.13333,-102.1,H,Chondrite,Stony,2
618,0,21000.0,Fell,1892,45.41667,-98.31667,H,Chondrite,Stony,2
620,0,1557.0,Fell,1989,11.08333,-0.18333,LL,Chondrite,Stony,16
627,0,16000.0,Fell,1929,39.8,-101.2,H,Chondrite,Stony,2
628,0,25628.0,Found,1940,36.8,-100.53333,L,Chondrite,Stony,2
629,0,14000.0,Fell,1893,51.16667,-117.33333,H,Chondrite,Stony,7
630,0,925.0,Found,1979,38.48417,-113.13639,L,Chondrite,Stony,13
633,0,794.0,Fell,1949,53.01667,-4.1,H,Chondrite,Stony,2
634,0,11620.0,Found,1924,38.53333,-100.21667,LL,Chondrite,Stony,2
639,0,375.0,Fell,1961,33.6,-96.46667,Chondrite,Chondrite,Stony,2
641,0,7900.0,Found,1943,49.5,-113.0,H,Chondrite,Stony,1
642,0,25300.0,Found,1958,42.73333,-90.35,H,Chondrite,Stony,2
643,0,367.0,Fell,1937,-32.33333,-64.86667,Chondrite,Chondrite,Stony,2
645,0,3700.0,Fell,1798,25.36667,82.91667,LL,Chondrite,Stony,1
647,0,118000.0,Found,1930,-30.75,117.78333,CB,Chondrite,Stony,2
653,0,51800.0,Found,1969,33.58333,-99.8,H,Chondrite,Stony,13
654,0,1770.5,Fell,1938,39.08333,-89.15,H,Chondrite,Stony,2
656,0,3880.0,Fell,1943,-26.16667,28.41667,H,Chondrite,Stony,1
659,0,2840.0,Fell,1949,45.95,-67.55,LL,Chondrite,Stony,10
663,0,18.3,Found,1968,34.23333,-103.38333,Chondrite,Chondrite,Stony,1
664,0,56.8,Found,1968,34.24667,-103.395,H,Chondrite,Stony,1
665,0,13.9,Fell,1859,42.53333,-73.83333,H,Chondrite,Stony,1
666,0,13.9,Fell,1859,42.53333,-73.83333,H,Chondrite,Stony,1
667,0,67.0,Found,1941,39.3,-102.41667,EH,Chondrite,Stony,2
669,0,1100.0,Fell,1921,33.88333,35.5,LL,Chondrite,Stony,1
672,0,1047.0,Fell,1940,22.68333,90.65,LL,Chondrite,Stony,16
676,0,19000.0,Found,1970,-30.55,130.96667,H,Chondrite,Stony,13
682,0,488.1,Fell,1984,-33.15639,115.67639,H,Chondrite,Stony,1
684,0,855.0,Found,1958,19.41667,51.03333,H,Chondrite,Stony,14
686,0,560.0,Fell,1923,13.76667,5.3,H,Chondrite,Stony,2
690,0,1039.0,Fell,1895,25.38333,82.6,LL,Chondrite,Stony,1
691,0,11000.0,Found,1958,38.30667,-99.71,LL,Chondrite,Stony,2
693,0,1850.0,Fell,1796,49.78333,30.16667,H,Chondrite,Stony,1
694,0,330000.0,Fell,1899,60.4,25.8,LL,Chondrite,Stony,0
695,0,705.0,Fell,1941,40.91667,-78.08333,L,Chondrite,Stony,2
697,0,1500.0,Found,1979,34.20583,-103.22222,H,Chondrite,Stony,1
701,0,5100.0,Fell,1909,31.83333,-98.83333,L,Chondrite,Stony,2
702,0,470.0,Fell,1833,49.36667,16.63333,H,Chondrite,Stony,1
703,0,30500.0,Found,1970,33.59167,-103.02667,H,Chondrite,Stony,2
704,0,1830.0,Found,1910,45.5,-77.0,EL,Chondrite,Stony,10
705,0,67.8,Fell,1938,40.48,-89.00417,LL,Chondrite,Stony,1
717,0,16000.0,Found,1917,29.86306,-96.92667,L,Chondrite,Stony,2
719,0,7500.0,Fell,1977,33.83333,115.83333,LL,Chondrite,Stony,1
720,0,1800.0,Found,1968,33.65167,-103.70833,H,Chondrite,Stony,2
724,0,1100.0,Found,1932,29.8,-98.8,H,Chondrite,Stony,1
725,0,2180.0,Found,1948,52.5,68.8,H,Chondrite,Stony,2
729,0,1593.0,Found,1939,57.63333,83.36667,H,Chondrite,Stony,8
730,0,6.2,Found,1898,-23.5,133.83333,H,Chondrite,Stony,13
