"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4537",12443,"L6",10500,"Found",1956,-33.06667,118.21667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5011",16910,"H5",3180,"Found",1944,-29.53333,143.98333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"491",2308,"L6",3900,"Found",1972,39.33333,-97.56167,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"5808",22777,"L6",55,"Found",1955,20,50,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"930.1",5323,"H5",27900,"Found",1964,31.33333,121.66667,"H","Chondrite","Stony","Ordinary","H","0",1
"5839.1",23091,"LL3.3",24.3,"Fell",1919,38.16667,-76.38333,"LL","Chondrite","Stony","Ordinary","LL","0",1
"4955.1",16851,"L",25.5,"Fell",1795,9.33333,80.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"4426",12328,"CM2",164,"Found",1968,64.45,27.56667,"CM","Chondrite","Stony","Carbonaceous","CM-CO","0",1
"4473",12374,"Iron",367,"Found",1973,20.38333,45.08333,"Iron","Achondrite","Iron",NA,NA,"2",0.064345060252235
"4493",12396,"L6",45000,"Fell",1985,-31.23333,-58.16667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5360",18060,"L6",168400,"Found",1984,41.2,-103.68333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"588",4935,"LL6",11500,"Fell",1871,-6.91667,107.6,"LL","Chondrite","Stony","Ordinary","LL","1",0.0294975764627465
"3364",10077,"H5",1e+05,"Found",1966,39.61667,-94.86667,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"489",2306,"Iron, IAB-sLL",13500,"Found",1916,52.33333,-104.86667,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","1",0.0294975764627465
"5754",22723,"L5",13.9,"Found",1988,34.1,-103.48333,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"5073",16978,"Ureilite-pmict",173,"Found",1975,-31.08333,138.3,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,"2",0.064345060252235
"5872.1",23128,"H6",56,"Fell",1973,33.48472,-117.6625,"H","Chondrite","Stony","Ordinary","H","0",1
"6848",24230,"Iron, IIE-an",94200,"Found",1924,-32.26667,139.86667,"Iron IIE","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"4388",12286,"H4",135000,"Fell",1850,38.98333,141.61667,"H","Chondrite","Stony","Ordinary","H","0",1
"3633",11478,"H4",695,"Found",1936,34.05,-101.75,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4793",15475,"L5",36400,"Found",1933,34.38333,-103.61667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"3335",10044,"L5",20000,"Fell",1889,1.16667,44.16667,"L","Chondrite","Stony","Ordinary","L","0",1
"4018.1",11870,"L3.7-6",6100,"Fell",1910,27.33333,35.66667,"L","Chondrite","Stony","Ordinary","L","0",1
"6424.1",23739,"H4/5",48000,"Found",1987,46.4,30.8,"H","Chondrite","Stony","Ordinary","H","0",1
"3968",11816,"H4",1300,"Found",1976,38.91972,-85.94722,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"3327.3",10035,"Iron, ungrouped",19000,"Found",1940,53.1,7.2,"Iron","Achondrite","Iron",NA,NA,"0",1
"618",4974,"H4",21000,"Fell",1892,45.41667,-98.31667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"535",2348,"Iron, IAB-MG",27000,"Found",1901,35.25,-112.5,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","13",0.0166285644122995
"5410",18118,"Iron",12,"Fell",1922,38.13333,14.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"3622.1",11467,"OC",1320,"Fell",1930,35,127.5,"Chondrite","Chondrite","Stony",NA,NA,"0",1
"6666.1",24053,"H",357.4,"Fell",1950,58.47333,8.86667,"H","Chondrite","Stony","Ordinary","H","0",1
"3270",7794,"Iron, IIIAB",27500,"Found",1893,33.5,-105.5,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","13",0.0166285644122995
"770",5144,"Iron, IAB-ung",544,"Found",1910,-30.58333,23.55,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"597",4945,"Pallasite, PMG",87,"Found",1950,46.1,12.35,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"8",0.0565394577591197
"3317",10023,"Iron",2066,"Found",1970,-23.83333,27.91667,"Iron","Achondrite","Iron",NA,NA,"2",0.064345060252235
"5318",18007,"Iron, IIAB",2753000,"Found",1976,34.46667,-115.23333,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","14",0.0286088486882495
"882",5268,"L5",6.4,"Found",1966,-32.1,125.68333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"4812.1",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",1
"959",5355,"Iron, IIIAB",3920,"Fell",1988,-10.05944,33.395,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"9",10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"Acapulcoite","Achondrite","Stony","Primitive",NA,"0",1
"5410.1",18118,"Iron",12,"Fell",1922,38.13333,14.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"5410.2",18118,"Iron",12,"Fell",1922,38.13333,14.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"6915.2",24330,"Iron, IAB-ung",48200,"Found",1953,42.34667,-90.1675,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"4579",12755,"L6",51500,"Fell",1943,35.88333,-99.33333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"6958",30371,"H5",3500,"Found",1957,28.95,-97.40278,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"442",453,"L/LL4",2000,"Fell",1766,44.65,11.01667,"LL","Chondrite","Stony","Ordinary","LL","1",0.0294975764627465
"4413",12313,"L5",17.3,"Found",1973,-30.46667,125.7,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5292",17975,"LL5",2500,"Found",1911,39.8,-100.51667,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"527",2339,"L5",31100,"Found",1936,39.3,-103.25,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
