,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
8,5,4500.0,Found,1997,27.23944,29.83583,H,Chondrite,Stony,11
74,5,383.0,Found,1990,27.71667,4.78333,H,Chondrite,Stony,11
77,5,138.0,Found,1990,27.68333,4.48333,H,Chondrite,Stony,11
80,5,2010.0,Found,1990,27.53333,3.85,H,Chondrite,Stony,11
82,5,1453.0,Found,1990,27.51667,3.73333,H,Chondrite,Stony,11
83,5,183.0,Found,1990,27.7,4.35,H,Chondrite,Stony,11
85,5,105.0,Found,1990,27.56667,4.15,H,Chondrite,Stony,11
91,5,6300.0,Found,1990,27.55,3.86667,H,Chondrite,Stony,11
92,5,293.0,Found,1990,27.58333,3.95,H,Chondrite,Stony,11
96,5,682.0,Found,1990,27.63333,4.3,H,Chondrite,Stony,11
97,5,290.0,Found,1990,27.5,3.83333,H,Chondrite,Stony,11
99,5,244.0,Found,1990,27.66667,4.51667,H,Chondrite,Stony,11
102,5,104.0,Found,1990,27.71667,4.38333,H,Chondrite,Stony,11
105,5,5500.0,Found,1990,27.46667,3.88333,H,Chondrite,Stony,11
106,5,313.0,Found,1990,27.45,3.83333,H,Chondrite,Stony,11
107,5,140.0,Found,1990,27.46667,3.95,H,Chondrite,Stony,11
110,5,665.0,Found,1990,27.8,4.5,H,Chondrite,Stony,11
111,5,992.0,Found,1990,27.63333,4.36667,H,Chondrite,Stony,11
115,5,828.0,Found,1990,27.5,3.88333,H,Chondrite,Stony,11
116,5,236.0,Found,1990,27.55,3.76667,H,Chondrite,Stony,11
122,5,287.0,Found,1990,27.73333,4.16667,H,Chondrite,Stony,11
124,5,178.0,Found,1990,27.73333,4.2,H,Chondrite,Stony,11
126,5,121.0,Found,1990,27.65,4.23333,H,Chondrite,Stony,11
130,5,452.0,Found,1990,27.46667,3.76667,H,Chondrite,Stony,11
136,5,162.0,Found,1990,27.6,4.2,H,Chondrite,Stony,11
137,5,400.0,Found,1990,27.58333,4.0,H,Chondrite,Stony,11
139,5,1621.0,Found,1990,27.5,3.76667,H,Chondrite,Stony,11
142,5,124.0,Found,1990,27.55,4.03333,H,Chondrite,Stony,11
143,5,324.0,Found,1990,27.46667,4.05,H,Chondrite,Stony,11
144,5,106.0,Found,1990,27.58333,4.08333,H,Chondrite,Stony,11
148,5,58.0,Found,1990,27.58333,3.85,H,Chondrite,Stony,11
153,5,200.0,Found,1990,27.63333,4.08333,H,Chondrite,Stony,11
155,5,157.0,Found,1990,27.58333,4.06667,H,Chondrite,Stony,11
157,5,251.0,Found,1990,27.56667,3.81667,H,Chondrite,Stony,11
158,5,218.0,Found,1990,27.46667,3.71667,H,Chondrite,Stony,11
159,5,157.0,Found,1990,27.43333,3.75,H,Chondrite,Stony,11
160,5,211.0,Found,1990,27.53333,3.95,H,Chondrite,Stony,11
161,5,95.0,Found,1990,27.55,4.01667,H,Chondrite,Stony,11
165,5,422.0,Found,1990,27.66667,4.21667,H,Chondrite,Stony,11
166,5,123.0,Found,1990,27.5,3.93333,H,Chondrite,Stony,11
168,5,604.0,Found,1990,27.75,4.43333,H,Chondrite,Stony,11
169,5,1281.0,Found,1990,27.66667,4.01667,H,Chondrite,Stony,11
170,5,125.0,Found,1990,27.7,4.35,H,Chondrite,Stony,11
171,5,43.0,Found,1990,27.53333,4.18333,H,Chondrite,Stony,11
172,5,84.0,Found,1990,27.56667,4.33333,H,Chondrite,Stony,11
173,5,2476.0,Found,1990,27.51667,4.23333,H,Chondrite,Stony,11
176,5,559.0,Found,1990,27.73333,4.11667,H,Chondrite,Stony,11
177,5,313.0,Found,1990,27.65,4.25,H,Chondrite,Stony,11
179,5,262.0,Found,1990,27.65,4.03333,H,Chondrite,Stony,11
186,5,103.0,Found,1990,27.6,4.16667,H,Chondrite,Stony,11
