,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
303,4,2000.0,Found,1992,27.70917,4.17444,L,Chondrite,Stony,11
421,4,4000.0,Found,1961,40.15,-103.16667,L,Chondrite,Stony,2
440,4,1800.0,Found,1937,37.46667,-105.86667,L,Chondrite,Stony,2
458,4,3755.0,Found,1960,19.7,53.96667,L,Chondrite,Stony,14
467,4,6570.0,Found,1978,33.1,-102.95,L,Chondrite,Stony,2
468,4,3180.0,Found,1949,39.6,-100.11667,L,Chondrite,Stony,2
504,4,19083.0,Found,1940,38.8,-102.2,L,Chondrite,Stony,13
524,4,9200.0,Found,1967,39.76667,-102.13333,L,Chondrite,Stony,2
527,4,31100.0,Found,1936,39.3,-103.25,L,Chondrite,Stony,2
529,4,20810.0,Found,1914,-29.06667,139.91667,L,Chondrite,Stony,2
537,4,935.0,Found,1961,21.875,49.71944,L,Chondrite,Stony,14
538,4,2700.0,Found,1846,26.0,92.0,L,Chondrite,Stony,12
540,4,2000.0,Fell,1886,43.03333,12.55,H,Chondrite,Stony,2
541,4,5855.0,Found,1960,21.25417,55.305,L,Chondrite,Stony,14
549,4,2100.0,Found,1963,40.51667,-103.26667,L,Chondrite,Stony,2
550,4,77.0,Found,1964,40.51667,-103.26667,Chondrite,Chondrite,Stony,2
558,4,30.2,Found,1979,-26.66667,16.25,L,Chondrite,Stony,13
565,4,6200.0,Found,1943,31.66,-96.97167,CV,Chondrite,Stony,2
577,4,4120.0,Found,1978,38.6,58.0,L,Chondrite,Stony,2
610,4,200000.0,Found,1845,-35.3,144.56667,L,Chondrite,Stony,2
628,4,25628.0,Found,1940,36.8,-100.53333,L,Chondrite,Stony,2
630,4,925.0,Found,1979,38.48417,-113.13639,L,Chondrite,Stony,13
634,4,11620.0,Found,1924,38.53333,-100.21667,LL,Chondrite,Stony,2
635,4,44400.0,Found,1937,36.21667,-103.65,L,Chondrite,Stony,13
647,4,118000.0,Found,1930,-30.75,117.78333,CB,Chondrite,Stony,2
660,4,2250.0,Found,1843,46.75,36.81667,L,Chondrite,Stony,13
667,4,67.0,Found,1941,39.3,-102.41667,EH,Chondrite,Stony,2
679,4,893.0,Found,1962,-30.13333,126.36667,L,Chondrite,Stony,14
691,4,11000.0,Found,1958,38.30667,-99.71,LL,Chondrite,Stony,2
716,4,153300.0,Found,1878,29.87861,-96.87222,L,Chondrite,Stony,12
717,4,16000.0,Found,1917,29.86306,-96.92667,L,Chondrite,Stony,2
743,4,2126.0,Found,1930,33.26667,-116.38333,L,Chondrite,Stony,14
746,4,374.0,Found,1969,28.3125,0.23333,L,Chondrite,Stony,14
756,4,927.0,Found,1937,31.05,-99.46667,L,Chondrite,Stony,15
759,4,7580.0,Found,1975,40.81,-101.80167,L,Chondrite,Stony,2
764,4,17000.0,Found,1940,39.25,-101.33333,L,Chondrite,Stony,2
768,4,1773.0,Found,1940,34.35,-101.4,L,Chondrite,Stony,13
773,4,972.0,Found,1971,33.28333,-102.96667,Chondrite,Chondrite,Stony,2
774,4,101.0,Found,1980,33.275,-102.96,Chondrite,Chondrite,Stony,2
775,4,53.0,Found,1980,33.275,-102.96,Chondrite,Chondrite,Stony,2
776,4,2000.0,Found,1971,38.69667,-99.70833,L,Chondrite,Stony,2
779,4,1550.0,Found,1974,33.135,-102.27833,Chondrite,Chondrite,Stony,2
787,4,38750.0,Found,1971,-29.62917,116.48222,L,Chondrite,Stony,2
797,4,1987.0,Found,1971,35.33333,-99.15,L,Chondrite,Stony,2
799,4,20.4,Found,1966,-31.96667,125.83333,L,Chondrite,Stony,13
814,4,3290.0,Found,1910,-34.06667,139.75,L,Chondrite,Stony,2
820,4,40000.0,Found,1958,28.41667,-98.25,L,Chondrite,Stony,15
828,4,100.3,Found,1986,-30.31667,126.61667,L,Chondrite,Stony,14
882,4,6.4,Found,1966,-32.1,125.68333,L,Chondrite,Stony,2
884,4,49.5,Found,1977,-29.16667,127.08333,Rumuruti,Chondrite,Stony,2
890,4,132700.0,Found,1963,35.16667,-98.64389,L,Chondrite,Stony,2
892,4,31600.0,Found,1914,-29.23333,139.93333,L,Chondrite,Stony,2
894,4,294.0,Found,1914,-29.75,141.03333,L,Chondrite,Stony,2
907,4,2700.0,Found,1981,32.14833,-111.11167,L,Chondrite,Stony,13
950,4,104800.0,Found,1954,36.5,-104.2,L,Chondrite,Stony,13
962,4,2000.0,Found,1991,-29.91667,129.83333,L,Chondrite,Stony,11
969,4,2268.0,Found,1977,34.02806,-102.68,L,Chondrite,Stony,2
972,4,1050.0,Found,1931,43.7,-104.7,L,Chondrite,Stony,13
976,4,15600.0,Found,1964,34.34667,-101.49,L,Chondrite,Stony,13
977,4,5136.0,Found,1978,34.34833,-101.65833,Chondrite,Chondrite,Stony,2
981,4,11360.0,Found,1962,39.1,-103.25833,L,Chondrite,Stony,2
989,4,429.0,Found,1970,-26.66667,120.16667,L,Chondrite,Stony,2
990,4,2460.0,Found,1946,-32.13333,141.03333,L,Chondrite,Stony,2
992,4,482.0,Found,1945,-32.81667,134.8,L,Chondrite,Stony,2
1012,4,3912.0,Found,1975,35.35,-98.68333,CO,Chondrite,Stony,2
1019,4,2400.0,Found,1956,31.99167,-98.65167,L,Chondrite,Stony,2
1021,4,93500.0,Found,1939,32.0,-101.5,L,Chondrite,Stony,15
1036,4,4500.0,Found,1937,38.03333,-101.98333,Chondrite,Chondrite,Stony,2
1038,4,2750.0,Found,1905,35.0,-111.0,L,Chondrite,Stony,13
1041,4,116.7,Found,1966,-30.45,126.1,L,Chondrite,Stony,14
1045,4,450.0,Found,1962,-33.06667,-61.0,L,Chondrite,Stony,2
1060,4,284.0,Found,1980,-30.4,127.43333,L,Chondrite,Stony,14
1067,4,10820.0,Found,1967,-30.36667,120.73333,L,Chondrite,Stony,2
1070,4,3.8,Found,1956,-32.01667,139.78333,LL,Chondrite,Stony,2
1100,4,300.0,Found,1957,34.08333,-115.78333,L,Chondrite,Stony,13
1102,4,257000.0,Found,1941,-25.33333,116.18333,L,Chondrite,Stony,14
2130,4,4000.0,Found,1986,29.865,11.69167,L,Chondrite,Stony,14
2132,4,500.0,Found,1986,29.59806,11.94028,L,Chondrite,Stony,14
2137,4,395.0,Found,1986,29.59806,11.74167,L,Chondrite,Stony,14
2143,4,770.0,Found,1986,29.51139,11.99111,L,Chondrite,Stony,14
2147,4,292.0,Found,1986,29.26806,11.70528,L,Chondrite,Stony,14
2148,4,215.0,Found,1986,29.66472,11.77639,L,Chondrite,Stony,14
2152,4,2300.0,Found,1986,29.50944,11.80611,L,Chondrite,Stony,14
2159,4,234.0,Found,1986,29.32806,11.78222,L,Chondrite,Stony,14
2170,4,657.0,Found,1986,29.61667,11.75,L,Chondrite,Stony,14
2177,4,50600.0,Found,1940,29.1,-97.6,L,Chondrite,Stony,2
2185,4,12700.0,Found,1940,39.85,-102.95,L,Chondrite,Stony,2
2186,4,109.5,Found,1978,-30.88333,128.96667,Chondrite,Chondrite,Stony,2
2201,4,8346.0,Found,1972,35.28333,-93.5,L,Chondrite,Stony,12
2205,4,1244.7,Found,1968,34.08333,-103.525,L,Chondrite,Stony,2
2206,4,548.0,Found,1968,34.09,-103.61167,Chondrite,Chondrite,Stony,2
2207,4,885.0,Found,1977,34.05,-103.63333,L,Chondrite,Stony,2
2215,4,37200.0,Found,1879,39.65,-99.68333,L,Chondrite,Stony,2
2411,4,2.72,Found,1979,19.33302,54.78217,CV,Chondrite,Stony,14
3177,4,2800.0,Found,1981,34.48333,-102.32833,Chondrite,Chondrite,Stony,2
3182,4,44000.0,Found,1927,41.23333,-103.48333,L,Chondrite,Stony,2
3197,4,20.0,Found,1967,-25.93333,119.3,L,Chondrite,Stony,2
3200,4,1570.0,Found,1970,33.92333,-103.35,Chondrite,Chondrite,Stony,2
3245,4,12000.0,Found,1955,34.28333,-101.83333,L,Chondrite,Stony,2
3249,4,21000.0,Found,1962,52.5,77.0,CV,Chondrite,Stony,2
3266,4,14000.0,Found,1983,28.6,26.4,L,Chondrite,Stony,14
3308,4,15200.0,Found,1888,-34.5,144.71667,L,Chondrite,Stony,2
3309,4,936.8,Found,1968,33.78333,-103.57667,L,Chondrite,Stony,2
3310,4,537.8,Found,1968,33.91667,-103.51833,Chondrite,Chondrite,Stony,2
3314,4,10200.0,Found,1905,-28.9,146.76667,L,Chondrite,Stony,2
3340,4,54.3,Found,1979,27.0,-104.0,H,Chondrite,Stony,2
3349,4,74318.0,Found,1977,-32.03333,139.78333,L,Chondrite,Stony,2
3351,4,450000.0,Found,1965,35.98333,-101.9,L,Chondrite,Stony,2
3380,4,10700.0,Found,1962,34.26667,-101.56667,L,Chondrite,Stony,2
3381,4,492.0,Found,1978,34.29833,-101.68333,Chondrite,Chondrite,Stony,2
