"","Name","Fell_or_Found","Year","Mass","longitude","latitude","Land_Cover","Chondrite","Type","Level_3","Level_4","Group","recclass"
"117","Acfer 110","Found",1990,107,3.8,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"118","Acfer 111","Found",1990,987,3.8,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3-6"
"119","Acfer 112","Found",1990,216,4.03333,27.65,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL4/5"
"120","Acfer 113","Found",1990,2906,4.03333,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"121","Acfer 114","Found",1990,43,3.96667,27.6,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"122","Acfer 115","Found",1990,287,4.16667,27.73333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"123","Acfer 116","Found",1990,345,4.16667,27.73333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"124","Acfer 117","Found",1990,178,4.2,27.73333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"125","Acfer 118","Found",1990,752,4.2,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"126","Acfer 119","Found",1990,121,4.23333,27.65,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.8"
"127","Acfer 120","Found",1990,861,4.3,27.65,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"128","Acfer 121","Found",1990,427,4.33333,27.68333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5-6"
"129","Acfer 122","Found",1990,235,3.66667,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4/5"
"130","Acfer 123","Found",1990,452,3.76667,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.9"
"131","Acfer 124","Found",1990,542,4.05,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"132","Acfer 125","Found",1990,3380,4.35,27.68333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"133","Acfer 126","Found",1990,280,3.8,27.51667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"134","Acfer 127","Found",1990,699,4.3,27.7,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"135","Acfer 128","Found",1990,163,4.3,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"136","Acfer 129","Found",1990,162,4.2,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.7"
"137","Acfer 130","Found",1990,400,4,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"138","Acfer 131","Found",1990,171,3.96667,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"139","Acfer 132","Found",1990,1621,3.76667,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"140","Acfer 133","Found",1990,362,3.83333,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3-5"
"141","Acfer 134","Found",1990,1161,4.53333,27.76667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"142","Acfer 135","Found",1990,124,4.03333,27.55,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"143","Acfer 136","Found",1990,324,4.05,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"144","Acfer 137","Found",1990,106,4.08333,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4/5"
"145","Acfer 138","Found",1990,941,4.08333,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"146","Acfer 139","Found",1990,143,4.08333,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"147","Acfer 140","Found",1990,171,4.08333,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"148","Acfer 141","Found",1990,58,3.85,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"149","Acfer 142","Found",1990,91,4.35,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"150","Acfer 143","Found",1990,417,4.45,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"151","Acfer 144","Found",1990,186,4.28333,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"152","Acfer 145","Found",1990,869,4.28333,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"153","Acfer 146","Found",1990,200,4.08333,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"154","Acfer 147","Found",1990,140,4.11667,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"155","Acfer 148","Found",1990,157,4.06667,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"156","Acfer 149","Found",1990,394,4.05,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","L/LL6"
"157","Acfer 150","Found",1990,251,3.81667,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"158","Acfer 151","Found",1990,218,3.71667,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"159","Acfer 152","Found",1990,157,3.75,27.43333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"160","Acfer 153","Found",1990,211,3.95,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.6-6"
"161","Acfer 154","Found",1990,95,4.01667,27.55,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"162","Acfer 155","Found",1990,206,4.25,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"163","Acfer 156","Found",1990,240,4.23333,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"164","Acfer 157","Found",1990,1072,4.23333,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"165","Acfer 158","Found",1990,422,4.21667,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4/5"
"166","Acfer 159","Found",1990,123,3.93333,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.8"
"167","Acfer 160","Found",1990,433,3.71667,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3.8-6"
"168","Acfer 161","Found",1990,604,4.43333,27.75,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"169","Acfer 162","Found",1990,1281,4.01667,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3-6"
"170","Acfer 163","Found",1990,125,4.35,27.7,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.8-5"
"171","Acfer 164","Found",1990,43,4.18333,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"172","Acfer 165","Found",1990,84,4.33333,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5-6"
"173","Acfer 166","Found",1990,2476,4.23333,27.51667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3-5"
"174","Acfer 167","Found",1990,157,4,27.51667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"175","Acfer 168","Found",1990,211,3.98333,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"176","Acfer 169","Found",1990,559,4.11667,27.73333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.8/4"
"177","Acfer 171","Found",1990,313,4.25,27.65,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.7"
"178","Acfer 172","Found",1990,766,4.16667,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"179","Acfer 173","Found",1990,262,4.03333,27.65,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"180","Acfer 174","Found",1990,127,3.86667,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"181","Acfer 175","Found",1990,153,3.85,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"182","Acfer 176","Found",1990,320,3.85,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"183","Acfer 177","Found",1990,721,3.85,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"184","Acfer 178","Found",1990,488,3.75,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.7"
"185","Acfer 179","Found",1990,163,3.75,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"186","Acfer 180","Found",1990,103,4.16667,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.9-5"
"187","Acfer 181","Found",1990,245,4.2,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"188","Acfer 182","Found",1990,166,4.35,27.7,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CH","CH3"
"189","Acfer 183","Found",1990,114,4.16667,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"190","Acfer 184","Found",1990,311,4.01667,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"191","Acfer 185","Found",1990,109,3.83333,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5"
"192","Acfer 186","Found",1990,315,3.86667,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"193","Acfer 187","Found",1990,234,3.9,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"194","Acfer 188","Found",1990,252,4.11667,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.9/4"
"195","Acfer 189","Found",1990,53,4.18333,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"196","Acfer 190","Found",1990,4439,4.3,27.7,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"197","Acfer 191","Found",1990,188,4.3,27.7,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"198","Acfer 192","Found",1990,219,4.2,27.65,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.9-5"
"199","Acfer 193","Found",1990,157,3.95,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL4-6"
"200","Acfer 194","Found",1991,361,3.68889,27.49944,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"201","Acfer 195","Found",1991,233,3.81139,27.52472,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"202","Acfer 196","Found",1991,29,4.03389,27.57694,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"203","Acfer 197","Found",1991,115,4.14,27.55583,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"204","Acfer 198","Found",1991,267,3.79139,27.51694,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"205","Acfer 199","Found",1991,215,3.85139,27.48028,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"206","Acfer 200","Found",1991,1301,3.92111,27.50194,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3-6"
"207","Acfer 201","Found",1991,55,3.91806,27.59222,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"208","Acfer 202","Found",1991,389,4.60167,27.50889,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CM-CO","CO","CO3.5"
"209","Acfer 203","Found",1991,292,4.36917,27.57806,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"210","Acfer 204","Found",1991,64,3.98306,27.64639,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3"
"211","Acfer 205","Found",1991,746,4.32806,27.7375,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"212","Acfer 206","Found",1991,1229,4.37861,27.69083,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"213","Acfer 207","Found",1991,105,4.37194,27.68806,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CH","CH3"
"214","Acfer 208","Found",1991,510,3.88194,27.50472,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5"
