,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
1,1,21.0,Fell,1880,50.775,6.08333,L,Chondrite,Stony,11
6,1,2914.0,Found,1941,33.85,-101.8,L,Chondrite,Stony,1
10,1,6700.0,Found,1989,27.5,3.61667,L,Chondrite,Stony,14
13,1,1020.0,Found,1989,27.58333,3.81667,L,Chondrite,Stony,14
16,1,542.0,Found,1989,27.51667,3.65,L,Chondrite,Stony,14
18,1,127.0,Found,1989,27.73333,4.08333,L,Chondrite,Stony,14
19,1,276.0,Found,1989,27.75,4.1,L,Chondrite,Stony,14
24,1,98.0,Found,1989,27.78333,4.28333,L,Chondrite,Stony,14
26,1,446.0,Found,1989,27.73333,4.4,L,Chondrite,Stony,14
28,1,581.0,Found,1989,27.7,4.06667,L,Chondrite,Stony,14
41,1,495.0,Found,1989,27.65,4.46667,L,Chondrite,Stony,14
42,1,93.0,Found,1989,27.65,4.43333,L,Chondrite,Stony,14
43,1,184.0,Found,1989,27.63333,4.35,L,Chondrite,Stony,14
45,1,112.0,Found,1989,27.58333,4.25,L,Chondrite,Stony,14
48,1,225.0,Found,1989,27.53333,3.91667,L,Chondrite,Stony,14
49,1,146.0,Found,1989,27.46667,3.78333,L,Chondrite,Stony,14
53,1,195.0,Found,1989,27.55,4.0,L,Chondrite,Stony,14
55,1,1440.0,Found,1989,27.83333,4.7,L,Chondrite,Stony,14
59,1,905.0,Found,1989,27.61667,4.41667,L,Chondrite,Stony,14
60,1,58.0,Found,1989,27.75,4.15,L,Chondrite,Stony,14
64,1,129.0,Found,1989,27.46667,3.88333,L,Chondrite,Stony,14
71,1,854.0,Found,1989,27.61667,4.56667,L,Chondrite,Stony,14
73,1,517.0,Found,1990,27.63333,4.06667,LL,Chondrite,Stony,11
75,1,1805.0,Found,1990,27.55,3.7,L,Chondrite,Stony,11
76,1,941.0,Found,1990,27.53333,3.83333,L,Chondrite,Stony,11
78,1,1379.0,Found,1990,27.63333,4.28333,L,Chondrite,Stony,11
79,1,162.0,Found,1990,27.63333,4.25,L,Chondrite,Stony,11
81,1,384.0,Found,1990,27.48333,3.83333,L,Chondrite,Stony,11
84,1,2538.0,Found,1990,27.63333,4.51667,L,Chondrite,Stony,11
86,1,387.0,Found,1990,27.5,3.68333,L,Chondrite,Stony,11
87,1,574.0,Found,1990,27.63333,4.51667,L,Chondrite,Stony,11
