,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
7268,2,6.85,Found,2005,34.48728,-116.95833,H,Chondrite,Stony,11
7292,2,173.0,Found,2005,19.200667,54.908417,LL,Chondrite,Stony,11
7293,2,186.0,Found,2005,19.194833,54.918417,Ureilite,Achondrite,Stony,11
7294,2,3420.0,Found,2005,19.223306,54.935778,H,Chondrite,Stony,11
7295,2,661.0,Found,2005,19.229083,54.923111,LL,Chondrite,Stony,11
7296,2,356.0,Found,2005,19.274778,54.672972,H,Chondrite,Stony,11
7297,2,445.0,Found,2005,19.191694,54.639389,LL,Chondrite,Stony,11
7298,2,328.0,Found,2005,19.191222,54.671556,LL,Chondrite,Stony,11
7299,2,426.0,Found,2005,19.190417,54.957194,L,Chondrite,Stony,11
7300,2,952.0,Found,2005,18.741611,54.26175,LL,Chondrite,Stony,11
7301,2,108.0,Found,2005,18.751639,54.352361,H,Chondrite,Stony,11
7302,2,60.8,Found,2005,19.226417,54.96725,L,Chondrite,Stony,11
7303,2,501.0,Found,2005,19.218111,54.917417,Ureilite,Achondrite,Stony,11
7304,2,849.0,Found,2005,18.741611,54.26175,LL,Chondrite,Stony,11
7305,2,732.0,Found,2005,18.86975,54.840111,LL,Chondrite,Stony,11
7306,2,115.2,Found,2005,18.91444,54.345,Lunar,Achondrite,Stony,11
7307,2,1812.0,Found,2005,18.745694,54.267167,H,Chondrite,Stony,11
7308,2,1040.0,Found,2005,18.688528,54.326528,L,Chondrite,Stony,11
7309,2,1088.0,Found,2005,18.895667,54.343556,H,Chondrite,Stony,11
7310,2,2510.0,Found,2005,18.875861,54.472611,LL,Chondrite,Stony,11
7311,2,142.0,Found,2005,18.534528,54.167889,L,Chondrite,Stony,11
7312,2,1905.0,Found,2005,18.56925,54.195389,LL,Chondrite,Stony,11
7313,2,445.6,Found,2005,18.733472,54.515083,LL,Chondrite,Stony,11
7314,2,42.0,Found,2005,18.731389,54.509167,Diogenite,Achondrite,Stony,11
7315,2,1883.0,Found,2005,18.682806,54.285778,LL,Chondrite,Stony,11
7337,2,10.0,Found,2005,19.18067,54.41883,CM,Chondrite,Stony,11
7346,2,1802.0,Found,2005,19.79717,56.7195,LL,Chondrite,Stony,11
7383,2,898.0,Found,2005,18.42632,54.42865,Eucrite,Achondrite,Stony,11
7385,2,117.0,Found,2005,19.32681,54.76439,H,Chondrite,Stony,11
7386,2,1588.0,Found,2005,18.25117,54.19822,L,Chondrite,Stony,11
7387,2,4473.0,Found,2005,18.27717,54.25547,H,Chondrite,Stony,11
7388,2,140.0,Found,2005,18.21947,54.30514,L,Chondrite,Stony,11
7389,2,582.0,Found,2005,18.552,54.00217,L,Chondrite,Stony,11
7390,2,502.0,Found,2005,18.55392,54.01958,L,Chondrite,Stony,11
7391,2,558.0,Found,2005,18.532,54.03436,L,Chondrite,Stony,11
7405,2,23.9,Found,2005,18.91947,54.36237,Howardite,Achondrite,Stony,11
7407,2,85.0,Found,2005,18.6672,54.3662,H,Chondrite,Stony,11
7408,2,34.0,Found,2005,18.79508,54.15128,H,Chondrite,Stony,11
7410,2,90.0,Found,2005,19.32865,54.53763,H,Chondrite,Stony,11
7414,2,66.0,Found,2005,19.315,54.53,H,Chondrite,Stony,11
7423,2,714.0,Found,2005,20.92767,57.28233,L,Chondrite,Stony,11
7436,2,468.0,Found,2005,21.06,57.29667,H,Chondrite,Stony,11
7441,2,2298.0,Found,2005,18.15169,53.94822,H,Chondrite,Stony,11
7442,2,182.0,Found,2005,18.54864,53.9505,L,Chondrite,Stony,11
7443,2,396.0,Found,2005,18.54744,53.99428,L,Chondrite,Stony,11
7444,2,375.0,Found,2005,18.54747,53.99986,L,Chondrite,Stony,11
7446,2,54.7,Found,2005,19.59864,55.00294,L,Chondrite,Stony,11
7448,2,846.0,Found,2005,33.91667,-112.55,L,Chondrite,Stony,11
7449,2,124.0,Found,2005,27.85,-7.8,EH or EL,Chondrite,Stony,11
7453,2,155.0,Found,2005,22.846044,55.121208,Ureilite,Achondrite,Stony,11
7455,2,7269.0,Found,2005,21.37015,57.7291,LL,Chondrite,Stony,11
7466,2,579.0,Found,2005,20.31142,56.22532,Ureilite,Achondrite,Stony,11
7467,2,97.3,Found,2005,20.03138,56.4559,CV,Chondrite,Stony,11
7469,2,30.92,Found,2005,20.06413,56.5339,Eucrite,Achondrite,Stony,11
7474,2,13.31,Found,2005,30.70952,28.9698,H,Chondrite,Stony,11
7523,2,459.06,Found,2005,19.96597,56.44698,H,Chondrite,Stony,11
7524,2,121.34,Found,2005,19.93843,56.42242,H,Chondrite,Stony,11
7525,2,5.5,Found,2005,19.93958,56.41473,L,Chondrite,Stony,11
7526,2,9.36,Found,2005,19.96303,56.47833,H,Chondrite,Stony,11
7527,2,2927.04,Found,2005,19.7034,56.64247,L,Chondrite,Stony,11
7528,2,376.89,Found,2005,19.70438,56.64243,L,Chondrite,Stony,11
7529,2,1350.6,Found,2005,19.70448,56.6428,L,Chondrite,Stony,11
7530,2,4012.0,Found,2005,19.75643,56.55205,L,Chondrite,Stony,11
