,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
1,3,21.0,Fell,1880,50.775,6.08333,L,Chondrite,Stony,11
2,3,720.0,Fell,1951,56.18333,10.23333,H,Chondrite,Stony,1
5,3,107000.0,Fell,1952,54.21667,-113.0,EH,Chondrite,Stony,1
6,3,2914.0,Found,1941,33.85,-101.8,L,Chondrite,Stony,1
9,3,1914.0,Fell,1976,16.88333,-99.9,Acapulcoite,Achondrite,Stony,0
367,3,780.0,Fell,1902,-33.16667,-64.95,L,Chondrite,Stony,2
374,3,4239.0,Fell,1919,32.1,71.8,EH,Chondrite,Stony,2
385,3,910.0,Fell,1949,44.83333,95.16667,LL,Chondrite,Stony,2
390,3,1620.0,Fell,1930,-31.6,-65.23333,L,Chondrite,Stony,2
409,3,1440.0,Fell,1920,-30.86667,-64.55,L,Chondrite,Stony,2
414,3,24000.0,Fell,1925,19.08333,8.38333,L,Chondrite,Stony,14
416,3,779.0,Fell,1949,29.51667,35.05,L,Chondrite,Stony,14
417,3,1800.0,Fell,1838,29.71667,77.95,H,Chondrite,Stony,1
436,3,160.0,Fell,1957,24.41667,39.51667,CR,Chondrite,Stony,2
442,3,2000.0,Fell,1766,44.65,11.01667,LL,Chondrite,Stony,1
443,3,625.0,Fell,1949,2.0,22.66667,L,Chondrite,Stony,18
445,3,15400.0,Found,1949,41.41667,-104.1,L,Chondrite,Stony,1
450,3,700.0,Fell,1835,51.78333,-1.78333,LL,Chondrite,Stony,2
451,3,3200.0,Fell,1873,36.23333,37.13333,L,Chondrite,Stony,2
452,3,908.0,Fell,1860,44.88333,8.75,H,Chondrite,Stony,1
455,3,228000.0,Fell,1883,45.26667,10.15,L,Chondrite,Stony,1
464,3,32000.0,Fell,1899,42.53333,-85.88333,H,Chondrite,Stony,1
466,3,2000000.0,Fell,1969,26.96667,-105.31667,CV,Chondrite,Stony,2
471,3,6000.0,Fell,1977,35.27333,44.21556,LL,Chondrite,Stony,1
475,3,6400.0,Fell,1895,27.66667,78.25,H,Chondrite,Stony,1
476,3,4532.0,Found,1934,35.16667,-97.88333,L,Chondrite,Stony,1
478,3,8500.0,Found,1947,40.8,-99.2,L,Chondrite,Stony,1
480,3,3200.0,Fell,1898,44.61667,-70.75,L,Chondrite,Stony,10
481,3,600.0,Fell,1969,48.7,37.5,L,Chondrite,Stony,11
482,3,26.6,Found,1898,49.65,29.63333,L,Chondrite,Stony,1
483,3,17900.0,Fell,1939,20.88333,76.86667,H,Chondrite,Stony,1
485,3,367.0,Fell,1822,47.46667,-0.55,L,Chondrite,Stony,1
491,3,3900.0,Found,1972,39.33333,-97.56167,L,Chondrite,Stony,1
495,3,320.0,Fell,1984,40.81056,140.78556,L,Chondrite,Stony,10
497,3,6.1,Found,1938,39.75,-105.2,L,Chondrite,Stony,1
499,3,15000.0,Fell,1914,53.58333,-2.71667,LL,Chondrite,Stony,1
500,3,15000.0,Fell,1914,53.58333,-2.71667,LL,Chondrite,Stony,1
501,3,15000.0,Fell,1914,53.58333,-2.71667,LL,Chondrite,Stony,1
503,3,3200.0,Fell,1803,43.86667,5.38333,L,Chondrite,Stony,12
510,3,5070.0,Fell,1932,38.5,-94.3,H,Chondrite,Stony,1
532,3,1300.0,Fell,1923,52.05,0.3,L,Chondrite,Stony,2
533,3,1300.0,Fell,1923,52.05,0.3,L,Chondrite,Stony,2
543,3,1280.0,Fell,1920,25.25417,80.625,L,Chondrite,Stony,1
544,3,94.2,Fell,1896,20.06667,-103.66667,L,Chondrite,Stony,16
545,3,265.0,Fell,1933,34.75,-87.0,LL,Chondrite,Stony,1
547,3,1384.2,Fell,1945,34.31667,-96.15,L,Chondrite,Stony,11
555,3,50000.0,Fell,1865,36.16667,3.66667,L,Chondrite,Stony,2
556,3,2000.0,Fell,1842,44.33333,3.23333,L,Chondrite,Stony,11
559,3,50000.0,Fell,1858,43.08333,0.58333,L,Chondrite,Stony,1
560,3,9330.0,Fell,1952,-21.46028,-49.95083,H,Chondrite,Stony,1
564,3,134.0,Fell,1968,2.71667,32.83333,L,Chondrite,Stony,16
567,3,2830.0,Fell,1938,36.8,-108.0,L,Chondrite,Stony,13
