"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"560",4905,"H4",9330,"Fell",1952,-21.46028,-49.95083,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"561",4906,"Iron, IIAB",1230,"Fell",1908,46,13.5,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","1",0.297273742080897
"562",4907,"H",146,"Fell",1855,25,-103.5,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922
"564",4910,"L4",134,"Fell",1968,2.71667,32.83333,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"567",4913,"L6",2830,"Fell",1938,36.8,-108,"L","Chondrite","Stony","Ordinary","L","13",0.428663281861922
"571",4917,"L6",18000,"Fell",1814,48.6,38,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"576",4922,"Iron, IAB-sLL",10322,"Fell",1934,28.48333,78.5,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","1",0.297273742080897
"579",4925,"L4",3700,"Fell",1929,35.96667,-82.48333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"580",4926,"L6",345,"Fell",1922,34.5,-88.66667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"582",4928,"CV3",1000,"Fell",1907,5.38333,16.38333,"CV","Chondrite","Stony","Carbonaceous","CV-CK","16",1.82339952891488
"587",4934,"Iron, ungrouped",16700,"Fell",1993,16.66667,101.18333,"Iron","Achondrite","Iron",NA,NA,"11",0.00485781484723708
"588",4935,"LL6",11500,"Fell",1871,-6.91667,107.6,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"589",4936,"L6",15000,"Fell",1892,27.7,76.33333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"590",4937,"L5",14,"Fell",1913,30.4,78.2,"L","Chondrite","Stony","Ordinary","L","12",0.49799067553469
"591",4938,"CM2",629,"Fell",1933,-6.33333,106,"CM","Chondrite","Stony","Carbonaceous","CM-CO","1",0.297273742080897
"595",4942,"H5",6400,"Fell",1790,43.95,-0.05,"H","Chondrite","Stony","Ordinary","H","12",0.49799067553469
