,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
435,6,402.75,Found,2003,19.80252,57.32137,L,Chondrite,Stony,11
2212,6,30.0,Found,1991,-30.6,130.06667,CV,Chondrite,Stony,11
2338,6,87.77,Found,2003,18.5453,54.02017,L,Chondrite,Stony,11
2340,6,334.23,Found,2003,18.5539,54.01315,L,Chondrite,Stony,11
2345,6,194.05,Found,2003,18.5552,54.01572,L,Chondrite,Stony,11
2348,6,125.21,Found,2003,18.55942,54.04513,L,Chondrite,Stony,11
2361,6,183.1,Found,2003,18.65695,54.23873,L,Chondrite,Stony,11
2365,6,492.6,Found,2003,19.33503,54.79092,L,Chondrite,Stony,11
2366,6,81.1,Found,2003,18.4285,54.17082,L,Chondrite,Stony,11
2368,6,489.8,Found,2003,19.31025,54.75487,L,Chondrite,Stony,11
2372,6,886.2,Found,2003,19.30455,54.63157,L,Chondrite,Stony,11
2423,6,90.0,Found,2003,18.7221,54.46077,Lunar,Achondrite,Stony,11
2424,6,197.0,Found,2003,19.3281,54.77718,Lunar,Achondrite,Stony,11
3137,6,394.0,Found,2003,19.3,54.66833,Chondrite,Chondrite,Stony,11
3142,6,245.0,Found,2003,19.33167,54.78333,Lunar,Achondrite,Stony,11
3143,6,3.9,Found,2003,19.33015,54.77972,Lunar,Achondrite,Stony,11
3154,6,26.0,Found,2003,18.91833,54.40833,L,Chondrite,Stony,11
3155,6,144.0,Found,2003,18.625,54.43,L,Chondrite,Stony,11
3156,6,2270.0,Found,2003,19.405,54.57,L,Chondrite,Stony,11
3158,6,49.0,Found,2003,19.39667,54.56333,Lunar,Achondrite,Stony,11
3163,6,18.0,Found,2003,19.39,54.55833,Eucrite,Achondrite,Stony,11
3226,6,30.0,Fell,1999,-31.66667,152.83333,L,Chondrite,Stony,11
4270,6,882.7,Found,2003,19.91448,55.66278,L,Chondrite,Stony,11
4271,6,3959.86,Found,2003,19.91455,55.66447,L,Chondrite,Stony,11
4272,6,23.41,Found,2003,19.58403,55.6798,L,Chondrite,Stony,11
4292,6,3563.0,Found,2003,19.75073,56.96652,L,Chondrite,Stony,11
4294,6,2711.0,Found,2003,19.8579,56.99973,L,Chondrite,Stony,11
4343,6,4000.0,Found,2003,7.31667,80.55,L,Chondrite,Stony,11
4688,6,2.71,Found,2003,34.49553,-116.9471,L,Chondrite,Stony,11
5123,6,30.0,Found,1999,29.91667,-5.58333,L,Chondrite,Stony,11
5177,6,99.2,Found,2003,31.7,-3.3,L,Chondrite,Stony,11
5400,6,18000.0,Fell,2003,41.48472,-87.67917,L,Chondrite,Stony,11
5509,6,30.0,Found,1959,39.56667,-98.68333,L,Chondrite,Stony,2
5559,6,97.53,Found,2003,20.2023,56.36668,L,Chondrite,Stony,11
5671,6,52.7,Found,2003,41.65,-109.025,L,Chondrite,Stony,11
6039,6,31.7,Found,2003,21.00667,57.32167,Shergottite,Achondrite,Stony,11
6105,6,97.27,Found,2003,20.03577,57.22038,L,Chondrite,Stony,11
6109,6,1081.8,Found,2003,20.42087,57.35927,L,Chondrite,Stony,11
6134,6,2094.8,Found,2003,20.55683,56.8474,L,Chondrite,Stony,11
6137,6,2737.0,Found,2003,20.56275,57.2857,L,Chondrite,Stony,11
6143,6,773.9,Found,2003,20.58103,57.40295,L,Chondrite,Stony,11
6146,6,485.92,Found,2003,20.58747,57.35292,L,Chondrite,Stony,11
6150,6,461.13,Found,2003,20.59958,57.37525,L,Chondrite,Stony,11
6155,6,460.13,Found,2003,20.6361,57.2141,L,Chondrite,Stony,11
6157,6,1069.5,Found,2003,20.63642,57.28727,L,Chondrite,Stony,11
6168,6,97.45,Found,2003,20.79028,57.19408,L,Chondrite,Stony,11
6174,6,79.56,Found,2003,21.04455,57.2735,L,Chondrite,Stony,11
6282,6,503.76,Found,2003,18.21335,53.84675,L,Chondrite,Stony,11
6286,6,355.06,Found,2003,18.42957,54.04127,L,Chondrite,Stony,11
6293,6,393.86,Found,2003,18.57452,53.8161,L,Chondrite,Stony,11
6785,6,6900.0,Found,2003,-41.06667,-62.85,L,Chondrite,Stony,11
7031,6,120.0,Found,2003,44.495,11.35556,L,Chondrite,Stony,11
7085,6,174.0,Found,2003,19.34,54.74667,L,Chondrite,Stony,11
7093,6,4.57,Found,2003,19.32675,54.77512,Lunar,Achondrite,Stony,11
7094,6,4999.0,Found,2003,18.82852,54.63957,L,Chondrite,Stony,11
7108,6,21.7,Found,2003,19.325,54.78167,Lunar,Achondrite,Stony,11
7113,6,16.0,Found,2003,19.055,54.75333,CM,Chondrite,Stony,11
7118,6,35.4,Found,2003,19.39667,54.55833,Lunar,Achondrite,Stony,11
7119,6,21.6,Found,2003,19.39833,54.56333,Lunar,Achondrite,Stony,11
7137,6,4570.2,Found,2003,25.08683,0.8324,L,Chondrite,Stony,11
7146,6,209.0,Found,2003,28.46847,12.89732,L,Chondrite,Stony,11
7147,6,2197.0,Found,2003,29.81858,12.94647,L,Chondrite,Stony,11
7148,6,710.0,Found,2003,29.81858,12.94647,L,Chondrite,Stony,11
7154,6,16000.0,Found,2003,53.61667,56.33333,CH,Chondrite,Stony,11
7164,6,5.6,Found,2003,34.5001,-116.94217,L,Chondrite,Stony,11
