,mass,latitude,longitude,lc_sample,fell_found_Fell,fell_found_Found,group_Acapulcoite,group_Achondrite,group_Angrite,group_Aubrite,group_Brachinite,group_CB,group_CH,group_CI,group_CK,group_CM,group_CO,group_CR,group_CV,group_Chassignite,group_Chondrite,group_Diogenite,group_EH,group_EH or EL,group_EL,group_Eagle Station Group,group_Eucrite,group_H,"group_H,L, or LL",group_Howardite,group_Iron,group_Iron IAB,group_Iron IC,group_Iron IIAB,group_Iron IIC,group_Iron IID,group_Iron IIE,group_Iron IIF,group_Iron IIG,group_Iron IIIAB,group_Iron IIIE,group_Iron IIIF,group_Iron IVA,group_Iron IVB,group_Kakangari,group_L,group_LL,group_Loderanite,group_Lunar,group_Main Group,group_Mesosiderite,group_Nakhilite,group_Rumuruti,group_Shergottite,group_Stony,group_Ungrouped,group_Unknown,group_Ureilite,group_Winonaite,chondrite_Achondrite,chondrite_Chondrite,type_Iron,type_Stony,type_Stony-Iron
20,3800.0,27.75,4.16667,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
21,98.0,27.8,4.16667,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,490.0,27.83333,4.28333,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
23,307.0,27.8,4.46667,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24,98.0,27.78333,4.28333,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25,111.0,27.71667,4.48333,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26,446.0,27.73333,4.4,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,207.0,27.7,4.08333,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28,581.0,27.7,4.06667,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29,708.0,27.7,4.06667,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
