"","name","id","nametype","recclass","mass_in_grams","fell_or_found","year","latitude","longitude","GeoLocation"
"8616","Dominion Range 08172",53991,"Valid","H6",38,"Found",2008,0,0,"(0.0, 0.0)"
"8617","Dominion Range 08173",53992,"Valid","LL6",15.4,"Found",2008,0,0,"(0.0, 0.0)"
"8618","Dominion Range 08174",53993,"Valid","LL6",28.4,"Found",2008,0,0,"(0.0, 0.0)"
"8619","Dominion Range 08175",53994,"Valid","LL6",15.6,"Found",2008,0,0,"(0.0, 0.0)"
"8620","Dominion Range 08176",53995,"Valid","LL6",8.4,"Found",2008,0,0,"(0.0, 0.0)"
"8621","Dominion Range 08177",53996,"Valid","LL6",31,"Found",2008,0,0,"(0.0, 0.0)"
"8622","Dominion Range 08178",53997,"Valid","LL6",22.5,"Found",2008,0,0,"(0.0, 0.0)"
"8623","Dominion Range 08179",53998,"Valid","LL6",29.8,"Found",2008,0,0,"(0.0, 0.0)"
"8624","Dominion Range 08180",53999,"Valid","LL5",22.7,"Found",2008,0,0,"(0.0, 0.0)"
"8625","Dominion Range 08181",54000,"Valid","LL6",35.2,"Found",2008,0,0,"(0.0, 0.0)"
"8626","Dominion Range 08182",54001,"Valid","LL5",42.7,"Found",2008,0,0,"(0.0, 0.0)"
"8627","Dominion Range 08183",54002,"Valid","L6",28.3,"Found",2008,0,0,"(0.0, 0.0)"
"8628","Dominion Range 08184",54003,"Valid","LL6",32.8,"Found",2008,0,0,"(0.0, 0.0)"
"8629","Dominion Range 08185",54004,"Valid","LL6",49.3,"Found",2008,0,0,"(0.0, 0.0)"
"8630","Dominion Range 08186",54005,"Valid","LL6",74.4,"Found",2008,0,0,"(0.0, 0.0)"
"8631","Dominion Range 08187",54006,"Valid","LL6",27.9,"Found",2008,0,0,"(0.0, 0.0)"
"8632","Dominion Range 08188",54007,"Valid","L6",77.5,"Found",2008,0,0,"(0.0, 0.0)"
"8633","Dominion Range 08189",54008,"Valid","LL6",30.8,"Found",2008,0,0,"(0.0, 0.0)"
"8634","Dominion Range 08190",54009,"Valid","LL6",15.5,"Found",2008,0,0,"(0.0, 0.0)"
"8635","Dominion Range 08191",54010,"Valid","LL6",19.2,"Found",2008,0,0,"(0.0, 0.0)"
"8636","Dominion Range 08192",54011,"Valid","LL6",23.3,"Found",2008,0,0,"(0.0, 0.0)"
"8637","Dominion Range 08193",54012,"Valid","LL6",20.2,"Found",2008,0,0,"(0.0, 0.0)"
"8638","Dominion Range 08194",54013,"Valid","LL6",14.4,"Found",2008,0,0,"(0.0, 0.0)"
"8639","Dominion Range 08195",54014,"Valid","LL6",40.7,"Found",2008,0,0,"(0.0, 0.0)"
"8640","Dominion Range 08196",54015,"Valid","L6",28.3,"Found",2008,0,0,"(0.0, 0.0)"
"8641","Dominion Range 08197",54016,"Valid","LL6",22.6,"Found",2008,0,0,"(0.0, 0.0)"
"8642","Dominion Range 08198",54017,"Valid","LL6",13.9,"Found",2008,0,0,"(0.0, 0.0)"
"8643","Dominion Range 08199",54018,"Valid","L5",21.6,"Found",2008,0,0,"(0.0, 0.0)"
"8644","Dominion Range 08200",53046,"Valid","LL5",15.9,"Found",2008,0,0,"(0.0, 0.0)"
"8645","Dominion Range 08201",53047,"Valid","LL5",21.1,"Found",2008,0,0,"(0.0, 0.0)"
"8646","Dominion Range 08202",53048,"Valid","L5",21.8,"Found",2008,0,0,"(0.0, 0.0)"
"8647","Dominion Range 08203",53049,"Valid","LL5",33.2,"Found",2008,0,0,"(0.0, 0.0)"
"8648","Dominion Range 08204",53050,"Valid","LL6",24.1,"Found",2008,0,0,"(0.0, 0.0)"
"8649","Dominion Range 08205",53051,"Valid","LL6",17.7,"Found",2008,0,0,"(0.0, 0.0)"
"8650","Dominion Range 08206",53052,"Valid","LL6",39,"Found",2008,0,0,"(0.0, 0.0)"
"8651","Dominion Range 08207",53053,"Valid","LL6",22.6,"Found",2008,0,0,"(0.0, 0.0)"
"8652","Dominion Range 08208",53054,"Valid","LL6",27.1,"Found",2008,0,0,"(0.0, 0.0)"
"8653","Dominion Range 08209",53055,"Valid","L6",25.4,"Found",2008,0,0,"(0.0, 0.0)"
"8654","Dominion Range 08210",53056,"Valid","LL6",15.9,"Found",2008,0,0,"(0.0, 0.0)"
"8655","Dominion Range 08211",53057,"Valid","LL6",12.6,"Found",2008,0,0,"(0.0, 0.0)"
"8656","Dominion Range 08212",53058,"Valid","H6",8.2,"Found",2008,0,0,"(0.0, 0.0)"
"8657","Dominion Range 08213",53059,"Valid","LL5",9.3,"Found",2008,0,0,"(0.0, 0.0)"
"8658","Dominion Range 08214",53060,"Valid","LL5",9.4,"Found",2008,0,0,"(0.0, 0.0)"
"8659","Dominion Range 08215",53061,"Valid","LL6",14.6,"Found",2008,0,0,"(0.0, 0.0)"
"8660","Dominion Range 08216",53062,"Valid","L6",13,"Found",2008,0,0,"(0.0, 0.0)"
"8661","Dominion Range 08217",53063,"Valid","LL6",13.4,"Found",2008,0,0,"(0.0, 0.0)"
"8662","Dominion Range 08218",53064,"Valid","L6",18.3,"Found",2008,0,0,"(0.0, 0.0)"
"8663","Dominion Range 08219",53065,"Valid","LL6",21.9,"Found",2008,0,0,"(0.0, 0.0)"
"8664","Dominion Range 08220",54019,"Valid","L5",9.6,"Found",2008,0,0,"(0.0, 0.0)"
"8665","Dominion Range 08221",54020,"Valid","LL6",41.2,"Found",2008,0,0,"(0.0, 0.0)"
"8666","Dominion Range 08222",54021,"Valid","LL6",16.6,"Found",2008,0,0,"(0.0, 0.0)"
"8667","Dominion Range 08223",54022,"Valid","LL6",21.3,"Found",2008,0,0,"(0.0, 0.0)"
"8668","Dominion Range 08224",54023,"Valid","L6",31.6,"Found",2008,0,0,"(0.0, 0.0)"
"8669","Dominion Range 08225",54024,"Valid","LL6",21.7,"Found",2008,0,0,"(0.0, 0.0)"
"8670","Dominion Range 08226",54025,"Valid","LL6",21.2,"Found",2008,0,0,"(0.0, 0.0)"
"8671","Dominion Range 08227",54026,"Valid","L6",20.4,"Found",2008,0,0,"(0.0, 0.0)"
"8672","Dominion Range 08228",54027,"Valid","LL6",18.1,"Found",2008,0,0,"(0.0, 0.0)"
"8673","Dominion Range 08229",54028,"Valid","LL6",11.2,"Found",2008,0,0,"(0.0, 0.0)"
"8674","Dominion Range 08230",53066,"Valid","LL6",29.6,"Found",2008,0,0,"(0.0, 0.0)"
"8675","Dominion Range 08231",53067,"Valid","LL6",23.3,"Found",2008,0,0,"(0.0, 0.0)"
"8676","Dominion Range 08232",53068,"Valid","LL6",20.4,"Found",2008,0,0,"(0.0, 0.0)"
"8677","Dominion Range 08233",53069,"Valid","LL6",18.9,"Found",2008,0,0,"(0.0, 0.0)"
"8678","Dominion Range 08234",53070,"Valid","LL5",37.5,"Found",2008,0,0,"(0.0, 0.0)"
"8679","Dominion Range 08235",53071,"Valid","LL6",25.8,"Found",2008,0,0,"(0.0, 0.0)"
"8680","Dominion Range 08236",53072,"Valid","H6",27.6,"Found",2008,0,0,"(0.0, 0.0)"
"8681","Dominion Range 08237",53073,"Valid","LL6",31.3,"Found",2008,0,0,"(0.0, 0.0)"
"8682","Dominion Range 08238",53074,"Valid","LL6",29.9,"Found",2008,0,0,"(0.0, 0.0)"
"8683","Dominion Range 08239",53075,"Valid","H5",24.2,"Found",2008,0,0,"(0.0, 0.0)"
"8684","Dominion Range 08240",53076,"Valid","LL6",37.4,"Found",2008,0,0,"(0.0, 0.0)"
"8685","Dominion Range 08241",53077,"Valid","LL6",20.6,"Found",2008,0,0,"(0.0, 0.0)"
"8686","Dominion Range 08242",53078,"Valid","H6",25.1,"Found",2008,0,0,"(0.0, 0.0)"
"8687","Dominion Range 08243",53079,"Valid","LL6",43.2,"Found",2008,0,0,"(0.0, 0.0)"
"8688","Dominion Range 08244",53080,"Valid","LL6",45.4,"Found",2008,0,0,"(0.0, 0.0)"
"8689","Dominion Range 08245",53081,"Valid","LL6",42.2,"Found",2008,0,0,"(0.0, 0.0)"
"8690","Dominion Range 08246",53082,"Valid","LL6",42.3,"Found",2008,0,0,"(0.0, 0.0)"
"8691","Dominion Range 08247",53083,"Valid","LL6",61.7,"Found",2008,0,0,"(0.0, 0.0)"
"8692","Dominion Range 08248",53084,"Valid","LL6",32.9,"Found",2008,0,0,"(0.0, 0.0)"
"8693","Dominion Range 08249",53085,"Valid","LL5",72.2,"Found",2008,0,0,"(0.0, 0.0)"
"8694","Dominion Range 08250",54029,"Valid","L6",22.9,"Found",2008,0,0,"(0.0, 0.0)"
"8695","Dominion Range 08251",54030,"Valid","LL6",20,"Found",2008,0,0,"(0.0, 0.0)"
"8696","Dominion Range 08252",54031,"Valid","LL6",28.8,"Found",2008,0,0,"(0.0, 0.0)"
"8697","Dominion Range 08253",54032,"Valid","LL6",37.9,"Found",2008,0,0,"(0.0, 0.0)"
"8698","Dominion Range 08254",54033,"Valid","LL6",25.5,"Found",2008,0,0,"(0.0, 0.0)"
"8699","Dominion Range 08255",54034,"Valid","LL6",29.3,"Found",2008,0,0,"(0.0, 0.0)"
"8700","Dominion Range 08256",54035,"Valid","LL5",78.5,"Found",2008,0,0,"(0.0, 0.0)"
"8701","Dominion Range 08257",54036,"Valid","L5",19.8,"Found",2008,0,0,"(0.0, 0.0)"
"8702","Dominion Range 08258",54037,"Valid","LL6",48.4,"Found",2008,0,0,"(0.0, 0.0)"
"8703","Dominion Range 08259",54038,"Valid","LL6",64.2,"Found",2008,0,0,"(0.0, 0.0)"
"8704","Dominion Range 08260",54039,"Valid","LL6",9,"Found",2008,0,0,"(0.0, 0.0)"
"8705","Dominion Range 08261",54040,"Valid","L6",22.6,"Found",2008,0,0,"(0.0, 0.0)"
"8706","Dominion Range 08262",54041,"Valid","LL6",15,"Found",2008,0,0,"(0.0, 0.0)"
"8707","Dominion Range 08263",54042,"Valid","L5",12.4,"Found",2008,0,0,"(0.0, 0.0)"
"8708","Dominion Range 08264",54043,"Valid","L5",8.4,"Found",2008,0,0,"(0.0, 0.0)"
"8709","Dominion Range 08265",54044,"Valid","L6",6.2,"Found",2008,0,0,"(0.0, 0.0)"
"8710","Dominion Range 08266",54045,"Valid","LL6",30.1,"Found",2008,0,0,"(0.0, 0.0)"
"8711","Dominion Range 08267",54046,"Valid","LL6",19.8,"Found",2008,0,0,"(0.0, 0.0)"
"8712","Dominion Range 08268",54047,"Valid","LL6",30,"Found",2008,0,0,"(0.0, 0.0)"
"8713","Dominion Range 08269",54048,"Valid","LL6",29.3,"Found",2008,0,0,"(0.0, 0.0)"
"8714","Dominion Range 08270",54049,"Valid","LL6",29.5,"Found",2008,0,0,"(0.0, 0.0)"
"8715","Dominion Range 08271",54050,"Valid","L6",65,"Found",2008,0,0,"(0.0, 0.0)"
"8716","Dominion Range 08272",54051,"Valid","LL6",52.7,"Found",2008,0,0,"(0.0, 0.0)"
"8717","Dominion Range 08273",54052,"Valid","LL6",56.6,"Found",2008,0,0,"(0.0, 0.0)"
"8718","Dominion Range 08274",54053,"Valid","LL6",33.2,"Found",2008,0,0,"(0.0, 0.0)"
"8719","Dominion Range 08275",54054,"Valid","LL6",60.9,"Found",2008,0,0,"(0.0, 0.0)"
"8720","Dominion Range 08276",54055,"Valid","LL6",36.8,"Found",2008,0,0,"(0.0, 0.0)"
"8721","Dominion Range 08277",54056,"Valid","LL6",21,"Found",2008,0,0,"(0.0, 0.0)"
"8722","Dominion Range 08278",54057,"Valid","LL6",83.6,"Found",2008,0,0,"(0.0, 0.0)"
"8723","Dominion Range 08279",54058,"Valid","LL6",30.9,"Found",2008,0,0,"(0.0, 0.0)"
"8724","Dominion Range 08280",54059,"Valid","L6",24,"Found",2008,0,0,"(0.0, 0.0)"
"8725","Dominion Range 08281",54060,"Valid","LL6",15.3,"Found",2008,0,0,"(0.0, 0.0)"
"8726","Dominion Range 08282",54061,"Valid","LL6",20.8,"Found",2008,0,0,"(0.0, 0.0)"
"8727","Dominion Range 08283",54062,"Valid","L6",8.9,"Found",2008,0,0,"(0.0, 0.0)"
"8728","Dominion Range 08285",54063,"Valid","LL6",25,"Found",2008,0,0,"(0.0, 0.0)"
