,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group
2760,Dar al Gani 429,5977,Valid,C3-ung,253.0,Found,1998,27.28133,16.41733,"(27.28133, 16.41733)",C
2761,Dar al Gani 430,5978,Valid,C3-ung,572.0,Found,1998,27.27933,16.41167,"(27.27933, 16.41167)",C
3297,Dar al Gani 978,6518,Valid,C3-ung,44.4,Found,1999,27.28067,16.40567,"(27.28067, 16.40567)",C
5001,El Médano 100,57139,Valid,C2-ung,1.8,Found,2011,-24.85,-70.53333,"(-24.85, -70.53333)",C
5450,Hammadah al Hamra 073,11556,Valid,C4-ung,569.0,Found,1994,28.78767,12.87017,"(28.78767, 12.87017)",C
6899,Loongana 001,14699,Valid,C4-ung,179.0,Found,1990,-30.6,127.16667,"(-30.6, 127.16667)",C
7193,Mulga (west),16849,Valid,C5/6-ung,169.2,Found,1971,-30.18333,126.36667,"(-30.18333, 126.36667)",C
7331,Northwest Africa 033,17043,Valid,C3-ung,192.0,Found,1999,30.9,-3.96667,"(30.9, -3.96667)",C
350,Gujba,11449,Valid,CBa,100000.0,Fell,1984,11.49167,11.65833,"(11.49167, 11.65833)",CB
1736,Bencubbin,5014,Valid,CBa,118000.0,Found,1930,-30.75,117.78333,"(-30.75, 117.78333)",CB
5217,Fountain Hills,30565,Valid,CBa,60.0,Found,2002,33.61,-111.72,"(33.61, -111.72)",CB
5614,Hammadah al Hamra 237,11720,Valid,CBb,3173.0,Found,1997,28.60933,13.04917,"(28.60933, 13.04917)",CB
9643,Weatherford,24226,Valid,CBa,2000.0,Found,1926,35.5,-98.7,"(35.5, -98.7)",CB
1279,Acfer 182,190,Valid,CH3,166.0,Found,1990,27.7,4.35,"(27.7, 4.35)",CH
1304,Acfer 207,215,Valid,CH3,105.0,Found,1991,27.68806,4.37194,"(27.68806, 4.37194)",CH
1311,Acfer 214,222,Valid,CH3,612.0,Found,1991,27.69,4.37861,"(27.69, 4.37861)",CH
1462,Acfer 366,32782,Valid,CH3,1456.0,Found,2002,26.60933,3.93567,"(26.60933, 3.93567)",CH
5917,Isheyevo,30726,Valid,CH/CBb,16000.0,Found,2003,53.61667,56.33333,"(53.61667, 56.33333)",CH
7424,Northwest Africa 470,17738,Valid,CH3,62.9,Found,1999,31.98333,-4.18667,"(31.98333, -4.18667)",CH
7476,Northwest Africa 770,17843,Valid,CH3,18.1,Found,2000,20.34667,-11.83383,"(20.34667, -11.83383)",CH
8704,Sayh al Uhaymir 290,32488,Valid,CH3,1796.0,Found,2004,21.07544,57.14703,"(21.07544, 57.14703)",CH
188,Chassigny,5331,Valid,Martian (chassignite),4000.0,Fell,1815,47.71667,5.36667,"(47.71667, 5.36667)",CHA
75,Barcelona (stone),4944,Valid,OC,367.0,Fell,1704,41.36667,2.16667,"(41.36667, 2.16667)",Chon
92,Belville,5009,Valid,OC,367.0,Fell,1937,-32.33333,-64.86667,"(-32.33333, -64.86667)",Chon
157,Cacak,5187,Valid,OC,212.0,Fell,1919,43.83889,20.33333,"(43.83889, 20.33333)",Chon
173,Caswell County,5296,Valid,OC,1360.0,Fell,1810,36.5,-79.25,"(36.5, -79.25)",Chon
236,Dharwar,6699,Valid,OC,1800.0,Fell,1848,14.88333,75.6,"(14.88333, 75.6)",Chon
296,Ferguson,10088,Valid,OC,220.0,Fell,1889,36.1,-81.41667,"(36.1, -81.41667)",Chon
355,Gyokukei,11467,Valid,OC,1320.0,Fell,1930,35.0,127.5,"(35.0, 127.5)",Chon
382,Hoxie,11915,Valid,OC,266.1,Fell,1963,39.35,-100.45,"(39.35, -100.45)",Chon
389,Ibrisim,11994,Valid,OC,367.0,Fell,1949,38.0,35.0,"(38.0, 35.0)",Chon
494,Krutikha,12363,Valid,OC,845.2,Fell,1906,56.8,77.0,"(56.8, 77.0)",Chon
502,Kushiike,12381,Valid,OC,4460.0,Fell,1920,37.05,138.38333,"(37.05, 138.38333)",Chon
509,La Charca,12394,Valid,OC,399.0,Fell,1878,20.66667,-101.28333,"(20.66667, -101.28333)",Chon
569,Malaga,15393,Valid,OC,150.0,Fell,1933,32.21667,-104.0,"(32.21667, -104.0)",Chon
621,Minnichhof,16700,Valid,OC,550.0,Fell,1905,47.7,16.6,"(47.7, 16.6)",Chon
656,Myhee Caunta,16887,Valid,OC,367.0,Fell,1842,23.05,72.63333,"(23.05, 72.63333)",Chon
699,Novy-Projekt,17935,Valid,OC,1001.0,Fell,1908,56.0,22.0,"(56.0, 22.0)",Chon
736,Owrucz,18062,Valid,OC,367.0,Fell,1775,51.33333,28.83333,"(51.33333, 28.83333)",Chon
740,Palahatchie,18073,Valid,OC,367.0,Fell,1910,32.31667,-89.71667,"(32.31667, -89.71667)",Chon
839,Richland Springs,22602,Valid,OC,1900.0,Fell,1980,31.25,-99.03333,"(31.25, -99.03333)",Chon
920,Soheria,23660,Valid,OC,72.9,Fell,1960,27.13333,84.06667,"(27.13333, 84.06667)",Chon
926,Sopot,23670,Valid,OC,958.0,Fell,1927,44.41667,23.5,"(44.41667, 23.5)",Chon
992,Tounkin,24037,Valid,OC,2000.0,Fell,1824,51.73333,102.53333,"(51.73333, 102.53333)",Chon
1019,Unkoku,24123,Valid,OC,1000.0,Fell,1924,34.8,127.0,"(34.8, 127.0)",Chon
1058,Wolamo,24324,Valid,OC,166.4,Fell,1964,9.0,39.0,"(9.0, 39.0)",Chon
1466,Acfer 370,32783,Valid,Chondrite-ung,129.0,Found,2002,27.6725,4.35667,"(27.6725, 4.35667)",Chon
1538,Aiken,421,Valid,OC,956.0,Found,1936,34.2,-101.5,"(34.2, -101.5)",Chon
1680,Atwood (b),4892,Valid,OC,77.0,Found,1964,40.51667,-103.26667,"(40.51667, -103.26667)",Chon
