,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group
3344,Daraj 120,6579,Valid,H5,231.0,Found,1986,29.58333,11.78333,"(29.58333, 11.78333)",H
3345,Daraj 121,6580,Valid,H3,304.0,Found,1986,29.50639,11.49861,"(29.50639, 11.49861)",H
3346,Daraj 125,6583,Valid,H5,405.0,Found,1986,29.62889,11.78778,"(29.62889, 11.78778)",H
3347,Daraj 127,6584,Valid,H5,242.0,Found,1986,29.60028,12.23889,"(29.60028, 12.23889)",H
3349,Daraj 130,6586,Valid,H4,483.0,Found,1986,29.30222,11.91639,"(29.30222, 11.91639)",H
3351,Daraj 132,6588,Valid,H6,475.0,Found,1986,29.36306,11.99667,"(29.36306, 11.99667)",H
3352,Daraj 133,6589,Valid,H4,313.0,Found,1986,29.53333,12.26667,"(29.53333, 12.26667)",H
3353,Daraj 135,6590,Valid,H5,278.0,Found,1986,29.63333,11.73333,"(29.63333, 11.73333)",H
3354,Daraj 136,6591,Valid,H5,341.0,Found,1986,29.58333,11.78333,"(29.58333, 11.78333)",H
3355,Daraj 137,6592,Valid,H4,228.0,Found,1986,29.58333,11.78333,"(29.58333, 11.78333)",H
3356,Daraj 139,6594,Valid,H5,244.0,Found,1986,29.58333,11.78333,"(29.58333, 11.78333)",H
3358,Daraj 143,6598,Valid,H4,374.0,Found,1986,29.58333,11.78333,"(29.58333, 11.78333)",H
3360,Daraj 145,6600,Valid,H6,3354.0,Found,2000,29.64528,11.66472,"(29.64528, 11.66472)",H
3361,Daraj 146,6601,Valid,H5,4553.0,Found,2000,29.62778,11.7025,"(29.62778, 11.7025)",H
3365,Davy (b),6617,Valid,H4,3770.0,Found,1981,29.00833,-97.70556,"(29.00833, -97.70556)",H
3366,Dawn (a),6618,Valid,H6,7682.0,Found,1981,34.86,-102.12,"(34.86, -102.12)",H
3367,Dawn (b),6619,Valid,H4/5,257.6,Found,1981,34.86,-102.12,"(34.86, -102.12)",H
3370,De Kalb,6623,Valid,H,566.0,Found,1969,39.59167,-94.92194,"(39.59167, -94.92194)",H
3373,Deakin 002,6626,Valid,H4,4.5,Found,1978,-30.88333,128.975,"(-30.88333, 128.975)",H
3374,Deakin 003,6627,Valid,H5,82.6,Found,1986,-30.88333,128.66667,"(-30.88333, 128.66667)",H
3375,Deakin 004,6628,Valid,H4,127.9,Found,1986,-30.47,128.745,"(-30.47, 128.745)",H
3376,Deakin 005,6629,Valid,H5,77.0,Found,1989,-30.53333,128.56667,"(-30.53333, 128.56667)",H
3377,Deakin 006,6630,Valid,H4/5,274.0,Found,1989,-30.58333,128.66667,"(-30.58333, 128.66667)",H
3378,Deakin 007,6631,Valid,H6,1060.0,Found,1989,-30.16667,128.66667,"(-30.16667, 128.66667)",H
3379,Deakin 008,6632,Valid,H5,61.4,Found,1989,-30.66667,129.01667,"(-30.66667, 129.01667)",H
3380,Deakin 009,6633,Valid,H5,150.0,Found,1991,-30.73333,128.91667,"(-30.73333, 128.91667)",H
3382,Deán Funes,6635,Valid,H5,9260.0,Found,1977,-30.43333,-64.2,"(-30.43333, -64.2)",H
3393,Delphos (d),6648,Valid,H5,276.0,Found,1969,34.05,-103.55,"(34.05, -103.55)",H
3394,Deming,55792,Valid,H5,784.0,Found,2009,32.22548,-107.90459,"(32.22548, -107.90459)",H
3395,Dengli,6650,Valid,H3.8,243.5,Found,1976,39.06667,58.86667,"(39.06667, 58.86667)",H
3398,Denman 003,6653,Valid,H5,53.0,Found,1991,-30.60867,130.08017,"(-30.60867, 130.08017)",H
3401,Densmore (1950),6657,Valid,H6,11300.0,Found,1950,39.56583,-99.64722,"(39.56583, -99.64722)",H
3405,Deport (a),6663,Valid,H4,604.0,Found,1944,33.51667,-95.3,"(33.51667, -95.3)",H
3407,Desert Willow,48655,Valid,H4/5,11.3,Found,2007,32.319,-111.077,"(32.319, -111.077)",H
3412,Dhofar 003,6702,Valid,H4,65.0,Found,1999,18.20167,54.13667,"(18.20167, 54.13667)",H
3413,Dhofar 004,6703,Valid,H5,163.0,Found,1999,18.42833,54.05333,"(18.42833, 54.05333)",H
3419,Dhofar 010,6709,Valid,H6,3527.6,Found,1999,18.33833,54.19833,"(18.33833, 54.19833)",H
3422,Dhofar 013,6712,Valid,H4,1070.0,Found,2000,18.36667,54.23667,"(18.36667, 54.23667)",H
3425,Dhofar 016,6715,Valid,H4,22.0,Found,2000,18.99333,54.415,"(18.99333, 54.415)",H
3426,Dhofar 017,6716,Valid,H4,1736.0,Found,2000,18.16,54.13833,"(18.16, 54.13833)",H
3429,Dhofar 020,6719,Valid,H4/5,256000.0,Found,2000,19.03333,54.51667,"(19.03333, 54.51667)",H
3430,Dhofar 021,6720,Valid,H5/6,2534.0,Found,2000,18.15333,54.17833,"(18.15333, 54.17833)",H
3431,Dhofar 022,6721,Valid,H3.9,110.0,Found,2000,19.02833,54.49167,"(19.02833, 54.49167)",H
3432,Dhofar 023,6722,Valid,H5,118.0,Found,2000,19.075,54.5,"(19.075, 54.5)",H
3433,Dhofar 024,6723,Valid,H3.9,164.0,Found,2000,19.06167,54.55333,"(19.06167, 54.55333)",H
3437,Dhofar 028,6727,Valid,H5-6,34.0,Found,1999,18.07583,54.06717,"(18.07583, 54.06717)",H
3438,Dhofar 029,6728,Valid,H6,2792.0,Found,1999,19.1005,54.8235,"(19.1005, 54.8235)",H
3439,Dhofar 030,6729,Valid,H6,255.0,Found,1999,19.115,54.8235,"(19.115, 54.8235)",H
3443,Dhofar 034,6733,Valid,H5,61.0,Found,1999,19.23717,54.49,"(19.23717, 54.49)",H
3444,Dhofar 035,6734,Valid,H6,326.0,Found,1999,19.16333,54.63667,"(19.16333, 54.63667)",H
3446,Dhofar 037,6736,Valid,H5,1024.0,Found,1999,19.11733,54.79683,"(19.11733, 54.79683)",H
3447,Dhofar 038,6737,Valid,H5,126.0,Found,1999,19.11167,54.8195,"(19.11167, 54.8195)",H
3448,Dhofar 039,6738,Valid,H6,111.0,Found,1999,19.115,54.82367,"(19.115, 54.82367)",H
3449,Dhofar 040,6739,Valid,H6,147.0,Found,1999,19.11833,54.82783,"(19.11833, 54.82783)",H
3450,Dhofar 041,6740,Valid,H5,2356.0,Found,1999,19.10067,54.82,"(19.10067, 54.82)",H
3452,Dhofar 043,6742,Valid,H5,1491.0,Found,1999,19.10533,54.81283,"(19.10533, 54.81283)",H
3454,Dhofar 045,6744,Valid,H6,264.0,Found,1999,19.129,54.78617,"(19.129, 54.78617)",H
3455,Dhofar 046,6745,Valid,H4,1177.0,Found,1999,19.1575,54.81967,"(19.1575, 54.81967)",H
3457,Dhofar 048,6747,Valid,H5,203.0,Found,1999,19.1495,54.7555,"(19.1495, 54.7555)",H
3462,Dhofar 053,6752,Valid,H5,90.0,Found,1999,19.21083,54.7195,"(19.21083, 54.7195)",H
3463,Dhofar 054,6753,Valid,H4,985.0,Found,1999,19.14217,54.78683,"(19.14217, 54.78683)",H
3465,Dhofar 056,6755,Valid,H6,37.0,Found,1999,19.14783,54.77517,"(19.14783, 54.77517)",H
3467,Dhofar 058,6757,Valid,H4,8852.0,Found,1999,19.17067,54.75967,"(19.17067, 54.75967)",H
3469,Dhofar 060,6759,Valid,H5,33.0,Found,1999,19.1275,54.83567,"(19.1275, 54.83567)",H
3472,Dhofar 063,6762,Valid,H5,160.0,Found,1999,19.17867,54.87417,"(19.17867, 54.87417)",H
3473,Dhofar 064,6763,Valid,H6,14.0,Found,1999,19.13517,54.8565,"(19.13517, 54.8565)",H
3474,Dhofar 065,6764,Valid,H5,565.0,Found,1999,19.11717,54.826,"(19.11717, 54.826)",H
3475,Dhofar 066,6765,Valid,H5/6,1001.0,Found,1999,19.18467,54.6725,"(19.18467, 54.6725)",H
3476,Dhofar 067,6766,Valid,H4,229.0,Found,1999,19.18217,54.6445,"(19.18217, 54.6445)",H
3478,Dhofar 069,6768,Valid,H4,10083.0,Found,1999,19.15867,54.731,"(19.15867, 54.731)",H
3481,Dhofar 072,6771,Valid,H5,112.0,Found,1999,19.15733,54.8665,"(19.15733, 54.8665)",H
3482,Dhofar 073,6772,Valid,H5,161.0,Found,1999,19.14867,54.84733,"(19.14867, 54.84733)",H
3483,Dhofar 074,6773,Valid,H4,2005.0,Found,1999,19.16717,54.781,"(19.16717, 54.781)",H
3484,Dhofar 075,6774,Valid,H5/6,70.0,Found,1999,19.10633,54.81883,"(19.10633, 54.81883)",H
3485,Dhofar 076,6775,Valid,H6,2876.0,Found,1999,19.21767,54.56733,"(19.21767, 54.56733)",H
3486,Dhofar 077,6776,Valid,H4,580.0,Found,1999,19.16017,54.8035,"(19.16017, 54.8035)",H
3487,Dhofar 078,6777,Valid,H6,68.0,Found,1999,19.16717,54.78867,"(19.16717, 54.78867)",H
3488,Dhofar 079,6778,Valid,H3,130.0,Found,1999,19.18367,54.75317,"(19.18367, 54.75317)",H
3489,Dhofar 080,6779,Valid,H4,112.0,Found,1999,19.2375,54.72,"(19.2375, 54.72)",H
3491,Dhofar 082,6781,Valid,H6,90.0,Found,1999,19.20517,54.55767,"(19.20517, 54.55767)",H
3494,Dhofar 085,6784,Valid,H4,78.0,Found,1999,19.21233,54.8475,"(19.21233, 54.8475)",H
3495,Dhofar 086,6785,Valid,H4,664.0,Found,1999,19.23233,54.81117,"(19.23233, 54.81117)",H
3498,Dhofar 089,6788,Valid,H6,152.0,Found,1999,19.22367,54.811,"(19.22367, 54.811)",H
3499,Dhofar 090,6789,Valid,H4,690.0,Found,1999,18.26117,54.32483,"(18.26117, 54.32483)",H
3500,Dhofar 091,6790,Valid,H5,946.0,Found,1999,18.32967,54.4805,"(18.32967, 54.4805)",H
3504,Dhofar 095,6794,Valid,H3,1095.0,Found,1999,18.67917,54.58783,"(18.67917, 54.58783)",H
3506,Dhofar 097,6796,Valid,H4,44.0,Found,1999,18.73683,54.51133,"(18.73683, 54.51133)",H
3507,Dhofar 098,6797,Valid,H5,1185.0,Found,1999,18.755,54.50833,"(18.755, 54.50833)",H
3510,Dhofar 1000,6800,Valid,H4,527.35,Found,1998,18.48778,54.18085,"(18.48778, 54.18085)",H
3513,Dhofar 1003,6803,Valid,H5,7.61,Found,2001,18.92655,54.2624,"(18.92655, 54.2624)",H
3514,Dhofar 1004,6804,Valid,H3,113.68,Found,2001,19.0448,54.50738,"(19.0448, 54.50738)",H
3515,Dhofar 1005,6805,Valid,H3,35.37,Found,2001,19.06285,54.49708,"(19.06285, 54.49708)",H
3521,Dhofar 1010,6811,Valid,H4,2298.4,Found,2002,18.55417,54.00253,"(18.55417, 54.00253)",H
3528,Dhofar 1017,6818,Valid,H4,273.3,Found,2002,19.17203,54.79462,"(19.17203, 54.79462)",H
3529,Dhofar 1018,6819,Valid,H5,506.0,Found,2001,18.71522,54.37633,"(18.71522, 54.37633)",H
3530,Dhofar 1019,6820,Valid,H5/6,194.0,Found,2001,18.72603,54.37865,"(18.72603, 54.37865)",H
3532,Dhofar 1020,6822,Valid,H6,105.0,Found,2001,18.73693,54.47907,"(18.73693, 54.47907)",H
3534,Dhofar 1022,6824,Valid,H(L)3-an,271.0,Found,2001,19.24968,54.65495,"(19.24968, 54.65495)",H
3536,Dhofar 1024,6826,Valid,H5/6,1173.0,Found,2002,19.30618,54.49478,"(19.30618, 54.49478)",H
3538,Dhofar 1026,6828,Valid,H6,10500.0,Found,2003,18.65952,54.2463,"(18.65952, 54.2463)",H
3539,Dhofar 1027,6829,Valid,H5/6,14944.0,Found,2003,18.66003,54.24553,"(18.66003, 54.24553)",H
3541,Dhofar 1029,6831,Valid,H5,2516.2,Found,2003,18.39818,54.07842,"(18.39818, 54.07842)",H
3543,Dhofar 1030,6833,Valid,H5,281.1,Found,2003,19.33263,54.77822,"(19.33263, 54.77822)",H
3546,Dhofar 1033,6836,Valid,H6,67.8,Found,2003,18.73963,54.26533,"(18.73963, 54.26533)",H
3548,Dhofar 1035,6838,Valid,H(L)3,420.1,Found,2003,18.69942,54.2651,"(18.69942, 54.2651)",H
3550,Dhofar 1037,6840,Valid,H5/6,26.4,Found,2003,19.30088,54.63938,"(19.30088, 54.63938)",H
3552,Dhofar 1039,6842,Valid,H6,296.0,Found,2000,18.33045,54.5268,"(18.33045, 54.5268)",H
3554,Dhofar 1040,6844,Valid,H5,361.0,Found,2000,18.7864,54.62955,"(18.7864, 54.62955)",H
3555,Dhofar 1041,6845,Valid,H6,215.0,Found,2000,18.86395,54.64277,"(18.86395, 54.64277)",H
3556,Dhofar 1042,6846,Valid,H6,332.0,Found,2000,18.93868,54.74035,"(18.93868, 54.74035)",H
3557,Dhofar 1043,6847,Valid,H4/5,205.0,Found,2000,18.91903,54.71077,"(18.91903, 54.71077)",H
3559,Dhofar 1045,6849,Valid,H5/6,170.0,Found,2000,18.81953,54.6138,"(18.81953, 54.6138)",H
3560,Dhofar 1046,6850,Valid,H5/6,248.0,Found,2000,18.85485,54.64018,"(18.85485, 54.64018)",H
3561,Dhofar 1047,6851,Valid,H4/5,296.0,Found,2000,18.79307,54.62728,"(18.79307, 54.62728)",H
3562,Dhofar 1048,6852,Valid,H5/6,267.0,Found,2000,18.71705,54.702,"(18.71705, 54.702)",H
3564,Dhofar 105,6854,Valid,H5,2984.0,Found,1999,19.33517,54.79183,"(19.33517, 54.79183)",H
3565,Dhofar 1050,6855,Valid,H5,76.0,Found,2000,18.89137,54.62413,"(18.89137, 54.62413)",H
3568,Dhofar 1053,6858,Valid,H4/5,44.5,Found,2000,18.93638,54.72413,"(18.93638, 54.72413)",H
3569,Dhofar 1054,6859,Valid,H3-6,65.0,Found,2000,18.93075,54.672,"(18.93075, 54.672)",H
3570,Dhofar 1055,6860,Valid,H4/5,114.0,Found,2000,18.97162,54.69287,"(18.97162, 54.69287)",H
3573,Dhofar 1058,6863,Valid,H4/5,41.0,Found,2000,18.85703,54.64465,"(18.85703, 54.64465)",H
3575,Dhofar 106,6865,Valid,H6,725.0,Found,2000,19.173,54.75783,"(19.173, 54.75783)",H
3576,Dhofar 1060,6866,Valid,H5,195.0,Found,2000,19.00248,54.53837,"(19.00248, 54.53837)",H
3579,Dhofar 1063,6869,Valid,H6,38.0,Found,2000,18.85372,54.75245,"(18.85372, 54.75245)",H
3581,Dhofar 1065,6871,Valid,H5,753.0,Found,2000,18.87373,54.58605,"(18.87373, 54.58605)",H
3582,Dhofar 1066,6872,Valid,H5/6,305.0,Found,2000,18.85002,54.62212,"(18.85002, 54.62212)",H
3583,Dhofar 1067,6873,Valid,H4-6,96.0,Found,2000,18.90415,54.70378,"(18.90415, 54.70378)",H
3587,Dhofar 1070,6877,Valid,H6,308.0,Found,2000,19.00867,54.76962,"(19.00867, 54.76962)",H
3591,Dhofar 1074,6881,Valid,H5,1150.0,Found,2001,18.73953,54.19547,"(18.73953, 54.19547)",H
3593,Dhofar 1076,6883,Valid,H3-5,243.0,Found,2001,18.73805,54.19367,"(18.73805, 54.19367)",H
3595,Dhofar 1078,6885,Valid,H5/6,72.2,Found,2001,18.74547,54.1939,"(18.74547, 54.1939)",H
3596,Dhofar 1079,6886,Valid,H4/5,2132.0,Found,2001,18.74372,54.20047,"(18.74372, 54.20047)",H
3598,Dhofar 1080,6888,Valid,H3,127.2,Found,2001,18.74065,54.1997,"(18.74065, 54.1997)",H
3600,Dhofar 1082,6890,Valid,H4/5,2493.5,Found,2001,18.74215,54.1942,"(18.74215, 54.1942)",H
3608,Dhofar 110,6895,Valid,H6,1287.0,Found,2000,18.43683,54.45483,"(18.43683, 54.45483)",H
3609,Dhofar 1103,33807,Valid,H4,316.0,Found,2004,19.091944,54.805556,"(19.091944, 54.805556)",H
3611,Dhofar 1113,30503,Valid,H3,702.0,Found,2004,18.14217,54.09683,"(18.14217, 54.09683)",H
3616,Dhofar 1130,33833,Valid,H4,3420.0,Found,2005,19.223306,54.935778,"(19.223306, 54.935778)",H
3618,Dhofar 1136,33839,Valid,H5,356.0,Found,2005,19.274778,54.672972,"(19.274778, 54.672972)",H
3623,Dhofar 115,6900,Valid,H4,487.0,Found,2000,18.60833,54.55167,"(18.60833, 54.55167)",H
3625,Dhofar 1156,33859,Valid,H4,108.0,Found,2005,18.751639,54.352361,"(18.751639, 54.352361)",H
3628,Dhofar 117,6902,Valid,H5,385.0,Found,2000,18.70117,54.19683,"(18.70117, 54.19683)",H
3632,Dhofar 118,6903,Valid,H6,598.0,Found,2000,18.7385,54.26783,"(18.7385, 54.26783)",H
3634,Dhofar 1181,33884,Valid,H5,1812.0,Found,2005,18.745694,54.267167,"(18.745694, 54.267167)",H
3636,Dhofar 1190,30504,Valid,H4,35.0,Found,2002,19.13667,54.56333,"(19.13667, 54.56333)",H
3638,Dhofar 1193,30507,Valid,H6,14.0,Found,2004,18.85817,54.59933,"(18.85817, 54.59933)",H
3639,Dhofar 1194,30508,Valid,H4,124.0,Found,2004,19.01677,54.36637,"(19.01677, 54.36637)",H
3640,Dhofar 1195,30509,Valid,H5,650.0,Found,2004,19.0315,54.3735,"(19.0315, 54.3735)",H
3643,Dhofar 120,6905,Valid,H4,240.0,Found,2000,18.97817,54.61667,"(18.97817, 54.61667)",H
3646,Dhofar 1221,30512,Valid,H5,58.0,Found,2003,18.23083,54.09,"(18.23083, 54.09)",H
3651,Dhofar 123,6908,Valid,H6,1159.0,Found,2000,19.0145,54.60433,"(19.0145, 54.60433)",H
3652,Dhofar 1232,33924,Valid,H4,1088.0,Found,2005,18.895667,54.343556,"(18.895667, 54.343556)",H
3653,Dhofar 124,6909,Valid,H6,63.0,Found,2000,19.05933,54.546,"(19.05933, 54.546)",H
3661,Dhofar 127,6912,Valid,H4,1349.0,Found,2000,19.29133,54.8345,"(19.29133, 54.8345)",H
3665,Dhofar 1278,34497,Valid,H6,117.0,Found,2005,19.32681,54.76439,"(19.32681, 54.76439)",H
3667,Dhofar 128,6913,Valid,H6,30.0,Found,2000,19.285,54.71067,"(19.285, 54.71067)",H
3668,Dhofar 1280,34499,Valid,H6,4473.0,Found,2005,18.27717,54.25547,"(18.27717, 54.25547)",H
3675,Dhofar 1288,34504,Valid,H5,43600.0,Found,2004,18.27833,54.285,"(18.27833, 54.285)",H
3679,Dhofar 1291,34507,Valid,H3.9,66.0,Found,2001,18.31667,54.14667,"(18.31667, 54.14667)",H
3680,Dhofar 1292,34508,Valid,H3.9,26.0,Found,2001,18.85167,54.66167,"(18.85167, 54.66167)",H
3681,Dhofar 1293,34509,Valid,H3.9,69.0,Found,2001,18.84667,54.665,"(18.84667, 54.665)",H
3685,Dhofar 1297,34513,Valid,H5,184.0,Found,2001,19.14,54.77,"(19.14, 54.77)",H
3686,Dhofar 1298,34514,Valid,H5,52.0,Found,2002,19.11667,54.785,"(19.11667, 54.785)",H
3687,Dhofar 1299,34515,Valid,H6,20.0,Found,2002,19.13667,54.785,"(19.13667, 54.785)",H
3689,Dhofar 1300,34516,Valid,H6,42.0,Found,2002,19.13833,54.65833,"(19.13833, 54.65833)",H
3692,Dhofar 1304,34520,Valid,H5,85.0,Found,2005,18.6672,54.3662,"(18.6672, 54.3662)",H
3693,Dhofar 1305,34521,Valid,H5,34.0,Found,2005,18.79508,54.15128,"(18.79508, 54.15128)",H
3695,Dhofar 1307,34523,Valid,H4,90.0,Found,2005,19.32865,54.53763,"(19.32865, 54.53763)",H
3696,Dhofar 1308,34524,Valid,H5,192.0,Found,2004,18.72992,54.37463,"(18.72992, 54.37463)",H
3697,Dhofar 1309,34525,Valid,H4,204.0,Found,2004,19.29105,54.5635,"(19.29105, 54.5635)",H
3698,Dhofar 131,6916,Valid,H5/6,9680.0,Found,2000,19.136,54.82267,"(19.136, 54.82267)",H
3700,Dhofar 1311,34527,Valid,H5,66.0,Found,2005,19.315,54.53,"(19.315, 54.53)",H
3702,Dhofar 1313,34529,Valid,H6,154.0,Found,2004,18.81833,54.455,"(18.81833, 54.455)",H
3703,Dhofar 1314,34530,Valid,H5,104.0,Found,2004,19.29667,54.56833,"(19.29667, 54.56833)",H
3709,Dhofar 134,6919,Valid,H6,868.0,Found,2000,19.049,54.583,"(19.049, 54.583)",H
3710,Dhofar 135,6920,Valid,H4,1495.0,Found,2000,18.33233,54.2615,"(18.33233, 54.2615)",H
3739,Dhofar 1421,35509,Valid,H~5,110.8,Found,2001,19.15725,54.71652,"(19.15725, 54.71652)",H
3740,Dhofar 1422,35510,Valid,H~5,35.22,Found,2001,19.19607,54.88028,"(19.19607, 54.88028)",H
3742,Dhofar 1424,35512,Valid,H~6,53.39,Found,2001,19.19335,54.66395,"(19.19335, 54.66395)",H
3743,Dhofar 1425,35513,Valid,H~6,106.63,Found,2001,19.20077,54.78503,"(19.20077, 54.78503)",H
3744,Dhofar 1426,35514,Valid,H~5,42850.0,Found,2001,19.173,54.70407,"(19.173, 54.70407)",H
3748,Dhofar 143,6928,Valid,H5,1785.0,Found,2000,18.412,54.16783,"(18.412, 54.16783)",H
3752,Dhofar 1433,45837,Valid,H5,44790.0,Found,2006,18.43333,54.1,"(18.43333, 54.1)",H
3754,Dhofar 1435,51593,Valid,H5,11.7,Found,2007,18.24862,54.00363,"(18.24862, 54.00363)",H
3756,Dhofar 1437,48540,Valid,H5,324.0,Found,2003,18.92667,54.56667,"(18.92667, 54.56667)",H
3759,Dhofar 144,6929,Valid,H5,630.0,Found,2000,18.41533,54.18233,"(18.41533, 54.18233)",H
3765,Dhofar 1446,51595,Valid,H5,198.9,Found,2003,19.4514,54.6524,"(19.4514, 54.6524)",H
3766,Dhofar 1447,51596,Valid,H~4,49.4,Found,2002,18.61667,54.18333,"(18.61667, 54.18333)",H
3769,Dhofar 145,6930,Valid,H5,666.0,Found,2000,18.404,54.2415,"(18.404, 54.2415)",H
3771,Dhofar 1451,51599,Valid,H~5,570.0,Found,2008,19.21303,54.62077,"(19.21303, 54.62077)",H
3775,Dhofar 1456,51602,Valid,H~5,90.2,Found,2008,18.98797,54.41825,"(18.98797, 54.41825)",H
3776,Dhofar 1457,51603,Valid,H~5,11.4,Found,2008,18.99842,54.41623,"(18.99842, 54.41623)",H
3778,Dhofar 1459,51605,Valid,H5,50.4,Found,2008,19.01882,54.37352,"(19.01882, 54.37352)",H
3784,Dhofar 1464,51607,Valid,H~5,68.5,Found,2008,18.5689,54.16808,"(18.5689, 54.16808)",H
3788,Dhofar 1468,51611,Valid,H~5,65.6,Found,2008,18.56615,54.15795,"(18.56615, 54.15795)",H
3791,Dhofar 1470,51613,Valid,H~5,51.6,Found,2008,18.56672,54.16967,"(18.56672, 54.16967)",H
3792,Dhofar 1471,51614,Valid,H~5,760.0,Found,2008,18.56668,54.16038,"(18.56668, 54.16038)",H
3797,Dhofar 1476,55720,Valid,H3,28.9,Found,2008,18.98865,54.40313,"(18.98865, 54.40313)",H
3798,Dhofar 1479,48956,Valid,H5/6,132.0,Found,2003,18.2025,54.05167,"(18.2025, 54.05167)",H
3811,Dhofar 1490,51053,Valid,H5-6,309.0,Found,2008,18.79783,54.40437,"(18.79783, 54.40437)",H
3813,Dhofar 1492,51565,Valid,H3,510.0,Found,2008,18.77583,54.45433,"(18.77583, 54.45433)",H
3815,Dhofar 1494,51055,Valid,H4,1400.0,Found,2008,18.68517,54.44203,"(18.68517, 54.44203)",H
3819,Dhofar 1498,53787,Valid,H~6,54.8,Found,2009,19.25712,54.8987,"(19.25712, 54.8987)",H
3820,Dhofar 1499,53788,Valid,H~5,68.3,Found,2009,19.25742,54.85812,"(19.25742, 54.85812)",H
3821,Dhofar 150,6935,Valid,H4,356.0,Found,2000,19.24633,54.70667,"(19.24633, 54.70667)",H
3823,Dhofar 1501,53790,Valid,H~5,10.6,Found,2009,18.80522,54.35308,"(18.80522, 54.35308)",H
3824,Dhofar 1502,53791,Valid,H~5,17.0,Found,2009,18.8005,54.35133,"(18.8005, 54.35133)",H
3825,Dhofar 1503,53792,Valid,H~5,16.9,Found,2009,18.72345,54.3155,"(18.72345, 54.3155)",H
3831,Dhofar 1509,53798,Valid,H~4,48.7,Found,2009,18.62372,54.28792,"(18.62372, 54.28792)",H
3837,Dhofar 1515,52389,Valid,H6,1450.0,Found,2008,18.52533,54.61717,"(18.52533, 54.61717)",H
3838,Dhofar 1516,52390,Valid,H5,1134.0,Found,2008,18.40867,54.59533,"(18.40867, 54.59533)",H
3839,Dhofar 1517,52391,Valid,H5,1064.0,Found,2008,18.92633,54.41283,"(18.92633, 54.41283)",H
3840,Dhofar 1518,52392,Valid,H4,450.0,Found,2008,18.732,54.3845,"(18.732, 54.3845)",H
3842,Dhofar 152,6937,Valid,H6,554.0,Found,2000,19.11083,54.81017,"(19.11083, 54.81017)",H
3843,Dhofar 1520,52393,Valid,H4,1490.0,Found,2008,18.6845,54.53967,"(18.6845, 54.53967)",H
3845,Dhofar 1522,52395,Valid,H6,625.0,Found,2008,18.67133,54.68167,"(18.67133, 54.68167)",H
3847,Dhofar 1524,52397,Valid,H5,4652.0,Found,2008,18.51133,54.60783,"(18.51133, 54.60783)",H
3848,Dhofar 1525,52398,Valid,H4,6476.0,Found,2008,18.77633,54.39633,"(18.77633, 54.39633)",H
3849,Dhofar 1526,50913,Valid,H4,71.1,Found,2008,19.56755,54.95415,"(19.56755, 54.95415)",H
3852,Dhofar 1529,53880,Valid,H3.2,175.0,Found,2006,18.205,54.29783,"(18.205, 54.29783)",H
3853,Dhofar 153,6938,Valid,H6,1025.0,Found,2000,19.11067,54.81633,"(19.11067, 54.81633)",H
3854,Dhofar 1530,52399,Valid,H6,2118.0,Found,2006,18.21917,54.31533,"(18.21917, 54.31533)",H
3856,Dhofar 1532,52401,Valid,H4,487.0,Found,2006,19.0095,54.50217,"(19.0095, 54.50217)",H
3858,Dhofar 1534,52403,Valid,H4,3045.0,Found,2006,18.18467,54.58917,"(18.18467, 54.58917)",H
3859,Dhofar 1535,52415,Valid,H6,2008.0,Found,2006,18.515,54.1055,"(18.515, 54.1055)",H
3860,Dhofar 1536,52404,Valid,H6,176.0,Found,2006,19.2195,54.92133,"(19.2195, 54.92133)",H
3863,Dhofar 1539,52406,Valid,H4,1614.0,Found,2006,18.26667,54.425,"(18.26667, 54.425)",H
3864,Dhofar 154,6939,Valid,H5,1045.0,Found,2000,19.1175,54.82683,"(19.1175, 54.82683)",H
3865,Dhofar 1540,53882,Valid,H3.9,2481.0,Found,2006,18.63867,54.72383,"(18.63867, 54.72383)",H
3866,Dhofar 1541,54613,Valid,H6,398.0,Found,2006,18.6275,54.7425,"(18.6275, 54.7425)",H
3868,Dhofar 1543,52417,Valid,H4,1734.0,Found,2008,18.222,54.31783,"(18.222, 54.31783)",H
3870,Dhofar 1545,52407,Valid,H4,1013.0,Found,2008,18.5745,54.59033,"(18.5745, 54.59033)",H
3872,Dhofar 1547,52420,Valid,H4,380.0,Found,2008,18.585,54.28,"(18.585, 54.28)",H
3876,Dhofar 1550,52422,Valid,H4,624.0,Found,2008,18.59083,54.543,"(18.59083, 54.543)",H
3877,Dhofar 1551,52408,Valid,H6,451.0,Found,2008,18.63333,54.3475,"(18.63333, 54.3475)",H
3879,Dhofar 1553,52424,Valid,H4,1006.0,Found,2009,18.85033,54.3845,"(18.85033, 54.3845)",H
3881,Dhofar 1555,52411,Valid,H4,605.0,Found,2009,18.64717,54.52833,"(18.64717, 54.52833)",H
3882,Dhofar 1556,52426,Valid,H4,1722.0,Found,2009,18.72883,54.57717,"(18.72883, 54.57717)",H
3887,Dhofar 1563,51568,Valid,H5,70.0,Found,2004,18.45428,54.43658,"(18.45428, 54.43658)",H
3888,Dhofar 1564,51569,Valid,H5,26.0,Found,2004,18.69617,54.37,"(18.69617, 54.37)",H
3889,Dhofar 1565,51570,Valid,H5,43000.0,Found,2008,18.2735,54.21367,"(18.2735, 54.21367)",H
