"","lat_gs","long_gs","ffscore","fallorfind"
"281",37,-101,-1,"find"
"282",38,-101,-1,"find"
"283",39,-101,0,"both"
"284",40,-101,-1,"find"
"285",41,-101,-1,"find"
"286",42,-101,-1,"find"
"287",43,-101,-1,"find"
"288",44,-101,-1,"find"
"289",16,-100,1,"fall"
"290",19,-100,-1,"find"
"291",21,-100,1,"fall"
"292",24,-100,0,"both"
"293",26,-100,-1,"find"
"294",27,-100,-1,"find"
"295",29,-100,-1,"find"
"296",30,-100,-1,"find"
"297",31,-100,0,"both"
"298",32,-100,-1,"find"
"299",33,-100,-1,"find"
"300",34,-100,-1,"find"
"301",35,-100,0,"both"
"302",36,-100,-1,"find"
"303",37,-100,-1,"find"
"304",38,-100,-1,"find"
"305",39,-100,0,"both"
"306",40,-100,0,"both"
"307",41,-100,-1,"find"
"308",42,-100,0,"both"
"309",19,-99,-1,"find"
"310",27,-99,-1,"find"
"311",28,-99,-1,"find"
"312",29,-99,-1,"find"
"313",30,-99,-1,"find"
"314",31,-99,0,"both"
"315",32,-99,-1,"find"
"316",33,-99,-1,"find"
"317",34,-99,0,"both"
"318",35,-99,-1,"find"
"319",36,-99,-1,"find"
"320",37,-99,-1,"find"
"321",38,-99,-1,"find"
"322",39,-99,-1,"find"
"323",40,-99,-1,"find"
"324",41,-99,-1,"find"
"325",44,-99,-1,"find"
"326",45,-99,1,"fall"
"327",46,-99,-1,"find"
"328",16,-98,-1,"find"
"329",17,-98,-1,"find"
"330",18,-98,-1,"find"
"331",19,-98,-1,"find"
"332",25,-98,1,"fall"
"333",26,-98,-1,"find"
"334",28,-98,-1,"find"
"335",29,-98,-1,"find"
"336",30,-98,0,"both"
"337",31,-98,0,"both"
"338",32,-98,-1,"find"
"339",33,-98,-1,"find"
"340",34,-98,-1,"find"
"341",35,-98,0,"both"
"342",36,-98,0,"both"
"343",37,-98,-1,"find"
"344",38,-98,-1,"find"
"345",39,-98,0,"both"
"346",40,-98,-1,"find"
"347",41,-98,-1,"find"
"348",43,-98,-1,"find"
"349",48,-98,-1,"find"
"350",49,-98,-1,"find"
"351",17,-97,-1,"find"
"352",29,-97,-1,"find"
"353",30,-97,0,"both"
"354",31,-97,-1,"find"
"355",32,-97,-1,"find"
"356",33,-97,0,"both"
"357",34,-97,0,"both"
"358",35,-97,-1,"find"
"359",36,-97,-1,"find"
"360",37,-97,-1,"find"
"361",38,-97,-1,"find"
"362",39,-97,-1,"find"
"363",40,-97,0,"both"
"364",41,-97,-1,"find"
"365",43,-97,0,"both"
"366",44,-97,-1,"find"
"367",47,-97,0,"both"
"368",49,-97,-1,"find"
"369",50,-97,-1,"find"
"370",29,-96,1,"fall"
"371",30,-96,1,"fall"
"372",32,-96,1,"fall"
"373",33,-96,-1,"find"
"374",34,-96,-1,"find"
"375",36,-96,1,"fall"
"376",37,-96,-1,"find"
"377",38,-96,0,"both"
"378",39,-96,-1,"find"
"379",40,-96,-1,"find"
"380",42,-96,-1,"find"
"381",50,-96,-1,"find"
"382",32,-95,0,"both"
"383",34,-95,-1,"find"
"384",35,-95,-1,"find"
"385",36,-95,1,"fall"
"386",38,-95,0,"both"
"387",39,-95,0,"both"
"388",40,-95,-1,"find"
"389",43,-95,1,"fall"
"390",44,-95,-1,"find"
"391",47,-95,-1,"find"
"392",33,-94,-1,"find"
"393",35,-94,0,"both"
"394",36,-94,0,"both"
"395",37,-94,-1,"find"
"396",43,-94,1,"fall"
"397",45,-94,-1,"find"
"398",31,-93,-1,"find"
"399",35,-93,1,"fall"
"400",36,-93,0,"both"
"401",37,-93,0,"both"
"402",44,-93,-1,"find"
"403",45,-93,1,"fall"
"404",30,-92,-1,"find"
"405",34,-92,-1,"find"
"406",35,-92,-1,"find"
"407",36,-92,-1,"find"
"408",38,-92,1,"fall"
"409",39,-92,1,"fall"
"410",41,-92,0,"both"
"411",43,-92,1,"fall"
"412",-58,-91,-1,"find"
"413",14,-91,-1,"find"
"414",29,-91,1,"fall"
"415",36,-91,1,"fall"
"416",37,-91,-1,"find"
"417",38,-91,1,"fall"
"418",40,-91,-1,"find"
"419",42,-91,0,"both"
"420",44,-91,1,"fall"
"421",32,-90,1,"fall"
"422",37,-90,0,"both"
"423",38,-90,1,"fall"
"424",39,-90,1,"fall"
"425",40,-90,1,"fall"
"426",41,-90,-1,"find"
"427",43,-90,1,"fall"
"428",44,-90,-1,"find"
"429",14,-89,-1,"find"
"430",32,-89,-1,"find"
"431",33,-89,-1,"find"
"432",34,-89,0,"both"
"433",35,-89,-1,"find"
"434",36,-89,0,"both"
"435",37,-89,-1,"find"
"436",42,-89,-1,"find"
"437",43,-89,-1,"find"
"438",44,-89,-1,"find"
"439",46,-89,-1,"find"
"440",31,-88,-1,"find"
"441",32,-88,1,"fall"
"442",33,-88,-1,"find"
"443",34,-88,0,"both"
"444",36,-88,0,"both"
"445",41,-88,1,"fall"
"446",44,-88,-1,"find"
"447",30,-87,-1,"find"
"448",32,-87,-1,"find"
"449",33,-87,1,"fall"
"450",34,-87,0,"both"
"451",35,-87,0,"both"
"452",36,-87,0,"both"
"453",38,-87,1,"fall"
"454",40,-87,0,"both"
"455",41,-87,0,"both"
"456",32,-86,-1,"find"
"457",33,-86,-1,"find"
"458",34,-86,-1,"find"
"459",35,-86,-1,"find"
"460",36,-86,-1,"find"
"461",37,-86,-1,"find"
"462",38,-86,0,"both"
"463",39,-86,-1,"find"
"464",42,-86,0,"both"
"465",43,-86,-1,"find"
"466",44,-86,-1,"find"
"467",10,-85,1,"fall"
"468",32,-85,1,"fall"
"469",33,-85,-1,"find"
"470",34,-85,-1,"find"
"471",35,-85,0,"both"
"472",36,-85,0,"both"
"473",37,-85,-1,"find"
"474",38,-85,0,"both"
"475",39,-85,-1,"find"
"476",40,-85,-1,"find"
"477",41,-85,-1,"find"
"478",43,-85,1,"fall"
"479",31,-84,1,"fall"
"480",33,-84,0,"both"
"481",34,-84,-1,"find"
"482",35,-84,0,"both"
"483",36,-84,-1,"find"
"484",38,-84,1,"fall"
"485",39,-84,0,"both"
"486",42,-84,1,"fall"
"487",44,-84,1,"fall"
"488",31,-83,-1,"find"
"489",32,-83,-1,"find"
"490",33,-83,-1,"find"
"491",34,-83,-1,"find"
"492",35,-83,0,"both"
"493",36,-83,-1,"find"
"494",37,-83,0,"both"
"495",38,-83,-1,"find"
"496",39,-83,-1,"find"
"497",40,-83,-1,"find"
"498",42,-83,1,"fall"
"499",26,-82,-1,"find"
"500",28,-82,0,"both"
"501",32,-82,0,"both"
"502",34,-82,-1,"find"
