"","id","recclass","mass","fall_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","over_under","coords.x1","coords.x2","optional"
"3488",10860,"Iron, IIE",380,"Fell",1917,27.88333,68.53333,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative","2",0.463225690897741,68.53333,27.88333,TRUE
"245",247,"H6",160,"Found",1991,27.48444,3.66639,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,3.66639,27.48444,TRUE
"3548",10957,"Iron, IIIAB",525000,"Found",1929,35.16667,-107.88333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","13",0.428663281861922,-107.88333,35.16667,TRUE
"7512",35522,"Mesosiderite",355.11,"Found",2002,19.9842,56.42707,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"11",0.00485781484723708,56.42707,19.9842,TRUE
"18",19,"L6",127,"Found",1989,27.73333,4.08333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233,4.08333,27.73333,TRUE
"2823",7292,"L6",258,"Found",2001,18.43333,54.10833,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.10833,18.43333,TRUE
"6385",23675,"Pallasite, PMG",2500,"Found",1893,41.65,-86.21667,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"1",0.297273742080897,-86.21667,41.65,TRUE
"9040",54613,"H6",398,"Found",2006,18.6275,54.7425,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.7425,18.6275,TRUE
"1282",5688,"H5",171,"Found",1996,27.1575,16.208,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.208,27.1575,TRUE
"9053",54628,"L4",47,"Found",2010,-24.25,-70.51667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-70.51667,-24.25,TRUE
"9421",56171,"H4",27,"Found",2011,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-70.53333,-24.85,TRUE
"1931",6341,"H5",166,"Found",2000,26.99333,16.4505,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.4505,26.99333,TRUE
"554",4898,"Iron, IIIAB",4e+05,"Found",1890,48.06667,35.08333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","1",0.297273742080897,35.08333,48.06667,TRUE
"3156",7625,"L6",2270,"Found",2003,19.405,54.57,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.57,19.405,TRUE
"8825",52645,"H3",13.9,"Found",2009,-25.444833,-69.881,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-69.881,-25.444833,TRUE
"3004",7473,"L6",6,"Found",2001,19.32667,54.785,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.785,19.32667,TRUE
"7506",35516,"L6",246.6,"Found",2004,33.66348,-114.29207,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-114.29207,33.66348,TRUE
"5272",17938,"H5",50000,"Fell",1978,24.3,-102.13333,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922,-102.13333,24.3,TRUE
"8701",52046,"H5",10.6,"Found",2009,30.96791,10.04587,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,10.04587,30.96791,TRUE
"9891",57431,"L3",211,"Found",2010,19.08188,54.71472,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.71472,19.08188,TRUE
"2091",6501,"L5",481,"Found",1998,26.8825,16.662,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,16.662,26.8825,TRUE
"8735",52393,"H4",1490,"Found",2008,18.6845,54.53967,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.53967,18.6845,TRUE
"4706",15371,"L6",93200,"Fell",1981,-15.21222,35.24222,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488,35.24222,-15.21222,TRUE
"8289",50991,"H3",15.9,"Found",1993,-30.46867,126.39133,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,126.39133,-30.46867,TRUE
"4097",11951,"H5",68,"Found",1993,-30.55667,129.63867,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,129.63867,-30.55667,TRUE
"1512",5918,"H6",37,"Found",1997,27.832,15.83767,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,15.83767,27.832,TRUE
"3583",11428,"H4",13100,"Found",1934,36.33333,-101.4,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922,-101.4,36.33333,TRUE
"3286",7811,"H4",13,"Found",2001,34.64667,-117.58108,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-117.58108,34.64667,TRUE
"1542",5948,"Lunar (anorth)",1425,"Found",1998,27.3695,16.19883,"Lunar","Achondrite","Stony","Moon",NA,"11",0.00485781484723708,16.19883,27.3695,TRUE
"3914",11760,"LL6",436,"Found",2000,28.45783,12.86433,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708,12.86433,28.45783,TRUE
"9784",56713,"H5",99,"Found",2011,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-70.53333,-24.85,TRUE
"8896",53575,"Mesosiderite",4.5,"Found",2007,19.97722,56.42527,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"11",0.00485781484723708,56.42527,19.97722,TRUE
"5593",22546,"L5",5.9,"Found",2002,35.66375,-114.02698,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-114.02698,35.66375,TRUE
