,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group_name,Chondrite/Achondrite,type,L3,L4
943,Acfer 035,45,Valid,H6,36.0,Found,1989,27.6,4.3,"(27.6, 4.3)",H,Chondrite,Stony,Ordinary,H
6016,Acfer 036,46,Valid,L5/6,112.0,Found,1989,27.58333,4.25,"(27.58333, 4.25)",L,Chondrite,Stony,Ordinary,L
8924,Acfer 037,47,Valid,LL4-6,385.0,Found,1989,27.55,4.13333,"(27.55, 4.13333)",LL,Chondrite,Stony,Ordinary,LL
944,Acfer 038,48,Valid,H5,962.0,Found,1989,27.53333,4.0,"(27.53333, 4.0)",H,Chondrite,Stony,Ordinary,H
6017,Acfer 039,49,Valid,L3.8,225.0,Found,1989,27.53333,3.91667,"(27.53333, 3.91667)",L,Chondrite,Stony,Ordinary,L
6018,Acfer 040,50,Valid,L5-6,146.0,Found,1989,27.46667,3.78333,"(27.46667, 3.78333)",L,Chondrite,Stony,Ordinary,L
8925,Acfer 041,51,Valid,L/LL6,134.0,Found,1989,27.43333,3.71667,"(27.43333, 3.71667)",LL,Chondrite,Stony,Ordinary,LL
945,Acfer 042,52,Valid,H5,246.0,Found,1989,27.46667,3.83333,"(27.46667, 3.83333)",H,Chondrite,Stony,Ordinary,H
946,Acfer 043,53,Valid,H4,120.0,Found,1989,27.51667,3.91667,"(27.51667, 3.91667)",H,Chondrite,Stony,Ordinary,H
6019,Acfer 044,54,Valid,L6,195.0,Found,1989,27.55,4.0,"(27.55, 4.0)",L,Chondrite,Stony,Ordinary,L
947,Acfer 046,56,Valid,H5,1066.0,Found,1989,27.78333,4.7,"(27.78333, 4.7)",H,Chondrite,Stony,Ordinary,H
6020,Acfer 047,57,Valid,L4,1440.0,Found,1989,27.83333,4.7,"(27.83333, 4.7)",L,Chondrite,Stony,Ordinary,L
948,Acfer 048,58,Valid,H4-5,115.0,Found,1989,27.55,4.08333,"(27.55, 4.08333)",H,Chondrite,Stony,Ordinary,H
949,Acfer 049,59,Valid,H5,82.9,Found,1989,27.41667,3.71667,"(27.41667, 3.71667)",H,Chondrite,Stony,Ordinary,H
950,Acfer 050,60,Valid,H6,1394.0,Found,1989,27.65,4.5,"(27.65, 4.5)",H,Chondrite,Stony,Ordinary,H
6021,Acfer 051,61,Valid,L5,905.0,Found,1989,27.61667,4.41667,"(27.61667, 4.41667)",L,Chondrite,Stony,Ordinary,L
6022,Acfer 052,62,Valid,L5,58.0,Found,1989,27.75,4.15,"(27.75, 4.15)",L,Chondrite,Stony,Ordinary,L
951,Acfer 053,63,Valid,H6,1937.0,Found,1989,27.73333,4.05,"(27.73333, 4.05)",H,Chondrite,Stony,Ordinary,H
952,Acfer 054,64,Valid,H5,2051.0,Found,1989,27.7,3.93333,"(27.7, 3.93333)",H,Chondrite,Stony,Ordinary,H
953,Acfer 055,65,Valid,H5,1338.0,Found,1989,27.5,3.98333,"(27.5, 3.98333)",H,Chondrite,Stony,Ordinary,H
6023,Acfer 056,66,Valid,L4,129.0,Found,1989,27.46667,3.88333,"(27.46667, 3.88333)",L,Chondrite,Stony,Ordinary,L
8926,Acfer 058,67,Valid,LL5-6,277.0,Found,1989,27.38333,3.71667,"(27.38333, 3.71667)",LL,Chondrite,Stony,Ordinary,LL
300,Acfer 059,68,Valid,CR2,281.0,Found,1989,27.51667,4.06667,"(27.51667, 4.06667)",CR,Chondrite,Stony,Carbonaceous,CR
954,Acfer 060,69,Valid,H4,226.0,Found,1989,27.56667,4.16667,"(27.56667, 4.16667)",H,Chondrite,Stony,Ordinary,H
955,Acfer 061,70,Valid,H4-5,105.0,Found,1989,27.6,4.25,"(27.6, 4.25)",H,Chondrite,Stony,Ordinary,H
956,Acfer 062,71,Valid,H5,283.0,Found,1989,27.6,4.41667,"(27.6, 4.41667)",H,Chondrite,Stony,Ordinary,H
9484,Acfer 063,72,Valid,Mesosiderite,716.0,Found,1989,27.61667,4.56667,"(27.61667, 4.56667)",Mesosiderite,Achondrite,Stony-Iron,Mesosiderite,-
6024,Acfer 064,73,Valid,L5,854.0,Found,1989,27.61667,4.56667,"(27.61667, 4.56667)",L,Chondrite,Stony,Ordinary,L
957,Acfer 065,74,Valid,H4-5,1539.0,Found,1989,27.5,4.28333,"(27.5, 4.28333)",H,Chondrite,Stony,Ordinary,H
8927,Acfer 066,75,Valid,LL3.8-6,517.0,Found,1990,27.63333,4.06667,"(27.63333, 4.06667)",LL,Chondrite,Stony,Ordinary,LL
958,Acfer 067,76,Valid,H5,383.0,Found,1990,27.71667,4.78333,"(27.71667, 4.78333)",H,Chondrite,Stony,Ordinary,H
6025,Acfer 068,77,Valid,L6,1805.0,Found,1990,27.55,3.7,"(27.55, 3.7)",L,Chondrite,Stony,Ordinary,L
6026,Acfer 069,78,Valid,L6,941.0,Found,1990,27.53333,3.83333,"(27.53333, 3.83333)",L,Chondrite,Stony,Ordinary,L
959,Acfer 070,79,Valid,H4/5,138.0,Found,1990,27.68333,4.48333,"(27.68333, 4.48333)",H,Chondrite,Stony,Ordinary,H
6027,Acfer 071,80,Valid,L6,1379.0,Found,1990,27.63333,4.28333,"(27.63333, 4.28333)",L,Chondrite,Stony,Ordinary,L
6028,Acfer 072,81,Valid,L5/6,162.0,Found,1990,27.63333,4.25,"(27.63333, 4.25)",L,Chondrite,Stony,Ordinary,L
960,Acfer 073,82,Valid,H5,2010.0,Found,1990,27.53333,3.85,"(27.53333, 3.85)",H,Chondrite,Stony,Ordinary,H
6029,Acfer 074,83,Valid,L6,384.0,Found,1990,27.48333,3.83333,"(27.48333, 3.83333)",L,Chondrite,Stony,Ordinary,L
961,Acfer 075,84,Valid,H5,1453.0,Found,1990,27.51667,3.73333,"(27.51667, 3.73333)",H,Chondrite,Stony,Ordinary,H
962,Acfer 076,85,Valid,H5,183.0,Found,1990,27.7,4.35,"(27.7, 4.35)",H,Chondrite,Stony,Ordinary,H
6030,Acfer 077,86,Valid,L6,2538.0,Found,1990,27.63333,4.51667,"(27.63333, 4.51667)",L,Chondrite,Stony,Ordinary,L
963,Acfer 078,87,Valid,H5,105.0,Found,1990,27.56667,4.15,"(27.56667, 4.15)",H,Chondrite,Stony,Ordinary,H
6031,Acfer 079,88,Valid,L6,387.0,Found,1990,27.5,3.68333,"(27.5, 3.68333)",L,Chondrite,Stony,Ordinary,L
6032,Acfer 080,89,Valid,L3.9,574.0,Found,1990,27.63333,4.51667,"(27.63333, 4.51667)",L,Chondrite,Stony,Ordinary,L
8928,Acfer 081,90,Valid,LL5-6,110.0,Found,1990,27.53333,3.86667,"(27.53333, 3.86667)",LL,Chondrite,Stony,Ordinary,LL
336,Acfer 082,91,Valid,CV3,208.0,Found,1990,27.5,3.48333,"(27.5, 3.48333)",CV,Chondrite,Stony,Carbonaceous,CV-CK
6033,Acfer 083,92,Valid,L6,690.0,Found,1990,27.48333,3.63333,"(27.48333, 3.63333)",L,Chondrite,Stony,Ordinary,L
964,Acfer 084,93,Valid,H5,6300.0,Found,1990,27.55,3.86667,"(27.55, 3.86667)",H,Chondrite,Stony,Ordinary,H
965,Acfer 085,94,Valid,H5,293.0,Found,1990,27.58333,3.95,"(27.58333, 3.95)",H,Chondrite,Stony,Ordinary,H
337,Acfer 086,95,Valid,CV3,173.0,Found,1990,27.66667,4.18333,"(27.66667, 4.18333)",CV,Chondrite,Stony,Carbonaceous,CV-CK
301,Acfer 087,96,Valid,CR2,163.0,Found,1990,27.7,4.26667,"(27.7, 4.26667)",CR,Chondrite,Stony,Carbonaceous,CR
6034,Acfer 088,97,Valid,L6,200.0,Found,1990,27.75,4.43333,"(27.75, 4.43333)",L,Chondrite,Stony,Ordinary,L
966,Acfer 089,98,Valid,H5,682.0,Found,1990,27.63333,4.3,"(27.63333, 4.3)",H,Chondrite,Stony,Ordinary,H
967,Acfer 090,99,Valid,H5,290.0,Found,1990,27.5,3.83333,"(27.5, 3.83333)",H,Chondrite,Stony,Ordinary,H
8929,Acfer 091,100,Valid,LL5-6,3487.0,Found,1990,27.45,4.11667,"(27.45, 4.11667)",LL,Chondrite,Stony,Ordinary,LL
968,Acfer 092,101,Valid,H5,244.0,Found,1990,27.66667,4.51667,"(27.66667, 4.51667)",H,Chondrite,Stony,Ordinary,H
6035,Acfer 093,102,Valid,L5,420.0,Found,1990,27.71667,4.13333,"(27.71667, 4.13333)",L,Chondrite,Stony,Ordinary,L
46,Acfer 094,103,Valid,C2-ung,82.0,Found,1990,27.73333,4.43333,"(27.73333, 4.43333)",Chondrite,Chondrite,Stony,Carbonaceous,
969,Acfer 095,104,Valid,H3.7,104.0,Found,1990,27.71667,4.38333,"(27.71667, 4.38333)",H,Chondrite,Stony,Ordinary,H
6036,Acfer 096,105,Valid,L4-5,572.0,Found,1990,27.61667,4.2,"(27.61667, 4.2)",L,Chondrite,Stony,Ordinary,L
302,Acfer 097,106,Valid,CR2,63.0,Found,1990,27.51667,3.96667,"(27.51667, 3.96667)",CR,Chondrite,Stony,Carbonaceous,CR
970,Acfer 098,107,Valid,H5,5500.0,Found,1990,27.46667,3.88333,"(27.46667, 3.88333)",H,Chondrite,Stony,Ordinary,H
971,Acfer 099,108,Valid,H5,313.0,Found,1990,27.45,3.83333,"(27.45, 3.83333)",H,Chondrite,Stony,Ordinary,H
972,Acfer 100,109,Valid,H6,140.0,Found,1990,27.46667,3.95,"(27.46667, 3.95)",H,Chondrite,Stony,Ordinary,H
6037,Acfer 101,110,Valid,L6,452.0,Found,1990,27.53333,4.16667,"(27.53333, 4.16667)",L,Chondrite,Stony,Ordinary,L
6038,Acfer 102,111,Valid,L3-5,346.0,Found,1990,27.66667,4.46667,"(27.66667, 4.46667)",L,Chondrite,Stony,Ordinary,L
973,Acfer 103,112,Valid,H5,665.0,Found,1990,27.8,4.5,"(27.8, 4.5)",H,Chondrite,Stony,Ordinary,H
974,Acfer 104,113,Valid,H4/5,992.0,Found,1990,27.63333,4.36667,"(27.63333, 4.36667)",H,Chondrite,Stony,Ordinary,H
6039,Acfer 105,114,Valid,L6,392.0,Found,1990,27.55,4.13333,"(27.55, 4.13333)",L,Chondrite,Stony,Ordinary,L
8930,Acfer 106,115,Valid,LL6,1390.0,Found,1990,27.5,3.9,"(27.5, 3.9)",LL,Chondrite,Stony,Ordinary,LL
6040,Acfer 107,116,Valid,L6,105.0,Found,1990,27.45,3.75,"(27.45, 3.75)",L,Chondrite,Stony,Ordinary,L
975,Acfer 108,117,Valid,H6,828.0,Found,1990,27.5,3.88333,"(27.5, 3.88333)",H,Chondrite,Stony,Ordinary,H
976,Acfer 109,118,Valid,H4/5,236.0,Found,1990,27.55,3.76667,"(27.55, 3.76667)",H,Chondrite,Stony,Ordinary,H
