,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group_name,Chondrite/Achondrite,type,L3,L4
9118,Dhofar 151,6936,Valid,LL5-6,79.0,Found,2000,19.10117,54.828,"(19.10117, 54.828)",LL,Chondrite,Stony,Ordinary,LL
2081,Dhofar 152,6937,Valid,H6,554.0,Found,2000,19.11083,54.81017,"(19.11083, 54.81017)",H,Chondrite,Stony,Ordinary,H
2088,Dhofar 153,6938,Valid,H6,1025.0,Found,2000,19.11067,54.81633,"(19.11067, 54.81633)",H,Chondrite,Stony,Ordinary,H
2095,Dhofar 154,6939,Valid,H5,1045.0,Found,2000,19.1175,54.82683,"(19.1175, 54.82683)",H,Chondrite,Stony,Ordinary,H
6891,Dhofar 155,6940,Valid,L6,552.0,Found,2000,19.1275,54.77533,"(19.1275, 54.77533)",L,Chondrite,Stony,Ordinary,L
6896,Dhofar 156,6941,Valid,L5,1780.0,Found,2000,19.1465,54.64783,"(19.1465, 54.64783)",L,Chondrite,Stony,Ordinary,L
2110,Dhofar 157,6942,Valid,H5,5300.0,Found,2000,19.08833,54.79267,"(19.08833, 54.79267)",H,Chondrite,Stony,Ordinary,H
2114,Dhofar 158,6943,Valid,H4,69.7,Found,2000,19.37306,54.7625,"(19.37306, 54.7625)",H,Chondrite,Stony,Ordinary,H
6905,Dhofar 159,6944,Valid,L6,315.1,Found,2000,19.26444,54.81861,"(19.26444, 54.81861)",L,Chondrite,Stony,Ordinary,L
2129,Dhofar 160,6945,Valid,H3,653.8,Found,2000,19.25889,54.83833,"(19.25889, 54.83833)",H,Chondrite,Stony,Ordinary,H
6909,Dhofar 161,6946,Valid,L4,2506.1,Found,2000,19.27139,54.84722,"(19.27139, 54.84722)",L,Chondrite,Stony,Ordinary,L
6913,Dhofar 162,6947,Valid,L6,1967.0,Found,2000,19.12944,54.36861,"(19.12944, 54.36861)",L,Chondrite,Stony,Ordinary,L
9123,Dhofar 163,6948,Valid,LL5,208.0,Found,2000,19.14611,54.40111,"(19.14611, 54.40111)",LL,Chondrite,Stony,Ordinary,LL
2139,Dhofar 164,6949,Valid,H6,911.0,Found,2000,19.0275,54.68083,"(19.0275, 54.68083)",H,Chondrite,Stony,Ordinary,H
2145,Dhofar 165,6950,Valid,H6,92.0,Found,2000,19.055,54.57889,"(19.055, 54.57889)",H,Chondrite,Stony,Ordinary,H
2149,Dhofar 166,6951,Valid,H6,97.0,Found,2000,19.0475,54.59194,"(19.0475, 54.59194)",H,Chondrite,Stony,Ordinary,H
2154,Dhofar 167,6952,Valid,H6,3636.0,Found,2000,19.05889,54.615,"(19.05889, 54.615)",H,Chondrite,Stony,Ordinary,H
9126,Dhofar 168,6953,Valid,LL3/4,1452.0,Found,2000,19.04056,54.58167,"(19.04056, 54.58167)",LL,Chondrite,Stony,Ordinary,LL
2167,Dhofar 169,6954,Valid,H6,243.1,Found,2000,19.05139,54.56194,"(19.05139, 54.56194)",H,Chondrite,Stony,Ordinary,H
2176,Dhofar 170,6955,Valid,H6,176.2,Found,2000,19.05389,54.56722,"(19.05389, 54.56722)",H,Chondrite,Stony,Ordinary,H
2185,Dhofar 172,6956,Valid,H6,67.3,Found,2000,19.06278,54.55944,"(19.06278, 54.55944)",H,Chondrite,Stony,Ordinary,H
2193,Dhofar 173,6957,Valid,H6,293.1,Found,2000,19.06278,54.56,"(19.06278, 54.56)",H,Chondrite,Stony,Ordinary,H
2197,Dhofar 174,6958,Valid,H6,312.9,Found,2000,19.06389,54.56389,"(19.06389, 54.56389)",H,Chondrite,Stony,Ordinary,H
2206,Dhofar 175,6959,Valid,H6,173.0,Found,2000,19.0625,54.55222,"(19.0625, 54.55222)",H,Chondrite,Stony,Ordinary,H
2210,Dhofar 176,6960,Valid,H4,312.0,Found,2000,19.06917,54.53472,"(19.06917, 54.53472)",H,Chondrite,Stony,Ordinary,H
2211,Dhofar 177,6961,Valid,H6,21.5,Found,2000,19.06667,54.5325,"(19.06667, 54.5325)",H,Chondrite,Stony,Ordinary,H
6954,Dhofar 178,6962,Valid,L6,233.9,Found,2000,19.09222,54.50389,"(19.09222, 54.50389)",L,Chondrite,Stony,Ordinary,L
2212,Dhofar 179,6963,Valid,H5,193.3,Found,2000,18.92056,54.61639,"(18.92056, 54.61639)",H,Chondrite,Stony,Ordinary,H
2213,Dhofar 180,6964,Valid,H5,271.5,Found,2000,18.92722,54.57972,"(18.92722, 54.57972)",H,Chondrite,Stony,Ordinary,H
2214,Dhofar 181,6965,Valid,H5,238.9,Found,2000,18.92972,54.57139,"(18.92972, 54.57139)",H,Chondrite,Stony,Ordinary,H
533,Dhofar 182,6966,Valid,Eucrite-mmict,255.1,Found,2000,18.93833,54.50133,"(18.93833, 54.50133)",Eucrite,Achondrite,Stony,Asteroidal,H-E-D Vesta
6955,Dhofar 183,6967,Valid,L5,1606.3,Found,2000,18.84722,54.47306,"(18.84722, 54.47306)",L,Chondrite,Stony,Ordinary,L
6956,Dhofar 184,6968,Valid,L6,66.6,Found,2000,18.85639,54.47528,"(18.85639, 54.47528)",L,Chondrite,Stony,Ordinary,L
6957,Dhofar 185,6969,Valid,L6,516.2,Found,2000,18.87222,54.47861,"(18.87222, 54.47861)",L,Chondrite,Stony,Ordinary,L
6958,Dhofar 186,6970,Valid,L6,146.0,Found,2000,18.88306,54.46583,"(18.88306, 54.46583)",L,Chondrite,Stony,Ordinary,L
6959,Dhofar 187,6971,Valid,L5,3049.2,Found,2000,18.85972,54.47056,"(18.85972, 54.47056)",L,Chondrite,Stony,Ordinary,L
2215,Dhofar 188,6972,Valid,H4,234.0,Found,2000,18.21167,54.14833,"(18.21167, 54.14833)",H,Chondrite,Stony,Ordinary,H
2216,Dhofar 189,6973,Valid,H3.8,120.0,Found,2000,18.34167,54.195,"(18.34167, 54.195)",H,Chondrite,Stony,Ordinary,H
2217,Dhofar 190,6974,Valid,H4,90.0,Found,2000,18.38833,54.295,"(18.38833, 54.295)",H,Chondrite,Stony,Ordinary,H
2218,Dhofar 191,6975,Valid,H4,226.0,Found,2000,18.405,54.245,"(18.405, 54.245)",H,Chondrite,Stony,Ordinary,H
2219,Dhofar 192,6976,Valid,H4,4779.0,Found,1999,18.26167,54.24333,"(18.26167, 54.24333)",H,Chondrite,Stony,Ordinary,H
2220,Dhofar 193,6977,Valid,H4,582.0,Found,2000,18.68667,54.41833,"(18.68667, 54.41833)",H,Chondrite,Stony,Ordinary,H
2221,Dhofar 194,6978,Valid,H4,134.0,Found,2000,18.83667,54.27,"(18.83667, 54.27)",H,Chondrite,Stony,Ordinary,H
2222,Dhofar 195,6979,Valid,H3-5,2384.0,Found,1999,18.26333,54.24667,"(18.26333, 54.24667)",H,Chondrite,Stony,Ordinary,H
6960,Dhofar 196,6980,Valid,L6,584.0,Found,1999,18.18333,54.145,"(18.18333, 54.145)",L,Chondrite,Stony,Ordinary,L
2223,Dhofar 197,6981,Valid,H4,174.5,Found,1999,18.38833,54.26667,"(18.38833, 54.26667)",H,Chondrite,Stony,Ordinary,H
6961,Dhofar 198,6982,Valid,L5,828.0,Found,1999,18.71333,54.10833,"(18.71333, 54.10833)",L,Chondrite,Stony,Ordinary,L
2224,Dhofar 199,6983,Valid,H4,160.0,Found,1999,18.39333,54.16667,"(18.39333, 54.16667)",H,Chondrite,Stony,Ordinary,H
2225,Dhofar 200,6984,Valid,H4,1816.0,Found,2000,19.30333,54.59833,"(19.30333, 54.59833)",H,Chondrite,Stony,Ordinary,H
6962,Dhofar 201,6985,Valid,L5,139.0,Found,1999,18.39333,54.16667,"(18.39333, 54.16667)",L,Chondrite,Stony,Ordinary,L
2226,Dhofar 202,6986,Valid,H4-5,1178.1,Found,2000,19.41667,54.75667,"(19.41667, 54.75667)",H,Chondrite,Stony,Ordinary,H
2227,Dhofar 203,6987,Valid,H4,274.0,Found,2000,18.18333,54.12333,"(18.18333, 54.12333)",H,Chondrite,Stony,Ordinary,H
6963,Dhofar 204,6988,Valid,L6,41.4,Found,2000,19.41833,54.76333,"(19.41833, 54.76333)",L,Chondrite,Stony,Ordinary,L
2228,Dhofar 205,6989,Valid,H4-5,20.0,Found,2000,19.39333,54.78,"(19.39333, 54.78)",H,Chondrite,Stony,Ordinary,H
6964,Dhofar 206,6990,Valid,L3.7,190.0,Found,2000,18.23833,54.135,"(18.23833, 54.135)",L,Chondrite,Stony,Ordinary,L
2229,Dhofar 207,6991,Valid,H3.4/3.5,499.5,Found,1999,18.26333,54.06833,"(18.26333, 54.06833)",H,Chondrite,Stony,Ordinary,H
2230,Dhofar 208,6992,Valid,H3.9,12.0,Found,2000,18.80167,54.29,"(18.80167, 54.29)",H,Chondrite,Stony,Ordinary,H
2231,Dhofar 209,6993,Valid,H4,111.0,Found,2001,18.49333,54.25167,"(18.49333, 54.25167)",H,Chondrite,Stony,Ordinary,H
6965,Dhofar 210,6994,Valid,L4,272.0,Found,2000,18.75833,54.42667,"(18.75833, 54.42667)",L,Chondrite,Stony,Ordinary,L
2232,Dhofar 211,6995,Valid,H4,255.0,Found,2001,18.25667,54.18167,"(18.25667, 54.18167)",H,Chondrite,Stony,Ordinary,H
2233,Dhofar 212,6996,Valid,H3.9,1456.0,Found,2000,18.86,54.83167,"(18.86, 54.83167)",H,Chondrite,Stony,Ordinary,H
2234,Dhofar 213,6997,Valid,H5,256.0,Found,2000,18.525,54.11667,"(18.525, 54.11667)",H,Chondrite,Stony,Ordinary,H
2235,Dhofar 214,6998,Valid,H6,11.0,Found,2001,19.04333,54.555,"(19.04333, 54.555)",H,Chondrite,Stony,Ordinary,H
2236,Dhofar 215,6999,Valid,H4,86.0,Found,2001,18.535,54.32167,"(18.535, 54.32167)",H,Chondrite,Stony,Ordinary,H
6966,Dhofar 216,7000,Valid,L6,70.0,Found,2001,18.59833,54.32167,"(18.59833, 54.32167)",L,Chondrite,Stony,Ordinary,L
6967,Dhofar 217,7001,Valid,L6,602.0,Found,2000,18.74667,54.565,"(18.74667, 54.565)",L,Chondrite,Stony,Ordinary,L
2237,Dhofar 218,7002,Valid,H4,570.0,Found,2001,18.685,54.40667,"(18.685, 54.40667)",H,Chondrite,Stony,Ordinary,H
2238,Dhofar 219,7003,Valid,H5,99.0,Found,2001,18.14,54.16167,"(18.14, 54.16167)",H,Chondrite,Stony,Ordinary,H
2239,Dhofar 220,7004,Valid,H4,132.0,Found,2001,18.485,54.315,"(18.485, 54.315)",H,Chondrite,Stony,Ordinary,H
6968,Dhofar 221,7005,Valid,L5,3536.0,Found,2000,18.25167,54.19833,"(18.25167, 54.19833)",L,Chondrite,Stony,Ordinary,L
6969,Dhofar 222,7006,Valid,L5,5680.0,Found,2000,18.69333,54.37,"(18.69333, 54.37)",L,Chondrite,Stony,Ordinary,L
2240,Dhofar 223,7007,Valid,H4,1708.0,Found,2000,18.26667,54.09667,"(18.26667, 54.09667)",H,Chondrite,Stony,Ordinary,H
2241,Dhofar 224,7008,Valid,H4,14974.0,Found,2001,19.15833,54.57333,"(19.15833, 54.57333)",H,Chondrite,Stony,Ordinary,H
213,Dhofar 225,7009,Valid,CM-an,90.0,Found,2001,18.36,54.18833,"(18.36, 54.18833)",CM,Chondrite,Stony,Carbonaceous,CM-CO
2242,Dhofar 226,7010,Valid,H6,62.0,Found,2001,19.11167,54.82833,"(19.11167, 54.82833)",H,Chondrite,Stony,Ordinary,H
6970,Dhofar 227,7011,Valid,L6,50.0,Found,2001,18.99,54.6,"(18.99, 54.6)",L,Chondrite,Stony,Ordinary,L
6971,Dhofar 228,7012,Valid,L6,3452.0,Found,2001,19.15,54.58333,"(19.15, 54.58333)",L,Chondrite,Stony,Ordinary,L
2243,Dhofar 229,7013,Valid,H6,716.0,Found,2000,19.05667,54.575,"(19.05667, 54.575)",H,Chondrite,Stony,Ordinary,H
2244,Dhofar 230,7014,Valid,H4,144.0,Found,2001,18.99833,54.585,"(18.99833, 54.585)",H,Chondrite,Stony,Ordinary,H
2245,Dhofar 231,7015,Valid,H4,1780.0,Found,2001,18.79167,54.57667,"(18.79167, 54.57667)",H,Chondrite,Stony,Ordinary,H
9129,Dhofar 232,7016,Valid,LL6,128.0,Found,2000,18.435,54.105,"(18.435, 54.105)",LL,Chondrite,Stony,Ordinary,LL
6972,Dhofar 233,7017,Valid,L6,93.0,Found,2000,18.45,54.10333,"(18.45, 54.10333)",L,Chondrite,Stony,Ordinary,L
2246,Dhofar 234,7018,Valid,H6,98.0,Found,2000,19.07,54.45667,"(19.07, 54.45667)",H,Chondrite,Stony,Ordinary,H
9130,Dhofar 235,7019,Valid,LL5,394.0,Found,2000,19.005,54.55,"(19.005, 54.55)",LL,Chondrite,Stony,Ordinary,LL
6973,Dhofar 236,7020,Valid,L4,320.0,Found,2000,19.02833,54.54833,"(19.02833, 54.54833)",L,Chondrite,Stony,Ordinary,L
2247,Dhofar 237,7021,Valid,H5,206.0,Found,2000,19.17667,54.625,"(19.17667, 54.625)",H,Chondrite,Stony,Ordinary,H
2248,Dhofar 239,7022,Valid,H4,4950.0,Found,2000,18.4235,54.48,"(18.4235, 54.48)",H,Chondrite,Stony,Ordinary,H
6974,Dhofar 240,7023,Valid,L5,82.6,Found,2001,19.148,54.77783,"(19.148, 54.77783)",L,Chondrite,Stony,Ordinary,L
2249,Dhofar 241,7024,Valid,H5/6,451.8,Found,2001,18.65183,54.77383,"(18.65183, 54.77383)",H,Chondrite,Stony,Ordinary,H
2250,Dhofar 242,7025,Valid,H5,58.4,Found,2001,18.62717,54.75083,"(18.62717, 54.75083)",H,Chondrite,Stony,Ordinary,H
2251,Dhofar 243,7026,Valid,H6,185.3,Found,2001,18.62317,54.7285,"(18.62317, 54.7285)",H,Chondrite,Stony,Ordinary,H
2252,Dhofar 244,7027,Valid,H5,178.3,Found,2001,18.6305,54.73283,"(18.6305, 54.73283)",H,Chondrite,Stony,Ordinary,H
6975,Dhofar 245,7028,Valid,L6,1074.6,Found,2001,18.663,54.71183,"(18.663, 54.71183)",L,Chondrite,Stony,Ordinary,L
2253,Dhofar 246,7029,Valid,H5,50.0,Found,2001,18.66933,54.728,"(18.66933, 54.728)",H,Chondrite,Stony,Ordinary,H
2254,Dhofar 247,7030,Valid,H6,97.8,Found,2001,18.98567,54.60083,"(18.98567, 54.60083)",H,Chondrite,Stony,Ordinary,H
9131,Dhofar 248,7031,Valid,LL6,38.3,Found,2001,18.98583,54.60067,"(18.98583, 54.60067)",LL,Chondrite,Stony,Ordinary,LL
2255,Dhofar 249,7032,Valid,H6,36.6,Found,2001,18.98667,54.60217,"(18.98667, 54.60217)",H,Chondrite,Stony,Ordinary,H
6976,Dhofar 250,7033,Valid,L6,585.7,Found,2001,19.1225,54.67333,"(19.1225, 54.67333)",L,Chondrite,Stony,Ordinary,L
6977,Dhofar 251,7034,Valid,L6,12.7,Found,2001,19.3015,54.735,"(19.3015, 54.735)",L,Chondrite,Stony,Ordinary,L
2256,Dhofar 252,7035,Valid,H3,64.3,Found,2001,18.5985,54.03383,"(18.5985, 54.03383)",H,Chondrite,Stony,Ordinary,H
2257,Dhofar 253,7036,Valid,H4/5,413.0,Found,2001,18.62467,54.09667,"(18.62467, 54.09667)",H,Chondrite,Stony,Ordinary,H
6978,Dhofar 254,7037,Valid,L6,191.8,Found,2001,18.70317,54.28667,"(18.70317, 54.28667)",L,Chondrite,Stony,Ordinary,L
2258,Dhofar 255,7038,Valid,H6,11.3,Found,2001,18.745,54.38517,"(18.745, 54.38517)",H,Chondrite,Stony,Ordinary,H
2259,Dhofar 256,7039,Valid,H6,1465.4,Found,2001,18.74583,54.38433,"(18.74583, 54.38433)",H,Chondrite,Stony,Ordinary,H
2260,Dhofar 257,7040,Valid,H6,2520.1,Found,2001,18.74667,54.38333,"(18.74667, 54.38333)",H,Chondrite,Stony,Ordinary,H
2261,Dhofar 258,7041,Valid,H5,110.2,Found,2001,18.70933,54.303,"(18.70933, 54.303)",H,Chondrite,Stony,Ordinary,H
6979,Dhofar 259,7042,Valid,L6,48.6,Found,2001,18.78683,54.25167,"(18.78683, 54.25167)",L,Chondrite,Stony,Ordinary,L
6980,Dhofar 260,7043,Valid,L6,6574.4,Found,2001,18.7865,54.2505,"(18.7865, 54.2505)",L,Chondrite,Stony,Ordinary,L
2262,Dhofar 261,7044,Valid,H4/5,787.5,Found,2001,19.15383,54.71933,"(19.15383, 54.71933)",H,Chondrite,Stony,Ordinary,H
2263,Dhofar 262,7045,Valid,H6,291.8,Found,2001,18.27733,54.25533,"(18.27733, 54.25533)",H,Chondrite,Stony,Ordinary,H
9132,Dhofar 263,7046,Valid,LL6,1698.1,Found,2001,18.34583,54.40067,"(18.34583, 54.40067)",LL,Chondrite,Stony,Ordinary,LL
6981,Dhofar 264,7047,Valid,L6,474.4,Found,2001,18.347,54.4155,"(18.347, 54.4155)",L,Chondrite,Stony,Ordinary,L
6982,Dhofar 265,7048,Valid,L4,324.3,Found,2001,18.60283,54.45517,"(18.60283, 54.45517)",L,Chondrite,Stony,Ordinary,L
2264,Dhofar 266,7049,Valid,H5,85.6,Found,2001,18.75783,54.4365,"(18.75783, 54.4365)",H,Chondrite,Stony,Ordinary,H
2265,Dhofar 267,7050,Valid,H5,1910.0,Found,2000,18.32667,54.21833,"(18.32667, 54.21833)",H,Chondrite,Stony,Ordinary,H
2266,Dhofar 268,7051,Valid,H4,124.0,Found,2000,18.90167,54.56167,"(18.90167, 54.56167)",H,Chondrite,Stony,Ordinary,H
2267,Dhofar 269,7052,Valid,H5,2006.0,Found,2000,19.03833,54.515,"(19.03833, 54.515)",H,Chondrite,Stony,Ordinary,H
9133,Dhofar 270,7053,Valid,LL5-6,50.0,Found,2001,18.32833,54.15167,"(18.32833, 54.15167)",LL,Chondrite,Stony,Ordinary,LL
2268,Dhofar 271,7054,Valid,H4,1335.0,Found,2000,18.265,54.045,"(18.265, 54.045)",H,Chondrite,Stony,Ordinary,H
6983,Dhofar 272,7055,Valid,L5,2073.0,Found,2001,18.43833,54.11833,"(18.43833, 54.11833)",L,Chondrite,Stony,Ordinary,L
6984,Dhofar 273,7056,Valid,L5,2085.0,Found,2001,18.375,54.14833,"(18.375, 54.14833)",L,Chondrite,Stony,Ordinary,L
6985,Dhofar 274,7057,Valid,L6,2475.0,Found,2001,18.06333,54.05,"(18.06333, 54.05)",L,Chondrite,Stony,Ordinary,L
534,Dhofar 275,7058,Valid,Eucrite,353.0,Found,2001,19.15167,54.775,"(19.15167, 54.775)",Eucrite,Achondrite,Stony,Asteroidal,H-E-D Vesta
2269,Dhofar 276,7059,Valid,H5,7285.0,Found,2001,18.65,54.135,"(18.65, 54.135)",H,Chondrite,Stony,Ordinary,H
6986,Dhofar 277,7060,Valid,L6,1930.0,Found,2001,18.34833,54.33667,"(18.34833, 54.33667)",L,Chondrite,Stony,Ordinary,L
6987,Dhofar 278,7061,Valid,L6,1666.0,Found,2001,18.66833,54.66667,"(18.66833, 54.66667)",L,Chondrite,Stony,Ordinary,L
6988,Dhofar 279,7062,Valid,L6,1932.0,Found,2001,18.265,54.33833,"(18.265, 54.33833)",L,Chondrite,Stony,Ordinary,L
9423,Dhofar 280,7063,Valid,Lunar (anorth),251.2,Found,2001,19.32667,54.78333,"(19.32667, 54.78333)",Lunar,Achondrite,Stony,Moon,-
6989,Dhofar 281,7064,Valid,L3.8,4936.0,Found,2001,18.575,54.29833,"(18.575, 54.29833)",L,Chondrite,Stony,Ordinary,L
6990,Dhofar 282,7065,Valid,L6,928.0,Found,2001,19.03333,54.62833,"(19.03333, 54.62833)",L,Chondrite,Stony,Ordinary,L
2270,Dhofar 283,7066,Valid,H6,1788.0,Found,2001,18.44,54.01833,"(18.44, 54.01833)",H,Chondrite,Stony,Ordinary,H
6991,Dhofar 284,7067,Valid,L6,1337.0,Found,2001,18.46333,54.03,"(18.46333, 54.03)",L,Chondrite,Stony,Ordinary,L
535,Dhofar 285,7068,Valid,Eucrite-pmict,216.0,Found,2001,18.43333,54.17,"(18.43333, 54.17)",Eucrite,Achondrite,Stony,Asteroidal,H-E-D Vesta
6992,Dhofar 286,7069,Valid,L6,1453.0,Found,2001,18.12667,54.115,"(18.12667, 54.115)",L,Chondrite,Stony,Ordinary,L
9424,Dhofar 287,7070,Valid,Lunar (basalt),154.0,Found,2001,18.40333,54.14667,"(18.40333, 54.14667)",Lunar,Achondrite,Stony,Moon,-
6993,Dhofar 288,7071,Valid,L6,996.0,Found,2001,18.49333,54.13333,"(18.49333, 54.13333)",L,Chondrite,Stony,Ordinary,L
2271,Dhofar 289,7072,Valid,H6,1180.0,Found,2001,18.33333,54.19333,"(18.33333, 54.19333)",H,Chondrite,Stony,Ordinary,H
3,Dhofar 290,7073,Valid,Acapulcoite,62.0,Found,2001,19.315,54.84333,"(19.315, 54.84333)",Acapulcoite,Achondrite,Stony,Primitive,-
6994,Dhofar 291,7074,Valid,L5,1164.0,Found,2000,18.24833,54.10333,"(18.24833, 54.10333)",L,Chondrite,Stony,Ordinary,L
2272,Dhofar 292,7075,Valid,H6,804.0,Found,2000,19.36833,54.68,"(19.36833, 54.68)",H,Chondrite,Stony,Ordinary,H
6995,Dhofar 293,7076,Valid,L5,2366.0,Found,2001,19.10667,54.85833,"(19.10667, 54.85833)",L,Chondrite,Stony,Ordinary,L
2273,Dhofar 294,7077,Valid,H3.9,5988.0,Found,2001,18.61333,54.5,"(18.61333, 54.5)",H,Chondrite,Stony,Ordinary,H
9758,Dhofar 295,7078,Valid,Ureilite,48.0,Found,2002,19.20833,54.64,"(19.20833, 54.64)",Ureilite,Achondrite,Stony,Primitive or asteroidal,-
6996,Dhofar 296,7079,Valid,L5,1412.0,Found,2000,19.32833,54.7,"(19.32833, 54.7)",L,Chondrite,Stony,Ordinary,L
6997,Dhofar 297,7080,Valid,L6,698.0,Found,2001,18.47167,54.15333,"(18.47167, 54.15333)",L,Chondrite,Stony,Ordinary,L
2274,Dhofar 298,7081,Valid,H6,677.0,Found,2001,18.17667,54.26333,"(18.17667, 54.26333)",H,Chondrite,Stony,Ordinary,H
6998,Dhofar 299,7082,Valid,L3.9,410.0,Found,2001,18.54667,54.31,"(18.54667, 54.31)",L,Chondrite,Stony,Ordinary,L
536,Dhofar 300,7083,Valid,Eucrite,624.0,Found,2001,18.40333,54.14333,"(18.40333, 54.14333)",Eucrite,Achondrite,Stony,Asteroidal,H-E-D Vesta
9425,Dhofar 301,7084,Valid,Lunar (anorth),9.0,Found,2001,18.40167,54.14833,"(18.40167, 54.14833)",Lunar,Achondrite,Stony,Moon,-
9426,Dhofar 302,7085,Valid,Lunar (anorth),3.83,Found,2001,19.32667,54.785,"(19.32667, 54.785)",Lunar,Achondrite,Stony,Moon,-
9427,Dhofar 303,7086,Valid,Lunar (anorth),4.15,Found,2001,19.33,54.78333,"(19.33, 54.78333)",Lunar,Achondrite,Stony,Moon,-
9428,Dhofar 304,7087,Valid,Lunar (anorth),10.0,Found,2001,18.40333,54.15,"(18.40333, 54.15)",Lunar,Achondrite,Stony,Moon,-
9429,Dhofar 305,7088,Valid,Lunar (anorth),34.11,Found,2001,19.33,54.78333,"(19.33, 54.78333)",Lunar,Achondrite,Stony,Moon,-
9430,Dhofar 306,7089,Valid,Lunar (anorth),12.86,Found,2001,19.32833,54.785,"(19.32833, 54.785)",Lunar,Achondrite,Stony,Moon,-
9431,Dhofar 307,7090,Valid,Lunar (anorth),50.0,Found,2001,19.32833,54.78167,"(19.32833, 54.78167)",Lunar,Achondrite,Stony,Moon,-
9432,Dhofar 308,7091,Valid,Lunar (anorth),2.0,Found,2001,18.40333,54.15,"(18.40333, 54.15)",Lunar,Achondrite,Stony,Moon,-
9433,Dhofar 309,7092,Valid,Lunar (anorth),81.3,Found,2002,19.32667,54.78833,"(19.32667, 54.78833)",Lunar,Achondrite,Stony,Moon,-
9434,Dhofar 310,7093,Valid,Lunar (anorth),10.8,Found,2002,19.32833,54.785,"(19.32833, 54.785)",Lunar,Achondrite,Stony,Moon,-
9435,Dhofar 311,7094,Valid,Lunar (anorth),4.0,Found,2001,19.32667,54.78333,"(19.32667, 54.78333)",Lunar,Achondrite,Stony,Moon,-
4,Dhofar 312,7095,Valid,Acapulcoite,354.0,Found,2001,18.98833,54.605,"(18.98833, 54.605)",Acapulcoite,Achondrite,Stony,Primitive,-
2275,Dhofar 313,7096,Valid,H5,200.0,Found,2001,18.45167,54.03167,"(18.45167, 54.03167)",H,Chondrite,Stony,Ordinary,H
6999,Dhofar 314,7097,Valid,L6,501.0,Found,2001,19.31833,54.73,"(19.31833, 54.73)",L,Chondrite,Stony,Ordinary,L
2276,Dhofar 315,7098,Valid,H5,411.25,Found,2001,19.35333,54.825,"(19.35333, 54.825)",H,Chondrite,Stony,Ordinary,H
7000,Dhofar 316,7099,Valid,L6,3215.0,Found,2001,19.155,54.78667,"(19.155, 54.78667)",L,Chondrite,Stony,Ordinary,L
7001,Dhofar 317,7100,Valid,L5,2897.0,Found,2001,18.58833,54.01833,"(18.58833, 54.01833)",L,Chondrite,Stony,Ordinary,L
7002,Dhofar 318,7101,Valid,L6,522.0,Found,2001,18.18,54.175,"(18.18, 54.175)",L,Chondrite,Stony,Ordinary,L
2277,Dhofar 319,7102,Valid,H5,416.0,Found,2000,18.57,54.28667,"(18.57, 54.28667)",H,Chondrite,Stony,Ordinary,H
7003,Dhofar 320,7103,Valid,L6,413.0,Found,2001,19.03833,54.61167,"(19.03833, 54.61167)",L,Chondrite,Stony,Ordinary,L
2278,Dhofar 321,7104,Valid,H4,594.0,Found,2001,18.34833,54.28667,"(18.34833, 54.28667)",H,Chondrite,Stony,Ordinary,H
2279,Dhofar 322,7105,Valid,H5,658.0,Found,2000,18.33667,54.22167,"(18.33667, 54.22167)",H,Chondrite,Stony,Ordinary,H
2280,Dhofar 323,7106,Valid,H5,688.0,Found,2001,18.21833,54.10667,"(18.21833, 54.10667)",H,Chondrite,Stony,Ordinary,H
2281,Dhofar 324,7107,Valid,H6,448.0,Found,2001,18.90333,54.57833,"(18.90333, 54.57833)",H,Chondrite,Stony,Ordinary,H
7004,Dhofar 325,7108,Valid,L3.5,584.0,Found,2001,18.48167,54.135,"(18.48167, 54.135)",L,Chondrite,Stony,Ordinary,L
2282,Dhofar 326,7109,Valid,H5,618.0,Found,2000,19.03333,54.515,"(19.03333, 54.515)",H,Chondrite,Stony,Ordinary,H
7005,Dhofar 327,7110,Valid,L6,421.0,Found,2001,18.38833,54.13333,"(18.38833, 54.13333)",L,Chondrite,Stony,Ordinary,L
9134,Dhofar 328,7111,Valid,LL5,536.0,Found,2000,18.98,54.405,"(18.98, 54.405)",LL,Chondrite,Stony,Ordinary,LL
2283,Dhofar 329,7112,Valid,H6,475.0,Found,2000,18.91833,54.57833,"(18.91833, 54.57833)",H,Chondrite,Stony,Ordinary,H
7006,Dhofar 330,7113,Valid,L4,156.0,Found,2002,19.38167,54.59333,"(19.38167, 54.59333)",L,Chondrite,Stony,Ordinary,L
2284,Dhofar 331,7114,Valid,H5,946.0,Found,2000,18.14167,54.08667,"(18.14167, 54.08667)",H,Chondrite,Stony,Ordinary,H
2285,Dhofar 332,7115,Valid,H5,794.0,Found,2000,18.26833,54.12167,"(18.26833, 54.12167)",H,Chondrite,Stony,Ordinary,H
7007,Dhofar 333,7116,Valid,L6,410.0,Found,2000,18.375,54.13833,"(18.375, 54.13833)",L,Chondrite,Stony,Ordinary,L
2286,Dhofar 334,7117,Valid,H3.9,973.0,Found,2000,19.05667,54.69833,"(19.05667, 54.69833)",H,Chondrite,Stony,Ordinary,H
7008,Dhofar 335,7118,Valid,L6,555.0,Found,2000,18.97333,54.68833,"(18.97333, 54.68833)",L,Chondrite,Stony,Ordinary,L
