,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
3,0,331.0,Found,1982,26.8,-105.41667,H,Chondrite,Stony,2
4,0,21100.0,Found,1951,36.3,-104.28333,H,Chondrite,Stony,13
7,0,1.2,Found,1840,60.43333,22.3,H,Chondrite,Stony,1
8,0,4500.0,Found,1997,27.23944,29.83583,H,Chondrite,Stony,11
73,0,517.0,Found,1990,27.63333,4.06667,LL,Chondrite,Stony,11
74,0,383.0,Found,1990,27.71667,4.78333,H,Chondrite,Stony,11
77,0,138.0,Found,1990,27.68333,4.48333,H,Chondrite,Stony,11
80,0,2010.0,Found,1990,27.53333,3.85,H,Chondrite,Stony,11
82,0,1453.0,Found,1990,27.51667,3.73333,H,Chondrite,Stony,11
83,0,183.0,Found,1990,27.7,4.35,H,Chondrite,Stony,11
85,0,105.0,Found,1990,27.56667,4.15,H,Chondrite,Stony,11
88,0,110.0,Found,1990,27.53333,3.86667,LL,Chondrite,Stony,11
89,0,208.0,Found,1990,27.5,3.48333,CV,Chondrite,Stony,11
91,0,6300.0,Found,1990,27.55,3.86667,H,Chondrite,Stony,11
92,0,293.0,Found,1990,27.58333,3.95,H,Chondrite,Stony,11
93,0,173.0,Found,1990,27.66667,4.18333,CV,Chondrite,Stony,11
94,0,163.0,Found,1990,27.7,4.26667,CR,Chondrite,Stony,11
96,0,682.0,Found,1990,27.63333,4.3,H,Chondrite,Stony,11
97,0,290.0,Found,1990,27.5,3.83333,H,Chondrite,Stony,11
98,0,3487.0,Found,1990,27.45,4.11667,LL,Chondrite,Stony,11
99,0,244.0,Found,1990,27.66667,4.51667,H,Chondrite,Stony,11
101,0,82.0,Found,1990,27.73333,4.43333,Chondrite,Chondrite,Stony,11
102,0,104.0,Found,1990,27.71667,4.38333,H,Chondrite,Stony,11
104,0,63.0,Found,1990,27.51667,3.96667,CR,Chondrite,Stony,11
105,0,5500.0,Found,1990,27.46667,3.88333,H,Chondrite,Stony,11
106,0,313.0,Found,1990,27.45,3.83333,H,Chondrite,Stony,11
107,0,140.0,Found,1990,27.46667,3.95,H,Chondrite,Stony,11
