"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"276",3362,10075,"H4",56000,"Fell",1934,35.55,-77.53333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"690",5307,17996,"L5",7700,"Fell",1963,6.75,8.5,"L","Chondrite","Stony","Ordinary","L",17,3.8504410331384
"128",738,5110,"LL6",1676,"Fell",1808,44.86667,10.05,"LL","Chondrite","Stony","Ordinary","LL",2,0.463225690897741
"749",5444,18804,"Stone-uncl",367,"Fell",1779,53.53333,-7.33333,"Stony",NA,"Stony",NA,NA,2,0.463225690897741
"559",4744,15419,"Iron",340,"Fell",1898,42.71667,-99.38333,"Iron","Achondrite","Iron",NA,NA,11,0.00485781484723708
"1111",9000,54493,"L6",14200,"Fell",2011,-1.00278,37.15028,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"402",4219,12087,"Iron, IIIAB",6e+05,"Fell",1890,30.80833,109.5,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"894",6335,23621,"L6",850,"Fell",1848,59.73333,10.86667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"614",4874,16729,"L6",500,"Fell",1838,47.63333,1.58333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"473",4453,12353,"LL5",16500,"Fell",1869,49.32694,7.46472,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"53",543,4883,"L4",1280,"Fell",1920,25.25417,80.625,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"852",5910,23188,"L6",4000,"Fell",1868,43.15,-0.85,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"523",4628,14670,"H4",5213,"Fell",1820,56,26.43333,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"205",1074,5477,"L5",4255,"Fell",1902,54.61667,-6.21667,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"918",6429,23745,"H5",637,"Fell",1935,44.86667,133.16667,"H","Chondrite","Stony","Ordinary","H",9,2.84735119047619
