"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"887",6321,23606,"L6",1455,"Fell",1916,30.9,32.48333,"L","Chondrite","Stony","Ordinary","L",14,0.498018659921233
"1022",6926,24342,"Stone-uncl",367,"Fell",1931,35.13333,113.33333,"Stony",NA,"Stony",NA,NA,1,0.297273742080897
"389",4186,12049,"H",1300,"Fell",1954,-8.93333,33.8,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"424",4344,12236,"L6",4500,"Fell",1879,17.83333,73.98333,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"904",6400,23712,"H5",34000,"Fell",1876,59.93333,14.95,"H","Chondrite","Stony","Ordinary","H",9,2.84735119047619
"83",614,4954,"L5",44000,"Fell",1965,52.56528,-1.33972,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"289",3439,10163,"H6",240,"Fell",1900,50.95,7.31667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"340",3604,11449,"CBa",1e+05,"Fell",1984,11.49167,11.65833,"CB","Chondrite","Stony","Carbonaceous","CR",2,0.463225690897741
"489",4487,12390,"L6",45000,"Fell",1886,32.03333,130.63333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1030",6946,30358,"H5",13600,"Fell",1852,14.3,79.76667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"735",5416,18176,"L6",40000,"Fell",1826,48.53333,35.98333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"850",5898,23176,"L4",2e+05,"Fell",1918,52.55,46.55,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"1029",6940,30352,"Iron, IAB complex",150200,"Fell",1959,38.93333,48.25,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",13,0.428663281861922
"656",5055,16953,"L6",230000,"Fell",1860,40,-81.76667,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"970",6707,24098,"L6",1000,"Fell",1989,41.76667,62.51667,"L","Chondrite","Stony","Ordinary","L",14,0.498018659921233
"366",4038,11889,"H5",414,"Fell",2003,34.45,132.38333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"21",442,453,"L/LL4",2000,"Fell",1766,44.65,11.01667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"627",4925,16820,"Stone-uncl",1100,"Fell",1944,-11.5,33.5,"Stony",NA,"Stony",NA,NA,15,0.406210536590808
"634",4990,16887,"OC",367,"Fell",1842,23.05,72.63333,"Chondrite","Chondrite","Stony",NA,NA,1,0.297273742080897
"981",6739,24132,"L6",1269,"Fell",1963,49.975,16.375,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"870",6221,23504,"H4",350,"Fell",1908,-19.46667,-44.21667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"1072",7948,45984,"Eucrite-br",500,"Fell",2007,39.35,-3.51667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"14",416,426,"L6",779,"Fell",1949,29.51667,35.05,"L","Chondrite","Stony","Ordinary","L",14,0.498018659921233
"609",4866,16719,"H5",2587,"Fell",1998,31.60833,-102.85833,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"557",4736,15409,"LL3.4",3555,"Fell",1951,45.81667,44.63333,"LL","Chondrite","Stony","Ordinary","LL",13,0.428663281861922
"133",745,5117,"L4",614,"Fell",1823,51.33333,33.88333,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"1083",7966,47351,"Iron, IIE-an",6800,"Fell",2006,25.14333,75.81333,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative",11,0.00485781484723708
"400",4217,12085,"L5",5900,"Fell",1873,31.3,72.38333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"370",4049,11901,"L5",230000,"Fell",1875,41.8,-91.86667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"697",5322,18013,"LL5",150000,"Fell",1924,38.71667,-7.06667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"26",452,463,"H5",908,"Fell",1860,44.88333,8.75,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"1069",7789,45817,"H4-5",342,"Fell",2007,-16.66444,-69.04389,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"641",5004,16902,"H5",4500,"Fell",1886,12.28333,79.2,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"187",948,5344,"Stone-uncl",72,"Fell",1880,14.5,76.5,"Stony",NA,"Stony",NA,NA,1,0.297273742080897
"322",3539,10948,"H6",1600,"Fell",1865,24.23333,89.05,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"174",929,5322,"H5",1810,"Fell",1977,29.08333,111.75,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"232",3190,7659,"L6",1600,"Fell",1864,50.75,25.3,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"349",3639,11485,"LL4",3710,"Fell",1959,41.38333,-86.6,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"197",1000,5401,"L6",469,"Fell",1994,43.76111,-84.50778,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1099",8209,50911,"H5",215,"Fell",2009,43.2,-79.61667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"592",4823,16635,"L6",6380,"Fell",1992,35.56833,133.22,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"593",4824,16636,"L6",224.2,"Fell",1944,46.23333,17.53333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"596",4837,16645,"H5",16700,"Fell",1930,35.4,-92.05,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"31",471,2284,"LL5",6000,"Fell",1977,35.27333,44.21556,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"753",5451,18812,"L5",11000,"Fell",1941,15.71667,108.1,"L","Chondrite","Stony","Ordinary","L",18,10.7446597222222
"488",4482,12385,"L6",4047,"Fell",1932,55.2,75.33333,"L","Chondrite","Stony","Ordinary","L",8,9.36101905684755
"681",5277,17960,"H4",363,"Fell",1925,43.33333,141.86667,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"516",4605,14646,"H6",4000,"Fell",1973,-26.15,26.18333,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"262",3299,7824,"L5",54640,"Fell",1951,47.83333,37.66667,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"509",4579,12755,"L6",51500,"Fell",1943,35.88333,-99.33333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"79",599,4947,"H5",23.2,"Fell",1904,52.73333,84.08333,"H","Chondrite","Stony","Ordinary","H",9,2.84735119047619
"1101",8404,51589,"L6",3667,"Fell",2009,46.42137,14.05217,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"277",3365,10078,"H5",1500,"Fell",1844,44.38333,2.81667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"698",5324,18015,"H5",40000,"Fell",1929,39.56667,-2.1,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"213",2175,6604,"H5",7000,"Fell",1998,41.98444,59.685,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"629",4955,16851,"L",25.5,"Fell",1795,9.33333,80.83333,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"13",415,425,"Unknown",367,"Fell",1769,50.66667,2.33333,"Unknown",NA,NA,NA,NA,1,0.297273742080897
"273",3345,10055,"C2-ung",500,"Fell",1957,2.88333,30.83333,"Chondrite","Chondrite","Stony","Carbonaceous",NA,17,3.8504410331384
"1063",7456,35465,"L6",1500,"Fell",1999,11.33333,10.08333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"922",6461,23778,"L5",9000,"Fell",1867,36.18333,5.41667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"1054",7025,30443,"LL6",25000,"Fell",2004,32.25,-8.15,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"303",3482,10860,"Iron, IIE",380,"Fell",1917,27.88333,68.53333,"Iron IIE","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"330",3584,11429,"H5",690,"Fell",1910,52.86667,16.63333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"618",4882,16738,"L6",8887.5,"Fell",1930,-40.975,145.6,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"1026",6934,30345,"H5",4,"Fell",1951,1,22.5,"H","Chondrite","Stony","Ordinary","H",18,10.7446597222222
"537",4699,14759,"Unknown",367,"Fell",1951,-7.21667,29.43333,"Unknown",NA,NA,NA,NA,2,0.463225690897741
"1027",6936,30348,"H5",20000,"Fell",1954,21.83333,111.83333,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"138",762,5135,"H/L3.9",7250,"Fell",1855,53.4,9.1,"H,L, or LL","Chondrite","Stony","Ordinary",NA,11,0.00485781484723708
"777",5530,18902,"Stone-uncl",100,"Fell",1811,13.33333,78.95,"Stony",NA,"Stony",NA,NA,1,0.297273742080897
"117",693,5063,"H6",1850,"Fell",1796,49.78333,30.16667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"326",3578,11206,"CV3",3500,"Fell",1861,43.66667,45.38333,"CV","Chondrite","Stony","Carbonaceous","CV-CK",1,0.297273742080897
"248",3233,7752,"L6",577,"Fell",1853,-4,39.5,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"1017",6910,24324,"OC",166.4,"Fell",1964,9,39,"Chondrite","Chondrite","Stony",NA,NA,1,0.297273742080897
"647",5013,16912,"L6",367.5,"Fell",1928,-34.05,150.68889,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"868",6218,23501,"H4",8500,"Fell",1818,41.05,23.56667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"990",6757,24149,"L5",50000,"Fell",1972,9.31667,-70.62833,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"788",5558,22376,"L6",9000,"Fell",1878,52.98333,37.03333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"194",975,5374,"L6",1455,"Fell",1984,32.1025,-81.87278,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"214",2182,6621,"H6",340,"Fell",1887,43,-80,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"1018",6911,24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"423",4340,12232,"H4",950,"Fell",1951,-6.83333,29.5,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"474",4455,12355,"L6",2440,"Fell",1829,54.03333,40.9,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"4",9,10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"Acapulcoite","Achondrite","Stony","Primitive",NA,0,71.3451083182367
"1038",6970,30384,"H3-6",175000,"Fell",1998,27.33333,-9.33333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"88",621,4977,"L6",611,"Fell",1916,36.75,-93.5,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1003",6800,24188,"Eucrite-cm",1303.8,"Fell",1997,16.83333,80.75,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"161",902,5292,"Stone-uncl",367,"Fell",1791,43.35,11.5,"Stony",NA,"Stony",NA,NA,11,0.00485781484723708
"992",6764,24158,"H5",10800,"Fell",1950,56.13333,77.26667,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"469",4431,12336,"CK4",136,"Fell",1999,34.73333,135.16667,"CK","Chondrite","Stony","Carbonaceous","CV-CK",11,0.00485781484723708
"477",4464,12364,"LL3.2",50000,"Fell",1946,47.83333,30.76667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"278",3366,10079,"H4",2360,"Fell",1934,36.05,-94.16667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"108",672,5040,"LL3-6",1047,"Fell",1940,22.68333,90.65,"LL","Chondrite","Stony","Ordinary","LL",16,1.82339952891488
"404",4304,12173,"Howardite",30,"Fell",1877,55.7,24.4,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta",10,0.461815233876118
"429",4352,12245,"H5",1630,"Fell",1908,-7,115.5,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"699",5327,18019,"Pallasite, PMG",250000,"Fell",1981,64.02,161.80833,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,6,15.1999643132716
"858",6181,23460,"L6",8000,"Fell",1846,48.11667,10.46667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"866",6213,23496,"H6",866,"Fell",1993,39.43833,140.51167,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"11",413,423,"Diogenite-pm",1000,"Fell",1974,16.39806,-9.57028,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta",2,0.463225690897741
"1112",9083,54719,"H5",1600,"Fell",2010,26.46469,106.63241,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1107",8907,53633,"L5",2500,"Fell",2010,-20.85001,-41.73356,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"987",6752,24144,"H6",2799,"Fell",1944,11.98333,79.75,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"934",6589,23898,"L4",28500,"Fell",1872,58.03333,26.95,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"674",5264,17930,"H4",177,"Fell",1971,45.29167,11.52722,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"906",6405,23717,"L6",1500,"Fell",1857,45.05,41.98333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"899",6375,23663,"H5",54,"Fell",1860,47.36667,1.73333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"202",1068,5470,"CM2",78.4,"Fell",1936,35.95,-97.58333,"CM","Chondrite","Stony","Carbonaceous","CM-CO",1,0.297273742080897
"9",390,398,"L6",1620,"Fell",1930,-31.6,-65.23333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"1005",6802,24191,"L6",20000,"Fell",1831,46.63333,0.16667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"552",4727,15400,"Eucrite-pmict",807,"Fell",1933,-29.45,26.76667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",2,0.463225690897741
"845",5874,23130,"L6",282,"Fell",1956,-31.01667,-71.4,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"339",3603,11448,"H5",2449,"Fell",1982,22.98333,76.05,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"358",4008,11859,"Ureilite",1544,"Fell",1971,60.24556,22.06194,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,1,0.297273742080897
"155",868,5252,"H5",34000,"Fell",1866,43.38333,-5.15,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"825",5825,22796,"Stone-uncl",367,"Fell",1636,51.53333,14.88333,"Stony",NA,"Stony",NA,NA,11,0.00485781484723708
"256",3252,7776,"H4",3336,"Fell",1939,56.03333,13,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"801",5633,22586,"CR2",1000,"Fell",1824,44.76667,11.28333,"CR","Chondrite","Stony","Carbonaceous","CR",1,0.297273742080897
"747",5440,18800,"H5",189,"Fell",1995,14.052,0.42,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"305",3484,10860,"Iron, IIE",380,"Fell",1917,27.88333,68.53333,"Iron IIE","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"345",3622,11467,"OC",1320,"Fell",1930,35,127.5,"Chondrite","Chondrite","Stony",NA,NA,0,71.3451083182367
"379",4138,11994,"OC",367,"Fell",1949,38,35,"Chondrite","Chondrite","Stony",NA,NA,13,0.428663281861922
"963",6675,24062,"H6",10000,"Fell",1967,45.46667,105.38333,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"465",4423,12325,"L6",1550,"Fell",1914,48.16667,22.30833,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"1070",7944,45976,"H/L4",478,"Fell",2007,3.405,-76.51,"H,L, or LL","Chondrite","Stony","Ordinary",NA,11,0.00485781484723708
"586",4815,16627,"L6",1300,"Fell",1949,45.76667,3.25,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"337",3597,11442,"L5",288,"Fell",1972,13.5,-0.68333,"L","Chondrite","Stony","Ordinary","L",15,0.406210536590808
"1065",7723,36592,"CO3.6",3763,"Fell",2006,59.43333,10.7,"CO","Chondrite","Stony","Carbonaceous","CM-CO",11,0.00485781484723708
"415",4328,12220,"H4",13400,"Fell",1971,11.85,8.21667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"102",665,5032,"H",13.9,"Fell",1859,42.53333,-73.83333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"1077",7960,47351,"Iron, IIE-an",6800,"Fell",2006,25.14333,75.81333,"Iron IIE","Achondrite","Iron","Magmatic","Siderite",11,0.00485781484723708
"239",3207,7723,"LL6",1161,"Fell",1932,32.33333,-6.3,"LL","Chondrite","Stony","Ordinary","LL",2,0.463225690897741
"486",4480,12383,"H5",23,"Fell",1977,44.51667,39.3,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"613",4872,16727,"H5",149000,"Fell",1923,43.39056,1.9625,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"782",5540,22358,"H4",6045,"Fell",1857,17.76667,95.18333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"55",545,4885,"LL6",265,"Fell",1933,34.75,-87,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"65",567,4913,"L6",2830,"Fell",1938,36.8,-108,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"77",596,4944,"OC",367,"Fell",1704,41.36667,2.16667,"Chondrite","Chondrite","Stony",NA,NA,0,71.3451083182367
"602",4851,16703,"H5",5800,"Fell",1890,56.66667,23,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"244",3226,7743,"L6",30,"Fell",1999,-31.66667,152.83333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"459",4406,12306,"H6",195,"Fell",1809,55,34,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"173",928,5321,"L6",1100,"Fell",1885,27.28333,79.05,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"410",4319,12209,"L6",32490,"Fell",1984,-7.71667,111.2,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"909",6412,23728,"L6",50,"Fell",1974,41.2,-73.13333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"274",3348,10059,"Mesosiderite-A3/4",320000,"Fell",1879,43.41667,-94.83333,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,2,0.463225690897741
"34",480,2295,"L6",3200,"Fell",1898,44.61667,-70.75,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"104",668,5034,"L5",2000,"Fell",1859,43.21667,-0.23333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"18",436,446,"CR2-an",160,"Fell",1957,24.41667,39.51667,"CR","Chondrite","Stony","Carbonaceous","CR",2,0.463225690897741
"483",4477,12379,"H5",1100000,"Fell",1998,42.25,59.2,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1019",6918,24334,"L6",36000,"Fell",1960,-27.75,115.83333,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"487",4481,12384,"L6",45000,"Fell",1914,10.83333,76.03333,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"907",6409,23724,"Iron, IIIAB",325000,"Fell",1990,53.66667,55.98333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",11,0.00485781484723708
"562",4749,15424,"L6",28400,"Fell",1847,41.9,-91.6,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"341",3605,11450,"H5",5700,"Fell",1904,42.9,24.7,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"346",3623,11468,"H?",0.2,"Fell",1817,35.65,139.33333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"417",4330,12222,"H5",230,"Fell",1838,27.25,79.96667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"1080",7963,47351,"Iron, IIE-an",6800,"Fell",2006,25.14333,75.81333,"Iron IIE","Achondrite","Iron","Magmatic","Siderite",11,0.00485781484723708
"169",921,5314,"H6",0.5,"Fell",1814,25.36667,81.66667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"525",4633,14678,"Howardite",40000,"Fell",1994,26.96556,72.62667,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"832",5839,23091,"LL3.3",24.3,"Fell",1919,38.16667,-76.38333,"LL","Chondrite","Stony","Ordinary","LL",0,71.3451083182367
"728",5404,18110,"Eucrite-pmict",5100,"Fell",1933,36.21667,-103.4,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",13,0.428663281861922
"142",792,5169,"H5",120000,"Fell",1919,5,48,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"1106",8893,53502,"H5",18.41,"Fell",2007,38.13742,-119.75812,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"781",5539,22357,"H6",7000,"Fell",1925,-30.11667,28.7,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"707",5352,18050,"LL6",1215.5,"Fell",1986,30.18,-6.57717,"LL","Chondrite","Stony","Ordinary","LL",14,0.498018659921233
"547",4716,15387,"H3-5",666.6,"Fell",1990,-19.48333,31.65,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"862",6198,23481,"H5",1590,"Fell",1939,-7.23333,107.33333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"447",4390,12288,"EL6",13600,"Fell",1873,29.53333,72.3,"EL","Chondrite","Stony","Enstatite","EH-EL",14,0.498018659921233
"145",801,5178,"L6",5000,"Fell",1863,46.45,25.78333,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"771",5513,18879,"LL",665,"Fell",1933,31.41667,118.5,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"836",5847,23099,"H4",4960,"Fell",1962,50.76667,3,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"94",645,5011,"LL4",3700,"Fell",1798,25.36667,82.91667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"72",588,4935,"LL6",11500,"Fell",1871,-6.91667,107.6,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"807",5644,22597,"L6",668,"Fell",1903,35.03333,-83.03333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"425",4346,12238,"L6",2770,"Fell",1942,26.03333,81.46667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"571",4771,15451,"Aubrite",4850,"Fell",1974,8.96667,12.08333,"Aubrite","Achondrite","Stony","Asteroidal",NA,2,0.463225690897741
"329",3581,11426,"H4",1000,"Fell",1841,51.93333,15.5,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"112",677,5045,"Diogenite",25000,"Fell",1999,12.45,-0.08333,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"623",4906,16762,"H4",9150,"Fell",1868,45.2,8.5,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"591",4822,16634,"CM2",8000,"Fell",1889,48.06667,30.96667,"CM","Chondrite","Stony","Carbonaceous","CM-CO",10,0.461815233876118
"1098",8207,50909,"L6",4000,"Fell",2008,-31.535556,-68.489444,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1061",7372,34063,"LL6",460,"Fell",1968,19.76667,-100.65,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"90",629,4986,"H5",14000,"Fell",1893,51.16667,-117.33333,"H","Chondrite","Stony","Ordinary","H",7,10.085732473545
"945",6639,24019,"LL6",600,"Fell",1905,47.85,34.76667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"881",6299,23583,"H6",5000,"Fell",1912,33.71667,74.83333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"783",5542,22360,"Iron, IAB-ung",10750,"Fell",1898,39,-0.66667,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",1,0.297273742080897
"692",5309,17998,"H5",194,"Fell",1958,36.18333,139.21667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"64",564,4910,"L4",134,"Fell",1968,2.71667,32.83333,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"136",760,5133,"Iron, IIAB",39000,"Fell",1847,50.6,16.3,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite",10,0.461815233876118
"765",5491,18853,"L5",3000,"Fell",1819,50.93333,12.13333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"437",4368,12263,"L6",2950,"Fell",1955,31.58333,71.6,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"263",3313,10019,"Diogenite",1470,"Fell",1925,51.75,4,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta",1,0.297273742080897
"688",5305,17994,"H6",14360,"Fell",1741,33.28333,130.2,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"716",5372,18074,"L5",1430,"Fell",1988,-23.11667,-65.1,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"566",4760,15436,"L6",1443,"Fell",1983,35.8,-84.1,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"867",6217,23500,"H6",20000,"Fell",1966,21.68389,79.50083,"H","Chondrite","Stony","Ordinary","H",16,1.82339952891488
"580",4803,15486,"L5",28.9,"Fell",1903,46.81867,7.21817,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"543",4710,15380,"L6",400,"Fell",1935,-7.75,111.53333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"335",3594,11439,"H6",39000,"Fell",1892,38.73333,-6.01667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"496",4528,12434,"L6",37000,"Fell",1803,48.76667,0.63333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"652",5033,16935,"Iron, ungrouped",4500,"Fell",1870,18.68333,83.48333,"Iron","Achondrite","Iron",NA,NA,1,0.297273742080897
"595",4835,16643,"Eucrite-mmict",330000,"Fell",1960,-26.45,120.36667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",2,0.463225690897741
"933",6588,23897,"L6",160000,"Fell",1879,-25.73333,142.95,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"376",4135,11989,"EL6",14000,"Fell",1901,61.18333,22.68333,"EL","Chondrite","Stony","Enstatite","EH-EL",10,0.461815233876118
"500",4550,12456,"H6",7000,"Fell",1897,43.75,5.11667,"H","Chondrite","Stony","Ordinary","H",12,0.49799067553469
"206",1092,5496,"Aubrite",17000,"Fell",1919,36.83333,-84.35,"Aubrite","Achondrite","Stony","Asteroidal",NA,11,0.00485781484723708
"974",6714,24106,"EL6",189.2,"Fell",1957,-4.26667,35.35,"EL","Chondrite","Stony","Enstatite","EH-EL",16,1.82339952891488
"539",4705,15370,"H5",1500,"Fell",1836,-5.2,-36.66667,"H","Chondrite","Stony","Ordinary","H",15,0.406210536590808
