"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"5103",5103,17012,"EL6",234.4,"Found",1999,29.91667,-5.58333,"EL","Chondrite","Stony","Enstatite","EH-EL",11,0.00485781484723708
"5574",5574,22392,"L6",3224.5,"Fell",1937,25.38333,72.01667,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"9425",9425,56175,"H4",22,"Found",2011,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"3856",3856,11702,"L4",609,"Found",1997,28.60017,13.4235,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"8740",8740,52398,"H4",6476,"Found",2008,18.77633,54.39633,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"4872",4872,16727,"H5",149000,"Fell",1923,43.39056,1.9625,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"8846",8846,52786,"L4",888,"Found",2010,19.78991,55.96635,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"8924",8924,53795,"L~6",362.2,"Found",2009,18.1603,54.17717,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"598",598,4946,"Mesosiderite-A1",3200,"Fell",1842,42.38333,-2.5,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,2,0.463225690897741
"5588",5588,22541,"H6",13.5,"Found",2001,35.6464,-114.02849,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1696",1696,6104,"H6",361,"Found",1997,27.27183,16.07683,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7223",7223,31328,"EH3",120,"Found",2004,18.49167,53.88167,"EH","Chondrite","Stony","Enstatite","EH-EL",11,0.00485781484723708
"6736",6736,24129,"Stone-uncl",1500,"Fell",1926,34.48333,133.28333,"Stony",NA,"Stony",NA,NA,0,71.3451083182367
"2011",2011,6421,"Ureilite",64.6,"Found",2000,27.04183,16.405,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,11,0.00485781484723708
"2841",2841,7310,"H5",250,"Found",2001,18.70953,54.36465,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"9284",9284,55532,"L6",58.9,"Found",2001,36.25547,-116.18552,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"2837",2837,7306,"LL4",513,"Found",2001,19.35225,54.63828,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"6414",6414,23729,"L6",13400,"Fell",1917,56.58333,-3.25,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"5937",5937,23215,"H6",136,"Found",1999,21.09033,57.24733,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7405",7405,34518,"Howardite",23.9,"Found",2005,18.91947,54.36237,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"8131",8131,48916,"Iron, IVA-an",162000,"Found",1979,41.65,-0.86667,"Iron IVA","Achondrite","Iron","Magmatic","Siderite",13,0.428663281861922
"2349",2349,6818,"H4",273.3,"Found",2002,19.17203,54.79462,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"5504",5504,18869,"Iron, IAB-MG",12000,"Found",1910,-18.33333,-66.83333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",13,0.428663281861922
"9610",9610,56446,"H4",72.3,"Found",1979,19.56778,55.57056,"H","Chondrite","Stony","Ordinary","H",14,0.498018659921233
"9205",9205,55448,"L6",17.63,"Found",2010,20.44922,55.57368,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"6877",6877,24257,"Iron, IAB-MG",145000,"Found",1836,34.06667,-98.91667,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",13,0.428663281861922
"5843",5843,23095,"OC",45.5,"Found",1971,34.31833,-103.47167,"Chondrite","Chondrite","Stony",NA,NA,1,0.297273742080897
"5234",5234,17819,"H5",1000,"Found",2000,30.25,-4.41667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1094",1094,5499,"H4",567,"Found",1932,35.96667,-96.76667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"5336",5336,18031,"H5",513,"Found",1971,32.37167,-106.25833,"H","Chondrite","Stony","Ordinary","H",13,0.428663281861922
"3428",3428,10152,"H3-5",6,"Found",1992,-30.7315,127.93917,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1496",1496,5902,"H3",82,"Found",1997,27.61717,15.96633,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1133",1133,5539,"CO3",31,"Found",1995,27.09767,16.0255,"CO","Chondrite","Stony","Carbonaceous","CM-CO",11,0.00485781484723708
"8350",8350,51408,"L6",1989,"Found",2008,19.53048,55.18157,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"4885",4885,16741,"Iron, IAB-MG",290000,"Found",1914,52.46667,16.9,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",1,0.297273742080897
"6609",6609,23986,"CV3",18.6,"Found",1970,-29.43333,142.01667,"CV","Chondrite","Stony","Carbonaceous","CV-CK",14,0.498018659921233
"6378",6378,23666,"H6",60,"Found",1977,41.38333,-123.5,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7808",7808,45840,"R5",12.4,"Found",2005,19.98505,56.41543,"Rumuruti","Chondrite","Stony","Other","Rumuruti",11,0.00485781484723708
"7505",7505,35515,"Ureilite",12.92,"Found",2001,19.11285,54.81877,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,11,0.00485781484723708
"8968",8968,54448,"H4",108.6,"Found",2008,19.85603,56.10577,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"6206",6206,23489,"H4",1184,"Found",1965,32.54333,-102.705,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"9852",9852,57308,"H6",88,"Found",2011,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"4717",4717,15388,"Iron, IAB-MG",150000,"Found",1840,49.33333,19.48333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",10,0.461815233876118
"9455",9455,56206,"H4",53.8,"Found",2011,20.23798,56.93035,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"857",857,5239,"L6",0.41,"Found",1994,-30.09167,126.88883,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"527",527,2339,"L5",31100,"Found",1936,39.3,-103.25,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"5263",5263,17928,"Iron, IIIAB",305000,"Found",1967,-29.43333,-50.91667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",12,0.49799067553469
