,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
75,5,1805.0,Found,1990,27.55,3.7,L,Chondrite,Stony,11
76,5,941.0,Found,1990,27.53333,3.83333,L,Chondrite,Stony,11
78,5,1379.0,Found,1990,27.63333,4.28333,L,Chondrite,Stony,11
79,5,162.0,Found,1990,27.63333,4.25,L,Chondrite,Stony,11
81,5,384.0,Found,1990,27.48333,3.83333,L,Chondrite,Stony,11
84,5,2538.0,Found,1990,27.63333,4.51667,L,Chondrite,Stony,11
86,5,387.0,Found,1990,27.5,3.68333,L,Chondrite,Stony,11
87,5,574.0,Found,1990,27.63333,4.51667,L,Chondrite,Stony,11
90,5,690.0,Found,1990,27.48333,3.63333,L,Chondrite,Stony,11
95,5,200.0,Found,1990,27.75,4.43333,L,Chondrite,Stony,11
100,5,420.0,Found,1990,27.71667,4.13333,L,Chondrite,Stony,11
103,5,572.0,Found,1990,27.61667,4.2,L,Chondrite,Stony,11
108,5,452.0,Found,1990,27.53333,4.16667,L,Chondrite,Stony,11
109,5,346.0,Found,1990,27.66667,4.46667,L,Chondrite,Stony,11
112,5,392.0,Found,1990,27.55,4.13333,L,Chondrite,Stony,11
114,5,105.0,Found,1990,27.45,3.75,L,Chondrite,Stony,11
117,5,107.0,Found,1990,27.48333,3.8,L,Chondrite,Stony,11
123,5,345.0,Found,1990,27.73333,4.16667,L,Chondrite,Stony,11
125,5,752.0,Found,1990,27.66667,4.2,L,Chondrite,Stony,11
128,5,427.0,Found,1990,27.68333,4.33333,L,Chondrite,Stony,11
129,5,235.0,Found,1990,27.5,3.66667,L,Chondrite,Stony,11
132,5,3380.0,Found,1990,27.68333,4.35,L,Chondrite,Stony,11
134,5,699.0,Found,1990,27.7,4.3,L,Chondrite,Stony,11
135,5,163.0,Found,1990,27.5,4.3,L,Chondrite,Stony,11
140,5,362.0,Found,1990,27.5,3.83333,L,Chondrite,Stony,11
141,5,1161.0,Found,1990,27.76667,4.53333,L,Chondrite,Stony,11
145,5,941.0,Found,1990,27.66667,4.08333,L,Chondrite,Stony,11
147,5,171.0,Found,1990,27.56667,4.08333,L,Chondrite,Stony,11
149,5,91.0,Found,1990,27.56667,4.35,L,Chondrite,Stony,11
150,5,417.0,Found,1990,27.66667,4.45,L,Chondrite,Stony,11
151,5,186.0,Found,1990,27.66667,4.28333,L,Chondrite,Stony,11
152,5,869.0,Found,1990,27.66667,4.28333,L,Chondrite,Stony,11
154,5,140.0,Found,1990,27.6,4.11667,L,Chondrite,Stony,11
162,5,206.0,Found,1990,27.66667,4.25,L,Chondrite,Stony,11
