,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
6737,1,13000.0,Found,1989,27.85,-108.23333,Iron IIIAB,Achondrite,Iron,12
6738,1,72500.0,Found,1992,-14.53333,-48.76667,Iron IAB,Achondrite,Iron,11
6740,1,44000.0,Found,1992,56.38333,120.46667,Iron IAB,Achondrite,Iron,11
6745,1,54000.0,Found,1903,5.28333,8.25,Iron IIAB,Achondrite,Iron,1
6746,1,72700.0,Found,1930,35.51667,-79.96667,Iron IIIAB,Achondrite,Iron,11
6748,1,11800.0,Found,1921,-29.75,22.5,Iron IAB,Achondrite,Iron,2
6749,1,3828000.0,Found,1861,-25.75,-70.5,Mesosiderite,Achondrite,Stony-Iron,13
6762,1,300.0,Found,1984,-22.96833,125.36861,Iron IIAB,Achondrite,Iron,14
6763,1,24267.0,Found,1902,53.83333,97.33333,Iron IIIAB,Achondrite,Iron,7
6765,1,7700.0,Found,1953,34.25,-119.3,Iron IAB,Achondrite,Iron,0
6769,1,14000.0,Found,1965,-19.73333,-48.31667,Iron IIIAB,Achondrite,Iron,2
6770,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6771,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6772,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6773,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6774,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6775,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6776,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6777,1,70.0,Found,1876,48.63333,34.36667,Iron IIE,Achondrite,Iron,1
6779,1,18000.0,Found,1854,54.76667,113.98333,Iron IIIAB,Achondrite,Iron,8
6783,1,4370.0,Found,1911,49.21667,15.8,Iron IID,Achondrite,Iron,1
6784,1,2950.0,Found,1860,-31.7,23.75,Iron IAB,Achondrite,Iron,13
6786,1,33600.0,Found,1952,-43.32,172.06333,Iron IIIAB,Achondrite,Iron,1
6805,1,2550000.0,Found,1863,21.49972,50.47222,Iron IIIAB,Achondrite,Iron,14
6809,1,9200.0,Found,1915,-38.25,178.08333,Iron IIIAB,Achondrite,Iron,2
6814,1,13600.0,Found,1887,36.63333,-83.83333,Iron IAB,Achondrite,Iron,11
6815,1,74800.0,Found,1832,34.0,-87.16667,Iron IIAB,Achondrite,Iron,12
6816,1,430000.0,Found,1927,35.8,-113.7,Iron IID,Achondrite,Iron,13
6817,1,4386.0,Found,1965,-20.66667,118.83333,Iron IIIAB,Achondrite,Iron,13
6822,1,56930.0,Found,1963,-26.28333,126.66667,Iron IVB,Achondrite,Iron,2
6826,1,5750.0,Found,1927,39.7,-103.16667,Iron,Achondrite,Iron,2
6828,1,37125.0,Found,1917,47.767778,-119.876389,Iron IAB,Achondrite,Iron,13
6829,1,566.0,Found,1939,39.81667,-94.91667,Iron IIAB,Achondrite,Iron,1
6830,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6831,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6832,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6833,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6834,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6835,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
